	 height_(km) 	 press_(mbar) 	 temp_(K) 	 temperr_(K) 	 numdens_(m-3) 	 numdenserr_(m-3) 	 H2Ovmr_() 	 H2Ovmrerr_() 	 D/H_(VSMOW) 	 D/Herr_(VSMOW) 	 18O/16O_(VSMOW) 	 18O/16Oerr_(VSMOW) 
	  8.9690 	 1.907811e+00 	 166.5066 	  5.3717 	 8.203059e+22 	 2.590710e+21 	 7.558802e-06 	 4.788043e-06 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	  9.1020 	 1.878289e+00 	 167.0201 	  5.1662 	 8.068540e+22 	 2.457868e+21 	 8.266989e-06 	 4.693469e-06 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	  9.2350 	 1.849262e+00 	 167.5082 	  4.9666 	 7.935933e+22 	 2.330291e+21 	 8.330912e-06 	 4.169283e-06 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	  9.3680 	 1.820725e+00 	 167.9730 	  4.7729 	 7.805214e+22 	 2.207867e+21 	 7.362781e-06 	 3.030856e-06 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 10.9290 	 1.520458e+00 	 172.4380 	  2.9123 	 6.403025e+22 	 1.117379e+21 	 1.298689e-05 	 1.610379e-06 	  3.0386 	  0.7880 	 -1000.0000 	 -1000.0000 
	 11.0620 	 1.497659e+00 	 172.7980 	  2.7871 	 6.294041e+22 	 1.050680e+21 	 1.326550e-05 	 1.610128e-06 	  3.0253 	  0.7689 	 -1000.0000 	 -1000.0000 
	 11.1940 	 1.475438e+00 	 173.1620 	  2.6676 	 6.187386e+22 	 9.880384e+20 	 1.350199e-05 	 1.614008e-06 	  3.0143 	  0.7530 	 -1000.0000 	 -1000.0000 
	 11.3270 	 1.453452e+00 	 173.5377 	  2.5520 	 6.081418e+22 	 9.283946e+20 	 1.370884e-05 	 1.621158e-06 	  3.0052 	  0.7393 	 -1000.0000 	 -1000.0000 
	 11.4600 	 1.431864e+00 	 173.9247 	  2.4412 	 5.976923e+22 	 8.721227e+20 	 1.389281e-05 	 1.630818e-06 	  2.9980 	  0.7273 	 -1000.0000 	 -1000.0000 
	 13.0220 	 1.206226e+00 	 180.0585 	  1.4737 	 4.851020e+22 	 4.247800e+20 	 1.667342e-05 	 1.813241e-06 	  3.0322 	  0.6125 	 -1000.0000 	 -1000.0000 
	 13.1540 	 1.189345e+00 	 180.7745 	  1.4182 	 4.763671e+22 	 4.017347e+20 	 1.714661e-05 	 1.827498e-06 	  3.0433 	  0.5995 	 -1000.0000 	 -1000.0000 
	 13.2870 	 1.172656e+00 	 181.5371 	  1.3660 	 4.676769e+22 	 3.803246e+20 	 1.769494e-05 	 1.840108e-06 	  3.0556 	  0.5850 	 -1000.0000 	 -1000.0000 
	 13.4190 	 1.156402e+00 	 182.3370 	  1.3180 	 4.591597e+22 	 3.607603e+20 	 1.831351e-05 	 1.851224e-06 	  3.0687 	  0.5696 	 -1000.0000 	 -1000.0000 
	 13.5510 	 1.140452e+00 	 183.1819 	  1.2736 	 4.507469e+22 	 3.427635e+20 	 1.900838e-05 	 1.861378e-06 	  3.0828 	  0.5535 	 -1000.0000 	 -1000.0000 
	 15.1250 	 9.716322e-01 	 197.1758 	  0.9972 	 3.579138e+22 	 2.113559e+20 	 3.304673e-05 	 1.884662e-06 	  3.3536 	  0.3743 	  0.9922 	  0.1132 
	 15.2570 	 9.591046e-01 	 198.5907 	  0.9912 	 3.508456e+22 	 2.049537e+20 	 3.450018e-05 	 1.881735e-06 	  3.3860 	  0.3642 	  0.9919 	  0.1069 
	 15.3890 	 9.468052e-01 	 200.0068 	  0.9869 	 3.439272e+22 	 1.990447e+20 	 3.593268e-05 	 1.876899e-06 	  3.4201 	  0.3549 	  0.9917 	  0.1012 
	 15.5210 	 9.347288e-01 	 201.4148 	  0.9840 	 3.371684e+22 	 1.935901e+20 	 3.732277e-05 	 1.866959e-06 	  3.4558 	  0.3462 	  0.9916 	  0.0959 
	 15.6530 	 9.228702e-01 	 202.8055 	  0.9825 	 3.305791e+22 	 1.885512e+20 	 3.864808e-05 	 1.848951e-06 	  3.4931 	  0.3377 	  0.9916 	  0.0910 
	 17.2080 	 7.978041e-01 	 215.0280 	  0.9907 	 2.685648e+22 	 1.480017e+20 	 4.889544e-05 	 1.898740e-06 	  3.9762 	  0.3133 	  0.9945 	  0.0748 
	 17.3400 	 7.882799e-01 	 215.5975 	  0.9903 	 2.646394e+22 	 1.454687e+20 	 4.921751e-05 	 1.911092e-06 	  4.0153 	  0.3149 	  0.9949 	  0.0748 
