	 height_(km) 	 press_(mbar) 	 temp_(K) 	 temperr_(K) 	 numdens_(m-3) 	 numdenserr_(m-3) 	 H2Ovmr_() 	 H2Ovmrerr_() 	 D/H_(VSMOW) 	 D/Herr_(VSMOW) 	 18O/16O_(VSMOW) 	 18O/16Oerr_(VSMOW) 
	  5.1830 	 2.602429e+00 	 217.5376 	  6.4449 	 8.675862e+22 	 2.592892e+21 	 2.003214e-04 	 1.576556e-05 	  4.3520 	  0.8002 	  1.0086 	  0.1926 
	  5.3440 	 2.565047e+00 	 217.1601 	  6.2909 	 8.565243e+22 	 2.511177e+21 	 2.141666e-04 	 1.576472e-05 	  4.3351 	  0.7769 	  1.0000 	  0.1864 
	  5.5050 	 2.528117e+00 	 216.7832 	  6.1456 	 8.455891e+22 	 2.432895e+21 	 2.287690e-04 	 1.597121e-05 	  4.3188 	  0.7545 	  0.9922 	  0.1805 
	  5.6660 	 2.491635e+00 	 216.4063 	  6.0084 	 8.347801e+22 	 2.357869e+21 	 2.428251e-04 	 1.622808e-05 	  4.3030 	  0.7331 	  0.9854 	  0.1750 
	  6.5260 	 2.304215e+00 	 214.3746 	  5.3858 	 7.791696e+22 	 2.004899e+21 	 2.980306e-04 	 1.696835e-05 	  4.2244 	  0.6321 	  0.9600 	  0.1505 
	  6.6870 	 2.270498e+00 	 213.9871 	  5.2850 	 7.691548e+22 	 1.946392e+21 	 3.045379e-04 	 1.693360e-05 	  4.2108 	  0.6174 	  0.9569 	  0.1466 
	  6.8470 	 2.237411e+00 	 213.5986 	  5.1882 	 7.593252e+22 	 1.890186e+21 	 3.099020e-04 	 1.684583e-05 	  4.1977 	  0.6115 	  0.9543 	  0.1429 
	  7.0080 	 2.204537e+00 	 213.2039 	  5.0936 	 7.495578e+22 	 1.835401e+21 	 3.142341e-04 	 1.670649e-05 	  4.1851 	  0.6045 	  0.9520 	  0.1393 
	  7.1680 	 2.172280e+00 	 212.8073 	  5.0017 	 7.399735e+22 	 1.782544e+21 	 3.175229e-04 	 1.652028e-05 	  4.1732 	  0.5967 	  0.9501 	  0.1359 
	  8.0360 	 2.004338e+00 	 210.5614 	  4.5131 	 6.900947e+22 	 1.515854e+21 	 3.196122e-04 	 1.485030e-05 	  4.1250 	  0.5385 	  0.9449 	  0.1190 
	  8.1970 	 1.974470e+00 	 210.1236 	  4.4193 	 6.812337e+22 	 1.468719e+21 	 3.174832e-04 	 1.445703e-05 	  4.1204 	  0.5251 	  0.9448 	  0.1160 
