	 height_(km) 	 press_(mbar) 	 temp_(K) 	 temperr_(K) 	 numdens_(m-3) 	 numdenserr_(m-3) 	 H2Ovmr_() 	 H2Ovmrerr_() 	 D/H_(VSMOW) 	 D/Herr_(VSMOW) 	 18O/16O_(VSMOW) 	 18O/16Oerr_(VSMOW) 
	  4.4330 	 3.134881e+00 	 175.1225 	  3.5398 	 1.295522e+23 	 2.864372e+21 	 1.792734e-05 	 9.319400e-07 	  1.0932 	  0.2513 	  0.6691 	  0.0743 
	  4.5760 	 3.085420e+00 	 174.9404 	  3.3692 	 1.276165e+23 	 2.711404e+21 	 1.810765e-05 	 9.457029e-07 	  1.0703 	  0.2436 	  0.6665 	  0.0730 
	  4.7180 	 3.037042e+00 	 174.7775 	  3.2074 	 1.257155e+23 	 2.566658e+21 	 1.824099e-05 	 9.559620e-07 	  1.0498 	  0.2367 	  0.6646 	  0.0718 
	  4.8600 	 2.989390e+00 	 174.6317 	  3.0532 	 1.238356e+23 	 2.428859e+21 	 1.832899e-05 	 9.628529e-07 	  1.0315 	  0.2305 	  0.6634 	  0.0707 
	  5.0020 	 2.942456e+00 	 174.5022 	  2.9062 	 1.219769e+23 	 2.297827e+21 	 1.837225e-05 	 9.664367e-07 	  1.0150 	  0.2250 	  0.6629 	  0.0698 
	  7.7100 	 2.173415e+00 	 174.0492 	  1.2558 	 9.059528e+22 	 8.523844e+20 	 1.312842e-05 	 6.288092e-07 	  0.9530 	  0.2019 	  0.7490 	  0.0695 
	  7.8510 	 2.139343e+00 	 174.0736 	  1.2172 	 8.917356e+22 	 8.193743e+20 	 1.270586e-05 	 6.039406e-07 	  0.9588 	  0.2038 	  0.7571 	  0.0702 
	  7.9920 	 2.105803e+00 	 174.0970 	  1.1819 	 8.777292e+22 	 7.893018e+20 	 1.228400e-05 	 5.794965e-07 	  0.9651 	  0.2060 	  0.7655 	  0.0711 
	  8.1340 	 2.072556e+00 	 174.1190 	  1.1497 	 8.638367e+22 	 7.618067e+20 	 1.186149e-05 	 5.554057e-07 	  0.9721 	  0.2084 	  0.7741 	  0.0720 
	  8.2750 	 2.040061e+00 	 174.1382 	  1.1207 	 8.502537e+22 	 7.370989e+20 	 1.144576e-05 	 5.320916e-07 	  0.9795 	  0.2111 	  0.7829 	  0.0730 
	 10.9630 	 1.508278e+00 	 172.9828 	  0.9177 	 6.316999e+22 	 5.269521e+20 	 5.300882e-06 	 2.427847e-07 	  1.1704 	  0.2994 	  0.9416 	  0.1054 
	 11.1040 	 1.484437e+00 	 172.8051 	  0.9147 	 6.222914e+22 	 5.193554e+20 	 5.090266e-06 	 2.354095e-07 	  1.1795 	  0.3054 	  0.9467 	  0.1076 
	 11.2450 	 1.460956e+00 	 172.6175 	  0.9118 	 6.130614e+22 	 5.116932e+20 	 4.890159e-06 	 2.286608e-07 	  1.1881 	  0.3113 	  0.9513 	  0.1099 
	 11.3860 	 1.437830e+00 	 172.4209 	  0.9092 	 6.040040e+22 	 5.039787e+20 	 4.700257e-06 	 2.225046e-07 	  1.1962 	  0.3173 	  0.9552 	  0.1121 
	 11.5270 	 1.415053e+00 	 172.2161 	  0.9068 	 5.951130e+22 	 4.962251e+20 	 4.520201e-06 	 2.168975e-07 	  1.2037 	  0.3232 	  0.9584 	  0.1144 
	 14.2160 	 1.040591e+00 	 167.9224 	  0.8747 	 4.493481e+22 	 3.582554e+20 	 2.422381e-06 	 1.578651e-07 	  1.2762 	  0.4363 	 -1000.0000 	 -1000.0000 
	 14.3570 	 1.023759e+00 	 167.7297 	  0.8729 	 4.425955e+22 	 3.522667e+20 	 2.360802e-06 	 1.555552e-07 	  1.2794 	  0.4427 	 -1000.0000 	 -1000.0000 
	 14.4970 	 1.007295e+00 	 167.5439 	  0.8712 	 4.359638e+22 	 3.464579e+20 	 2.302919e-06 	 1.532529e-07 	  1.2828 	  0.4492 	 -1000.0000 	 -1000.0000 
	 14.6380 	 9.909635e-01 	 167.3627 	  0.8695 	 4.293583e+22 	 3.407414e+20 	 2.247731e-06 	 1.509230e-07 	  1.2866 	  0.4559 	 -1000.0000 	 -1000.0000 
	 14.7780 	 9.749920e-01 	 167.1885 	  0.8679 	 4.228729e+22 	 3.351936e+20 	 2.195832e-06 	 1.486018e-07 	  1.2907 	  0.4627 	 -1000.0000 	 -1000.0000 
	 17.4430 	 7.136151e-01 	 165.0234 	  0.8576 	 3.136409e+22 	 2.479844e+20 	 1.561328e-06 	 1.151417e-07 	  1.4210 	  0.6269 	 -1000.0000 	 -1000.0000 
	 17.5820 	 7.020134e-01 	 164.9689 	  0.8588 	 3.086904e+22 	 2.441257e+20 	 1.539268e-06 	 1.143744e-07 	  1.4294 	  0.6372 	 -1000.0000 	 -1000.0000 
	 17.7220 	 6.905139e-01 	 164.9184 	  0.8602 	 3.037768e+22 	 2.402943e+20 	 1.517625e-06 	 1.137245e-07 	  1.4380 	  0.6478 	 -1000.0000 	 -1000.0000 
	 17.8620 	 6.791985e-01 	 164.8720 	  0.8617 	 2.989353e+22 	 2.365180e+20 	 1.496518e-06 	 1.131980e-07 	  1.4465 	  0.6586 	 -1000.0000 	 -1000.0000 
	 18.0010 	 6.681437e-01 	 164.8295 	  0.8634 	 2.941989e+22 	 2.328225e+20 	 1.476069e-06 	 1.127946e-07 	  1.4550 	  0.6694 	 -1000.0000 	 -1000.0000 
	 23.8620 	 3.338734e-01 	 161.5610 	  1.0095 	 1.495316e+22 	 1.196748e+20 	 1.026740e-06 	 1.190445e-07 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 24.0010 	 3.283517e-01 	 161.3471 	  1.0130 	 1.471924e+22 	 1.178536e+20 	 1.031339e-06 	 1.198879e-07 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 24.1390 	 3.229530e-01 	 161.1281 	  1.0164 	 1.449097e+22 	 1.160771e+20 	 1.036699e-06 	 1.207301e-07 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 24.2780 	 3.175981e-01 	 160.9015 	  1.0198 	 1.426498e+22 	 1.143188e+20 	 1.042911e-06 	 1.215854e-07 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 24.4160 	 3.123632e-01 	 160.6712 	  1.0231 	 1.404444e+22 	 1.126033e+20 	 1.049893e-06 	 1.224434e-07 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 30.1480 	 1.548328e-01 	 154.3405 	  1.1260 	 7.282803e+21 	 5.903265e+19 	 2.026650e-06 	 1.943470e-07 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 30.2860 	 1.522051e-01 	 154.4427 	  1.1278 	 7.155926e+21 	 5.797051e+19 	 2.069991e-06 	 1.977628e-07 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 30.4240 	 1.496213e-01 	 154.5602 	  1.1297 	 7.030264e+21 	 5.691554e+19 	 2.115071e-06 	 2.013061e-07 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 30.5620 	 1.470811e-01 	 154.6922 	  1.1315 	 6.905865e+21 	 5.586835e+19 	 2.161996e-06 	 2.049787e-07 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 30.6990 	 1.446019e-01 	 154.8373 	  1.1333 	 6.783665e+21 	 5.483706e+19 	 2.210511e-06 	 2.087526e-07 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 33.3120 	 1.048959e-01 	 159.5546 	  1.1688 	 4.763969e+21 	 3.755035e+19 	 3.628035e-06 	 3.010571e-07 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 33.4490 	 1.031796e-01 	 159.8638 	  1.1709 	 4.676849e+21 	 3.680474e+19 	 3.733610e-06 	 3.067907e-07 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 33.5860 	 1.014956e-01 	 160.1742 	  1.1730 	 4.591581e+21 	 3.607684e+19 	 3.841846e-06 	 3.125927e-07 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 33.7230 	 9.984330e-02 	 160.4850 	  1.1752 	 4.508131e+21 	 3.536666e+19 	 3.952398e-06 	 3.184518e-07 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
