	 height_(km) 	 press_(mbar) 	 temp_(K) 	 temperr_(K) 	 numdens_(m-3) 	 numdenserr_(m-3) 	 H2Ovmr_() 	 H2Ovmrerr_() 	 D/H_(VSMOW) 	 D/Herr_(VSMOW) 	 18O/16O_(VSMOW) 	 18O/16Oerr_(VSMOW) 
	  3.6450 	 3.563501e+00 	 208.3411 	  7.0236 	 1.240473e+23 	 4.203838e+21 	 2.307005e-04 	 1.146156e-06 	  5.3446 	  1.1397 	 -1000.0000 	 -1000.0000 
	  3.8130 	 3.508349e+00 	 207.9132 	  6.8526 	 1.223663e+23 	 4.068150e+21 	 2.350376e-04 	 3.972750e-06 	  5.2060 	  1.1162 	 -1000.0000 	 -1000.0000 
	  3.9810 	 3.453904e+00 	 207.4941 	  6.6907 	 1.207003e+23 	 3.937559e+21 	 2.397066e-04 	 6.248156e-06 	  5.0751 	  1.0934 	 -1000.0000 	 -1000.0000 
	  4.1500 	 3.399844e+00 	 207.0811 	  6.5363 	 1.190396e+23 	 3.811100e+21 	 2.443354e-04 	 8.061729e-06 	  4.9514 	  1.0705 	 -1000.0000 	 -1000.0000 
	  4.3180 	 3.346804e+00 	 206.6786 	  6.3907 	 1.174039e+23 	 3.690037e+21 	 2.486894e-04 	 9.483410e-06 	  4.8363 	  1.0476 	 -1000.0000 	 -1000.0000 
	  5.1890 	 3.082827e+00 	 204.7075 	  5.7372 	 1.091700e+23 	 3.127789e+21 	 2.645908e-04 	 1.294358e-05 	  4.3549 	  0.9326 	 -1000.0000 	 -1000.0000 
	  5.3570 	 3.034000e+00 	 204.3469 	  5.6263 	 1.076301e+23 	 3.030244e+21 	 2.660779e-04 	 1.310583e-05 	  4.2808 	  0.9121 	 -1000.0000 	 -1000.0000 
	  5.5240 	 2.986122e+00 	 203.9939 	  5.5194 	 1.061150e+23 	 2.936224e+21 	 2.670201e-04 	 1.314660e-05 	  4.2118 	  0.8925 	 -1000.0000 	 -1000.0000 
	  5.6920 	 2.938615e+00 	 203.6439 	  5.4146 	 1.046068e+23 	 2.844374e+21 	 2.674405e-04 	 1.307244e-05 	  4.1464 	  0.8734 	 -1000.0000 	 -1000.0000 
	  5.8600 	 2.891763e+00 	 203.2987 	  5.3121 	 1.031145e+23 	 2.755033e+21 	 2.673486e-04 	 1.288667e-05 	  4.0846 	  0.8549 	 -1000.0000 	 -1000.0000 
	  6.7490 	 2.654556e+00 	 201.5362 	  4.7815 	 9.548857e+22 	 2.314693e+21 	 2.588678e-04 	 1.026239e-05 	  3.8072 	  0.7714 	 -1000.0000 	 -1000.0000 
	  6.9170 	 2.611720e+00 	 201.2126 	  4.6788 	 9.409929e+22 	 2.235836e+21 	 2.557462e-04 	 9.529762e-06 	  3.7634 	  0.7606 	 -1000.0000 	 -1000.0000 
	  7.0840 	 2.569753e+00 	 200.8930 	  4.5745 	 9.273484e+22 	 2.158264e+21 	 2.521077e-04 	 8.762655e-06 	  3.7222 	  0.7525 	 -1000.0000 	 -1000.0000 
	  7.2520 	 2.528150e+00 	 200.5732 	  4.4667 	 9.137898e+22 	 2.080819e+21 	 2.478564e-04 	 7.971262e-06 	  3.6823 	  0.7474 	 -1000.0000 	 -1000.0000 
	  7.4200 	 2.487159e+00 	 200.2548 	  4.3555 	 9.004002e+22 	 2.003734e+21 	 2.429446e-04 	 7.182225e-06 	  3.6435 	  0.7452 	 -1000.0000 	 -1000.0000 
	  8.2890 	 2.284705e+00 	 198.6192 	  3.7053 	 8.338616e+22 	 1.603260e+21 	 2.049160e-04 	 4.017543e-06 	  3.4422 	  0.7711 	 -1000.0000 	 -1000.0000 
	  8.4570 	 2.247371e+00 	 198.3065 	  3.5657 	 8.215128e+22 	 1.525591e+21 	 1.953050e-04 	 3.664674e-06 	  3.4010 	  0.7765 	 -1000.0000 	 -1000.0000 
	  8.6240 	 2.210819e+00 	 197.9986 	  3.4241 	 8.093937e+22 	 1.448862e+21 	 1.852720e-04 	 3.389740e-06 	  3.3593 	  0.7791 	 -1000.0000 	 -1000.0000 
	  8.7920 	 2.174604e+00 	 197.6924 	  3.2796 	 7.973552e+22 	 1.372434e+21 	 1.748171e-04 	 3.182487e-06 	  3.3172 	  0.7782 	 -1000.0000 	 -1000.0000 
	  8.9600 	 2.138939e+00 	 197.3906 	  3.1340 	 7.854658e+22 	 1.297045e+21 	 1.641205e-04 	 3.037451e-06 	  3.2751 	  0.7742 	 -1000.0000 	 -1000.0000 
	 11.3470 	 1.686749e+00 	 194.0350 	  1.4128 	 6.302197e+22 	 4.993322e+20 	 5.518009e-05 	 3.177957e-06 	  2.7451 	  0.6239 	 -1000.0000 	 -1000.0000 
	 11.5130 	 1.658801e+00 	 193.8908 	  1.3457 	 6.202446e+22 	 4.716715e+20 	 5.385330e-05 	 3.086604e-06 	  2.7219 	  0.6085 	 -1000.0000 	 -1000.0000 
	 11.6800 	 1.631130e+00 	 193.7563 	  1.2861 	 6.103243e+22 	 4.472255e+20 	 5.301816e-05 	 2.980909e-06 	  2.7016 	  0.5930 	 -1000.0000 	 -1000.0000 
