	 height_(km) 	 press_(mbar) 	 temp_(K) 	 temperr_(K) 	 numdens_(m-3) 	 numdenserr_(m-3) 	 H2Ovmr_() 	 H2Ovmrerr_() 	 D/H_(VSMOW) 	 D/Herr_(VSMOW) 	 18O/16O_(VSMOW) 	 18O/16Oerr_(VSMOW) 
	  8.6230 	 1.863238e+00 	 208.8840 	  5.6366 	 6.471884e+22 	 1.777737e+21 	 4.609046e-05 	 3.534016e-06 	  4.3412 	  1.0481 	  0.8301 	  0.2139 
	  8.7450 	 1.842089e+00 	 208.8442 	  5.5825 	 6.400036e+22 	 1.739128e+21 	 4.652822e-05 	 3.529330e-06 	  4.3609 	  1.0159 	  0.8339 	  0.2078 
	  8.8670 	 1.821163e+00 	 208.7921 	  5.5236 	 6.329173e+22 	 1.700436e+21 	 4.694475e-05 	 3.522418e-06 	  4.3797 	  0.9852 	  0.8374 	  0.2020 
	  8.9890 	 1.800459e+00 	 208.7281 	  5.4601 	 6.259280e+22 	 1.661688e+21 	 4.734077e-05 	 3.513263e-06 	  4.3978 	  0.9560 	  0.8405 	  0.1964 
	  9.1120 	 1.779806e+00 	 208.6520 	  5.3916 	 6.189779e+22 	 1.622594e+21 	 4.772008e-05 	 3.501756e-06 	  4.4152 	  0.9279 	  0.8433 	  0.1909 
	 11.7290 	 1.389677e+00 	 205.0457 	  3.2975 	 4.911499e+22 	 8.378182e+20 	 5.357402e-05 	 2.819985e-06 	  4.6182 	  0.5436 	  0.8498 	  0.1137 
	 11.8500 	 1.373755e+00 	 204.8231 	  3.1905 	 4.860300e+22 	 8.061777e+20 	 5.387019e-05 	 2.781374e-06 	  4.6213 	  0.5330 	  0.8487 	  0.1115 
	 11.9720 	 1.357876e+00 	 204.5968 	  3.0835 	 4.809264e+22 	 7.749126e+20 	 5.418292e-05 	 2.761596e-06 	  4.6239 	  0.5250 	  0.8476 	  0.1098 
	 12.0930 	 1.342298e+00 	 204.3711 	  2.9783 	 4.759211e+22 	 7.445634e+20 	 5.450778e-05 	 2.759093e-06 	  4.6262 	  0.5193 	  0.8465 	  0.1084 
	 12.2140 	 1.326890e+00 	 204.1444 	  2.8745 	 4.709707e+22 	 7.148988e+20 	 5.484459e-05 	 2.756966e-06 	  4.6281 	  0.5137 	  0.8454 	  0.1071 
	 14.8420 	 1.030453e+00 	 199.7513 	  1.3333 	 3.740671e+22 	 2.910575e+20 	 6.371502e-05 	 2.768807e-06 	  4.6112 	  0.4261 	  0.8519 	  0.0895 
	 14.9630 	 1.018413e+00 	 199.5997 	  1.3072 	 3.699879e+22 	 2.828427e+20 	 6.407520e-05 	 2.770493e-06 	  4.6086 	  0.4241 	  0.8549 	  0.0893 
	 15.0840 	 1.006504e+00 	 199.4528 	  1.2846 	 3.659396e+22 	 2.754309e+20 	 6.441190e-05 	 2.772155e-06 	  4.6059 	  0.4224 	  0.8583 	  0.0893 
