	 height_(km) 	 press_(mbar) 	 temp_(K) 	 temperr_(K) 	 numdens_(m-3) 	 numdenserr_(m-3) 	 H2Ovmr_() 	 H2Ovmrerr_() 	 D/H_(VSMOW) 	 D/Herr_(VSMOW) 	 18O/16O_(VSMOW) 	 18O/16Oerr_(VSMOW) 
	  5.6350 	 3.193505e+00 	 184.6991 	  5.3250 	 1.254682e+23 	 3.686694e+21 	 7.190368e-05 	 9.237928e-06 	  3.3600 	  0.7957 	  0.8048 	  0.1968 
	  5.7760 	 3.146375e+00 	 185.4093 	  5.2340 	 1.231462e+23 	 3.543558e+21 	 7.406693e-05 	 8.958511e-06 	  3.3659 	  0.7582 	  0.8072 	  0.1883 
	  5.9160 	 3.100361e+00 	 186.0919 	  5.1387 	 1.208976e+23 	 3.404431e+21 	 7.616305e-05 	 8.680675e-06 	  3.3718 	  0.7232 	  0.8093 	  0.1803 
	  6.0570 	 3.054793e+00 	 186.7572 	  5.0378 	 1.186889e+23 	 3.267335e+21 	 7.821563e-05 	 8.402892e-06 	  3.3779 	  0.6900 	  0.8113 	  0.1726 
	  6.1980 	 3.009992e+00 	 187.4006 	  4.9325 	 1.165353e+23 	 3.133287e+21 	 8.020337e-05 	 8.129503e-06 	  3.3843 	  0.6588 	  0.8130 	  0.1654 
	  7.5780 	 2.609542e+00 	 192.6219 	  3.7404 	 9.812222e+22 	 1.984509e+21 	 9.527305e-05 	 6.068291e-06 	  3.4750 	  0.4528 	  0.8260 	  0.1160 
	  7.7180 	 2.572525e+00 	 193.0508 	  3.6104 	 9.649975e+22 	 1.884743e+21 	 9.630643e-05 	 5.946829e-06 	  3.4879 	  0.4407 	  0.8273 	  0.1130 
	  7.8590 	 2.535870e+00 	 193.4655 	  3.4792 	 9.490681e+22 	 1.787432e+21 	 9.725609e-05 	 5.842791e-06 	  3.5016 	  0.4297 	  0.8287 	  0.1102 
	  7.9990 	 2.500084e+00 	 193.8606 	  3.3490 	 9.336486e+22 	 1.693966e+21 	 9.811151e-05 	 5.757467e-06 	  3.5158 	  0.4202 	  0.8300 	  0.1077 
	  8.1390 	 2.464895e+00 	 194.2393 	  3.2191 	 9.186129e+22 	 1.603655e+21 	 9.888337e-05 	 5.689685e-06 	  3.5305 	  0.4119 	  0.8314 	  0.1055 
	 11.4110 	 1.784681e+00 	 199.3830 	  1.1029 	 6.490555e+22 	 4.129387e+20 	 1.032207e-04 	 6.809744e-06 	  3.8701 	  0.4066 	  0.8623 	  0.0980 
	 11.5510 	 1.760552e+00 	 199.4899 	  1.0766 	 6.399383e+22 	 3.992199e+20 	 1.031884e-04 	 6.902587e-06 	  3.8832 	  0.4086 	  0.8649 	  0.0983 
	 11.6910 	 1.736763e+00 	 199.5930 	  1.0546 	 6.309588e+22 	 3.874214e+20 	 1.031648e-04 	 6.942328e-06 	  3.8965 	  0.4090 	  0.8677 	  0.0983 
	 11.8310 	 1.713308e+00 	 199.6931 	  1.0363 	 6.221134e+22 	 3.772931e+20 	 1.031498e-04 	 6.933965e-06 	  3.9097 	  0.4080 	  0.8708 	  0.0981 
	 11.9710 	 1.690183e+00 	 199.7911 	  1.0214 	 6.133982e+22 	 3.685853e+20 	 1.031394e-04 	 6.884740e-06 	  3.9232 	  0.4058 	  0.8742 	  0.0976 
	 13.3340 	 1.481172e+00 	 200.8135 	  0.9557 	 5.346214e+22 	 3.117726e+20 	 1.018381e-04 	 5.805397e-06 	  4.1087 	  0.3687 	  0.9184 	  0.0898 
	 13.4740 	 1.461274e+00 	 200.9437 	  0.9517 	 5.270889e+22 	 3.062769e+20 	 1.014145e-04 	 5.781902e-06 	  4.1391 	  0.3689 	  0.9240 	  0.0897 
	 13.6130 	 1.441796e+00 	 201.0810 	  0.9480 	 5.197034e+22 	 3.008405e+20 	 1.009151e-04 	 5.793672e-06 	  4.1726 	  0.3706 	  0.9298 	  0.0900 
	 13.7530 	 1.422454e+00 	 201.2283 	  0.9445 	 5.123564e+22 	 2.954002e+20 	 1.003317e-04 	 5.839820e-06 	  4.2100 	  0.3741 	  0.9360 	  0.0906 
	 13.8920 	 1.403523e+00 	 201.3842 	  0.9413 	 5.051504e+22 	 2.900489e+20 	 9.967729e-05 	 5.917382e-06 	  4.2508 	  0.3793 	  0.9422 	  0.0915 
	 15.2670 	 1.230257e+00 	 203.5631 	  0.9177 	 4.382343e+22 	 2.426575e+20 	 9.014559e-05 	 7.113559e-06 	  4.7811 	  0.4883 	  1.0117 	  0.1113 
	 15.4070 	 1.213967e+00 	 203.8282 	  0.9159 	 4.318806e+22 	 2.385243e+20 	 8.894604e-05 	 7.118965e-06 	  4.8363 	  0.4982 	  1.0189 	  0.1130 
	 15.5460 	 1.198025e+00 	 204.0891 	  0.9142 	 4.256694e+22 	 2.345389e+20 	 8.772583e-05 	 7.077255e-06 	  4.8887 	  0.5062 	  1.0261 	  0.1144 
	 15.6850 	 1.182309e+00 	 204.3445 	  0.9126 	 4.195590e+22 	 2.306671e+20 	 8.647928e-05 	 6.984885e-06 	  4.9382 	  0.5119 	  1.0332 	  0.1154 
	 15.8240 	 1.166815e+00 	 204.5915 	  0.9110 	 4.135533e+22 	 2.269049e+20 	 8.521029e-05 	 6.838325e-06 	  4.9841 	  0.5149 	  1.0402 	  0.1160 
	 17.1880 	 1.025703e+00 	 206.0299 	  0.8981 	 3.608300e+22 	 1.949686e+20 	 7.373143e-05 	 4.562451e-06 	  5.2558 	  0.4771 	  1.1103 	  0.1107 
	 17.3270 	 1.012360e+00 	 206.0597 	  0.8969 	 3.560794e+22 	 1.921434e+20 	 7.287944e-05 	 4.522475e-06 	  5.2688 	  0.4795 	  1.1179 	  0.1115 
	 17.4660 	 9.991963e-01 	 206.0723 	  0.8958 	 3.514270e+22 	 1.893844e+20 	 7.212416e-05 	 4.486742e-06 	  5.2797 	  0.4815 	  1.1258 	  0.1124 
	 17.6050 	 9.862090e-01 	 206.0693 	  0.8946 	 3.468677e+22 	 1.866884e+20 	 7.147788e-05 	 4.455702e-06 	  5.2886 	  0.4831 	  1.1337 	  0.1131 
	 17.7440 	 9.733951e-01 	 206.0524 	  0.8935 	 3.423961e+22 	 1.840520e+20 	 7.095098e-05 	 4.429626e-06 	  5.2956 	  0.4844 	  1.1418 	  0.1139 
	 19.1110 	 8.560019e-01 	 205.4438 	  0.8822 	 3.020850e+22 	 1.606749e+20 	 7.306244e-05 	 4.435947e-06 	  5.2589 	  0.4691 	  1.2056 	  0.1151 
	 19.2490 	 8.449664e-01 	 205.3557 	  0.8812 	 2.983199e+22 	 1.585369e+20 	 7.410030e-05 	 4.461257e-06 	  5.2434 	  0.4643 	  1.2079 	  0.1144 
	 19.3880 	 8.339932e-01 	 205.2629 	  0.8802 	 2.945790e+22 	 1.564233e+20 	 7.531171e-05 	 4.490621e-06 	  5.2257 	  0.4589 	  1.2090 	  0.1134 
