	 height_(km) 	 press_(mbar) 	 temp_(K) 	 temperr_(K) 	 numdens_(m-3) 	 numdenserr_(m-3) 	 H2Ovmr_() 	 H2Ovmrerr_() 	 D/H_(VSMOW) 	 D/Herr_(VSMOW) 	 18O/16O_(VSMOW) 	 18O/16Oerr_(VSMOW) 
	  8.3750 	 2.289139e+00 	 144.4033 	  3.1570 	 1.147984e+23 	 2.842707e+21 	 3.652307e-08 	 1.830320e-08 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	  8.5100 	 2.247667e+00 	 144.0839 	  2.9569 	 1.129594e+23 	 2.662561e+21 	 3.443509e-08 	 1.720952e-08 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	  8.6440 	 2.207189e+00 	 143.7818 	  2.7697 	 1.111527e+23 	 2.493480e+21 	 3.247108e-08 	 1.618318e-08 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	  8.7780 	 2.167388e+00 	 143.4943 	  2.5934 	 1.093647e+23 	 2.333816e+21 	 3.061111e-08 	 1.521351e-08 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	  8.9130 	 2.127965e+00 	 143.2190 	  2.4266 	 1.075823e+23 	 2.182208e+21 	 2.883840e-08 	 1.429160e-08 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 11.3880 	 1.515401e+00 	 140.3368 	  0.8976 	 7.831594e+22 	 7.108957e+20 	 1.001268e-08 	 4.730916e-09 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 11.5220 	 1.487655e+00 	 140.2767 	  0.8763 	 7.691839e+22 	 6.838201e+20 	 9.532768e-09 	 4.497524e-09 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 11.6560 	 1.460411e+00 	 140.2244 	  0.8591 	 7.554029e+22 	 6.602753e+20 	 9.090672e-09 	 4.283434e-09 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 11.7900 	 1.433658e+00 	 140.1793 	  0.8457 	 7.418167e+22 	 6.399874e+20 	 8.684158e-09 	 4.087393e-09 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 11.9240 	 1.407391e+00 	 140.1414 	  0.8358 	 7.284256e+22 	 6.226822e+20 	 8.311045e-09 	 3.908172e-09 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
