	 height_(km) 	 press_(mbar) 	 temp_(K) 	 temperr_(K) 	 numdens_(m-3) 	 numdenserr_(m-3) 	 H2Ovmr_() 	 H2Ovmrerr_() 	 D/H_(VSMOW) 	 D/Herr_(VSMOW) 	 18O/16O_(VSMOW) 	 18O/16Oerr_(VSMOW) 
	 12.0770 	 1.307936e+00 	 146.4751 	  3.2708 	 6.486240e+22 	 1.608324e+21 	 2.056160e-06 	 2.928319e-07 	  1.9608 	  0.7871 	  0.4995 	  0.1866 
	 12.2060 	 1.285817e+00 	 146.7190 	  3.1120 	 6.366873e+22 	 1.513599e+21 	 2.147012e-06 	 2.990716e-07 	  1.9304 	  0.7622 	  0.4931 	  0.1810 
	 12.3350 	 1.264085e+00 	 146.9585 	  2.9614 	 6.249675e+22 	 1.423533e+21 	 2.237545e-06 	 3.052072e-07 	  1.9025 	  0.7390 	  0.4872 	  0.1757 
	 12.4640 	 1.242735e+00 	 147.1941 	  2.8186 	 6.134614e+22 	 1.338006e+21 	 2.327758e-06 	 3.112257e-07 	  1.8771 	  0.7173 	  0.4819 	  0.1708 
	 12.5930 	 1.221760e+00 	 147.4264 	  2.6834 	 6.021660e+22 	 1.256896e+21 	 2.417677e-06 	 3.171206e-07 	  1.8539 	  0.6970 	  0.4772 	  0.1663 
	 15.2000 	 8.707475e-01 	 152.2490 	  1.2606 	 4.141433e+22 	 3.729936e+20 	 4.271549e-06 	 4.178445e-07 	  1.7533 	  0.4795 	  0.4733 	  0.1184 
	 15.3290 	 8.565957e-01 	 152.5355 	  1.2384 	 4.065888e+22 	 3.571513e+20 	 4.373398e-06 	 4.227738e-07 	  1.7624 	  0.4745 	  0.4769 	  0.1175 
	 15.4570 	 8.428172e-01 	 152.8281 	  1.2195 	 3.992333e+22 	 3.431488e+20 	 4.476771e-06 	 4.277806e-07 	  1.7724 	  0.4700 	  0.4806 	  0.1165 
	 15.5860 	 8.291920e-01 	 153.1320 	  1.2031 	 3.919588e+22 	 3.306473e+20 	 4.583589e-06 	 4.329657e-07 	  1.7835 	  0.4657 	  0.4847 	  0.1157 
	 15.7150 	 8.158237e-01 	 153.4453 	  1.1894 	 3.848203e+22 	 3.196421e+20 	 4.693392e-06 	 4.383139e-07 	  1.7955 	  0.4616 	  0.4891 	  0.1149 
	 18.2960 	 5.947972e-01 	 162.4501 	  1.1433 	 2.659070e+22 	 2.326541e+20 	 8.284011e-06 	 6.178180e-07 	  2.2093 	  0.4093 	  0.6293 	  0.1061 
