	 height_(km) 	 press_(mbar) 	 temp_(K) 	 temperr_(K) 	 numdens_(m-3) 	 numdenserr_(m-3) 	 H2Ovmr_() 	 H2Ovmrerr_() 	 D/H_(VSMOW) 	 D/Herr_(VSMOW) 	 18O/16O_(VSMOW) 	 18O/16Oerr_(VSMOW) 
	 29.4190 	 3.483450e-01 	 187.0620 	  2.8460 	 1.350202e+22 	 2.304160e+20 	 2.049714e-04 	 1.535583e-05 	  3.7498 	  0.7364 	 -1000.0000 	 -1000.0000 
	 29.5460 	 3.438039e-01 	 187.1546 	  2.7218 	 1.331941e+22 	 2.191093e+20 	 2.080398e-04 	 1.502182e-05 	  3.7494 	  0.7322 	 -1000.0000 	 -1000.0000 
	 29.6720 	 3.393572e-01 	 187.2381 	  2.6073 	 1.314118e+22 	 2.085952e+20 	 2.104857e-04 	 1.469968e-05 	  3.7517 	  0.7293 	 -1000.0000 	 -1000.0000 
	 29.7980 	 3.349684e-01 	 187.3134 	  2.5013 	 1.296582e+22 	 1.987565e+20 	 2.123468e-04 	 1.438657e-05 	  3.7567 	  0.7276 	 -1000.0000 	 -1000.0000 
	 29.9250 	 3.306027e-01 	 187.3814 	  2.4027 	 1.279193e+22 	 1.894978e+20 	 2.133972e-04 	 1.419250e-05 	  3.7642 	  0.7305 	 -1000.0000 	 -1000.0000 
	 31.0490 	 2.943878e-01 	 187.6657 	  1.8337 	 1.137026e+22 	 1.322938e+20 	 2.023464e-04 	 1.319015e-05 	  3.9190 	  0.7800 	 -1000.0000 	 -1000.0000 
	 31.1760 	 2.905574e-01 	 187.6659 	  1.7975 	 1.122201e+22 	 1.281668e+20 	 1.996072e-04 	 1.296521e-05 	  3.9441 	  0.7819 	 -1000.0000 	 -1000.0000 
	 31.3020 	 2.868071e-01 	 187.6605 	  1.7660 	 1.107722e+22 	 1.244491e+20 	 1.966726e-04 	 1.271838e-05 	  3.9701 	  0.7832 	 -1000.0000 	 -1000.0000 
	 31.4280 	 2.831059e-01 	 187.6497 	  1.7385 	 1.093469e+22 	 1.210815e+20 	 1.935499e-04 	 1.244835e-05 	  3.9970 	  0.7841 	 -1000.0000 	 -1000.0000 
	 31.5550 	 2.794243e-01 	 187.6336 	  1.7146 	 1.079325e+22 	 1.180159e+20 	 1.902421e-04 	 1.215397e-05 	  4.0250 	  0.7846 	 -1000.0000 	 -1000.0000 
	 34.2620 	 2.113744e-01 	 186.4473 	  1.4637 	 8.218874e+21 	 8.442290e+19 	 1.380222e-04 	 9.480215e-06 	  4.6394 	  0.8519 	 -1000.0000 	 -1000.0000 
	 34.3880 	 2.086377e-01 	 186.3733 	  1.4431 	 8.115668e+21 	 8.267291e+19 	 1.382557e-04 	 9.630282e-06 	  4.6597 	  0.8596 	 -1000.0000 	 -1000.0000 
	 34.5140 	 2.059360e-01 	 186.3000 	  1.4224 	 8.013705e+21 	 8.091096e+19 	 1.388152e-04 	 9.786508e-06 	  4.6783 	  0.8670 	 -1000.0000 	 -1000.0000 
	 34.6400 	 2.032691e-01 	 186.2277 	  1.4018 	 7.912967e+21 	 7.915498e+19 	 1.396963e-04 	 9.945765e-06 	  4.6948 	  0.8732 	 -1000.0000 	 -1000.0000 
	 34.7660 	 2.006367e-01 	 186.1567 	  1.3819 	 7.813436e+21 	 7.742289e+19 	 1.408880e-04 	 1.010791e-05 	  4.7091 	  0.8777 	 -1000.0000 	 -1000.0000 
	 35.8850 	 1.787260e-01 	 185.6355 	  1.2775 	 6.979541e+21 	 6.541366e+19 	 1.617373e-04 	 1.161512e-05 	  4.7521 	  0.8291 	 -1000.0000 	 -1000.0000 
	 36.0110 	 1.764158e-01 	 185.5929 	  1.2746 	 6.890901e+21 	 6.448655e+19 	 1.646333e-04 	 1.176917e-05 	  4.7507 	  0.8155 	 -1000.0000 	 -1000.0000 
	 36.1370 	 1.741350e-01 	 185.5541 	  1.2729 	 6.803241e+21 	 6.361858e+19 	 1.674620e-04 	 1.190351e-05 	  4.7490 	  0.8005 	 -1000.0000 	 -1000.0000 
	 36.2620 	 1.719009e-01 	 185.5193 	  1.2722 	 6.717222e+21 	 6.280683e+19 	 1.701464e-04 	 1.201313e-05 	  4.7476 	  0.7849 	 -1000.0000 	 -1000.0000 
	 36.3880 	 1.696771e-01 	 185.4882 	  1.2723 	 6.631444e+21 	 6.202913e+19 	 1.726785e-04 	 1.209524e-05 	  4.7470 	  0.7691 	 -1000.0000 	 -1000.0000 
	 37.5180 	 1.509071e-01 	 185.3984 	  1.2768 	 5.900705e+21 	 5.557969e+19 	 1.822001e-04 	 1.215610e-05 	  4.7895 	  0.6766 	 -1000.0000 	 -1000.0000 
	 37.6440 	 1.489404e-01 	 185.4093 	  1.2767 	 5.823451e+21 	 5.486434e+19 	 1.817169e-04 	 1.217455e-05 	  4.8012 	  0.6742 	 -1000.0000 	 -1000.0000 
	 37.7690 	 1.470144e-01 	 185.4238 	  1.2766 	 5.747683e+21 	 5.415959e+19 	 1.810143e-04 	 1.219822e-05 	  4.8143 	  0.6732 	 -1000.0000 	 -1000.0000 
	 37.8940 	 1.451134e-01 	 185.4420 	  1.2766 	 5.672794e+21 	 5.346167e+19 	 1.801354e-04 	 1.222286e-05 	  4.8286 	  0.6730 	 -1000.0000 	 -1000.0000 
	 38.0190 	 1.432375e-01 	 185.4638 	  1.2768 	 5.598796e+21 	 5.277248e+19 	 1.791309e-04 	 1.224398e-05 	  4.8438 	  0.6734 	 -1000.0000 	 -1000.0000 
	 39.1380 	 1.275576e-01 	 185.7866 	  1.2917 	 4.977600e+21 	 4.724326e+19 	 1.712992e-04 	 1.203178e-05 	  4.9579 	  0.6761 	 -1000.0000 	 -1000.0000 
	 39.2640 	 1.259122e-01 	 185.8286 	  1.2951 	 4.912323e+21 	 4.669729e+19 	 1.709233e-04 	 1.196139e-05 	  4.9601 	  0.6740 	 -1000.0000 	 -1000.0000 
	 39.3890 	 1.243021e-01 	 185.8689 	  1.2986 	 4.848479e+21 	 4.616791e+19 	 1.706404e-04 	 1.189009e-05 	  4.9587 	  0.6713 	 -1000.0000 	 -1000.0000 
	 39.5140 	 1.227135e-01 	 185.9069 	  1.3023 	 4.785540e+21 	 4.564970e+19 	 1.704274e-04 	 1.181978e-05 	  4.9540 	  0.6680 	 -1000.0000 	 -1000.0000 
	 39.6390 	 1.211459e-01 	 185.9419 	  1.3062 	 4.723498e+21 	 4.514163e+19 	 1.702602e-04 	 1.175263e-05 	  4.9460 	  0.6639 	 -1000.0000 	 -1000.0000 
	 40.7620 	 1.079215e-01 	 186.0442 	  1.3415 	 4.204729e+21 	 4.086099e+19 	 1.669342e-04 	 1.115759e-05 	  4.7944 	  0.6053 	 -1000.0000 	 -1000.0000 
	 40.8860 	 1.065503e-01 	 186.0423 	  1.3446 	 4.151291e+21 	 4.040076e+19 	 1.661283e-04 	 1.104411e-05 	  4.7774 	  0.5964 	 -1000.0000 	 -1000.0000 
	 41.0110 	 1.051853e-01 	 186.0430 	  1.3472 	 4.098071e+21 	 3.993550e+19 	 1.652240e-04 	 1.090491e-05 	  4.7618 	  0.5866 	 -1000.0000 	 -1000.0000 
	 41.1360 	 1.038375e-01 	 186.0478 	  1.3493 	 4.045469e+21 	 3.946786e+19 	 1.642273e-04 	 1.074169e-05 	  4.7478 	  0.5765 	 -1000.0000 	 -1000.0000 
	 41.2610 	 1.025069e-01 	 186.0584 	  1.3510 	 3.993447e+21 	 3.899681e+19 	 1.631402e-04 	 1.055579e-05 	  4.7356 	  0.5662 	 -1000.0000 	 -1000.0000 
	 42.3780 	 9.135190e-02 	 186.5925 	  1.3352 	 3.549900e+21 	 3.453058e+19 	 1.505959e-04 	 8.244521e-06 	  4.7234 	  0.4793 	 -1000.0000 	 -1000.0000 
	 42.5020 	 9.019221e-02 	 186.6888 	  1.3310 	 3.503092e+21 	 3.402139e+19 	 1.490216e-04 	 7.988321e-06 	  4.7340 	  0.4720 	 -1000.0000 	 -1000.0000 
	 42.6260 	 8.904756e-02 	 186.7849 	  1.3268 	 3.456876e+21 	 3.351704e+19 	 1.474392e-04 	 7.749976e-06 	  4.7472 	  0.4656 	 -1000.0000 	 -1000.0000 
	 42.7500 	 8.791778e-02 	 186.8783 	  1.3227 	 3.411286e+21 	 3.301980e+19 	 1.458609e-04 	 7.532746e-06 	  4.7628 	  0.4599 	 -1000.0000 	 -1000.0000 
	 42.8740 	 8.680269e-02 	 186.9668 	  1.3188 	 3.366357e+21 	 3.253194e+19 	 1.443019e-04 	 7.339230e-06 	  4.7806 	  0.4551 	 -1000.0000 	 -1000.0000 
	 43.9980 	 7.733339e-02 	 187.1990 	  1.3138 	 2.993867e+21 	 2.885263e+19 	 1.335758e-04 	 6.719590e-06 	  4.9773 	  0.4539 	 -1000.0000 	 -1000.0000 
	 44.1220 	 7.635554e-02 	 187.1474 	  1.3169 	 2.956670e+21 	 2.853500e+19 	 1.330396e-04 	 6.724295e-06 	  4.9956 	  0.4575 	 -1000.0000 	 -1000.0000 
	 44.2460 	 7.539021e-02 	 187.0815 	  1.3204 	 2.920183e+21 	 2.823136e+19 	 1.326588e-04 	 6.731918e-06 	  5.0119 	  0.4608 	 -1000.0000 	 -1000.0000 
	 44.3700 	 7.443720e-02 	 187.0018 	  1.3243 	 2.884385e+21 	 2.794051e+19 	 1.324269e-04 	 6.740544e-06 	  5.0262 	  0.4638 	 -1000.0000 	 -1000.0000 
	 44.4940 	 7.349630e-02 	 186.9089 	  1.3285 	 2.849254e+21 	 2.766123e+19 	 1.323293e-04 	 6.749971e-06 	  5.0385 	  0.4666 	 -1000.0000 	 -1000.0000 
	 47.2110 	 5.551304e-02 	 182.5605 	  1.3314 	 2.204396e+21 	 2.208018e+19 	 1.334329e-04 	 6.241878e-06 	  5.0550 	  0.5024 	 -1000.0000 	 -1000.0000 
	 47.3340 	 5.480212e-02 	 182.3192 	  1.3233 	 2.179022e+21 	 2.177852e+19 	 1.324205e-04 	 6.120772e-06 	  5.0551 	  0.5058 	 -1000.0000 	 -1000.0000 
	 47.4580 	 5.409382e-02 	 182.0817 	  1.3151 	 2.153643e+21 	 2.147388e+19 	 1.312459e-04 	 5.982340e-06 	  5.0560 	  0.5088 	 -1000.0000 	 -1000.0000 
	 47.5820 	 5.339394e-02 	 181.8515 	  1.3069 	 2.128453e+21 	 2.117035e+19 	 1.299239e-04 	 5.829343e-06 	  5.0577 	  0.5115 	 -1000.0000 	 -1000.0000 
	 47.7050 	 5.270803e-02 	 181.6322 	  1.2990 	 2.103640e+21 	 2.087200e+19 	 1.284841e-04 	 5.663167e-06 	  5.0602 	  0.5137 	 -1000.0000 	 -1000.0000 
	 48.8170 	 4.688136e-02 	 180.2673 	  1.2640 	 1.885509e+21 	 1.852007e+19 	 1.127951e-04 	 4.604370e-06 	  5.1040 	  0.5317 	 -1000.0000 	 -1000.0000 
	 48.9400 	 4.627699e-02 	 180.1802 	  1.2645 	 1.862118e+21 	 1.830301e+19 	 1.112559e-04 	 4.531772e-06 	  5.1094 	  0.5323 	 -1000.0000 	 -1000.0000 
	 49.0630 	 4.568017e-02 	 180.1002 	  1.2655 	 1.838924e+21 	 1.809217e+19 	 1.098366e-04 	 4.467060e-06 	  5.1147 	  0.5325 	 -1000.0000 	 -1000.0000 
	 49.1860 	 4.509078e-02 	 180.0256 	  1.2669 	 1.815941e+21 	 1.788674e+19 	 1.085521e-04 	 4.410441e-06 	  5.1194 	  0.5320 	 -1000.0000 	 -1000.0000 
	 49.3090 	 4.450869e-02 	 179.9546 	  1.2687 	 1.793186e+21 	 1.768591e+19 	 1.074123e-04 	 4.361784e-06 	  5.1236 	  0.5309 	 -1000.0000 	 -1000.0000 
	 50.4370 	 3.949028e-02 	 179.2071 	  1.2823 	 1.597382e+21 	 1.593686e+19 	 1.031632e-04 	 4.163429e-06 	  5.1120 	  0.5236 	 -1000.0000 	 -1000.0000 
	 50.5600 	 3.897629e-02 	 179.1037 	  1.2828 	 1.577499e+21 	 1.575107e+19 	 1.032377e-04 	 4.155704e-06 	  5.1047 	  0.5244 	 -1000.0000 	 -1000.0000 
	 50.6830 	 3.846862e-02 	 178.9967 	  1.2832 	 1.557887e+21 	 1.556663e+19 	 1.033808e-04 	 4.148539e-06 	  5.0963 	  0.5251 	 -1000.0000 	 -1000.0000 
	 50.8060 	 3.796721e-02 	 178.8866 	  1.2835 	 1.538537e+21 	 1.538371e+19 	 1.035744e-04 	 4.141452e-06 	  5.0870 	  0.5256 	 -1000.0000 	 -1000.0000 
	 50.9290 	 3.747202e-02 	 178.7736 	  1.2837 	 1.519444e+21 	 1.520249e+19 	 1.037982e-04 	 4.134053e-06 	  5.0771 	  0.5260 	 -1000.0000 	 -1000.0000 
	 52.0400 	 3.327143e-02 	 177.6759 	  1.2857 	 1.357573e+21 	 1.366725e+19 	 1.045529e-04 	 4.033624e-06 	  4.9838 	  0.5304 	 -1000.0000 	 -1000.0000 
	 52.1630 	 3.283526e-02 	 177.5474 	  1.2861 	 1.340747e+21 	 1.350927e+19 	 1.042303e-04 	 4.017482e-06 	  4.9760 	  0.5316 	 -1000.0000 	 -1000.0000 
	 52.2850 	 3.240804e-02 	 177.4182 	  1.2865 	 1.324266e+21 	 1.335474e+19 	 1.037895e-04 	 4.000314e-06 	  4.9693 	  0.5330 	 -1000.0000 	 -1000.0000 
	 52.4080 	 3.198268e-02 	 177.2861 	  1.2870 	 1.307856e+21 	 1.320106e+19 	 1.032274e-04 	 3.981972e-06 	  4.9638 	  0.5347 	 -1000.0000 	 -1000.0000 
	 52.5300 	 3.156602e-02 	 177.1530 	  1.2875 	 1.291782e+21 	 1.305066e+19 	 1.025624e-04 	 3.962955e-06 	  4.9595 	  0.5366 	 -1000.0000 	 -1000.0000 
	 53.6500 	 2.797208e-02 	 175.8271 	  1.2928 	 1.153262e+21 	 1.175087e+19 	 9.381473e-05 	 3.796601e-06 	  5.0019 	  0.5666 	 -1000.0000 	 -1000.0000 
	 53.7730 	 2.760173e-02 	 175.6745 	  1.2930 	 1.138979e+21 	 1.161480e+19 	 9.283221e-05 	 3.783811e-06 	  5.0190 	  0.5714 	 -1000.0000 	 -1000.0000 
	 53.8950 	 2.723901e-02 	 175.5236 	  1.2931 	 1.124977e+21 	 1.148060e+19 	 9.190331e-05 	 3.772871e-06 	  5.0390 	  0.5765 	 -1000.0000 	 -1000.0000 
	 54.0180 	 2.687794e-02 	 175.3725 	  1.2929 	 1.111023e+21 	 1.134590e+19 	 9.102350e-05 	 3.763603e-06 	  5.0620 	  0.5820 	 -1000.0000 	 -1000.0000 
	 54.1400 	 2.652434e-02 	 175.2242 	  1.2925 	 1.097339e+21 	 1.121273e+19 	 9.021689e-05 	 3.756055e-06 	  5.0874 	  0.5876 	 -1000.0000 	 -1000.0000 
	 55.2530 	 2.350086e-02 	 174.0194 	  1.2739 	 9.790111e+20 	 1.000117e+19 	 8.730226e-05 	 3.717271e-06 	  5.3160 	  0.6347 	 -1000.0000 	 -1000.0000 
	 55.3750 	 2.319067e-02 	 173.9066 	  1.2709 	 9.667130e+20 	 9.870824e+18 	 8.758323e-05 	 3.712359e-06 	  5.3260 	  0.6373 	 -1000.0000 	 -1000.0000 
	 55.4970 	 2.288445e-02 	 173.7971 	  1.2681 	 9.545452e+20 	 9.742044e+18 	 8.799398e-05 	 3.706845e-06 	  5.3304 	  0.6390 	 -1000.0000 	 -1000.0000 
	 55.6200 	 2.257966e-02 	 173.6900 	  1.2655 	 9.424094e+20 	 9.614131e+18 	 8.853488e-05 	 3.700704e-06 	  5.3289 	  0.6398 	 -1000.0000 	 -1000.0000 
	 55.7420 	 2.228121e-02 	 173.5870 	  1.2633 	 9.305026e+20 	 9.489496e+18 	 8.918908e-05 	 3.694188e-06 	  5.3217 	  0.6398 	 -1000.0000 	 -1000.0000 
	 56.8560 	 1.972312e-02 	 172.7575 	  1.2730 	 8.277247e+20 	 8.499478e+18 	 9.821904e-05 	 3.681373e-06 	  5.1090 	  0.6678 	 -1000.0000 	 -1000.0000 
	 56.9780 	 1.946039e-02 	 172.6739 	  1.2772 	 8.171157e+20 	 8.407391e+18 	 9.926820e-05 	 3.693075e-06 	  5.0830 	  0.6720 	 -1000.0000 	 -1000.0000 
	 57.1000 	 1.920095e-02 	 172.5903 	  1.2818 	 8.066337e+20 	 8.317729e+18 	 1.002724e-04 	 3.708930e-06 	  5.0588 	  0.6769 	 -1000.0000 	 -1000.0000 
	 57.2210 	 1.894687e-02 	 172.5071 	  1.2865 	 7.963630e+20 	 8.230940e+18 	 1.012114e-04 	 3.728952e-06 	  5.0370 	  0.6824 	 -1000.0000 	 -1000.0000 
	 57.3430 	 1.869391e-02 	 172.4227 	  1.2915 	 7.861336e+20 	 8.145332e+18 	 1.020904e-04 	 3.753463e-06 	  5.0174 	  0.6887 	 -1000.0000 	 -1000.0000 
	 60.0490 	 1.384335e-02 	 169.6647 	  1.2573 	 5.914146e+20 	 6.214549e+18 	 9.811876e-05 	 4.283034e-06 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 60.1710 	 1.365579e-02 	 169.4904 	  1.2449 	 5.839958e+20 	 6.112184e+18 	 9.687464e-05 	 4.249824e-06 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 60.2920 	 1.347216e-02 	 169.3192 	  1.2325 	 5.767246e+20 	 6.011068e+18 	 9.557401e-05 	 4.209755e-06 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 60.4130 	 1.329089e-02 	 169.1512 	  1.2203 	 5.695338e+20 	 5.910906e+18 	 9.421508e-05 	 4.163279e-06 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 60.5350 	 1.311048e-02 	 168.9865 	  1.2083 	 5.623589e+20 	 5.811431e+18 	 9.279588e-05 	 4.110937e-06 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 61.6460 	 1.157155e-02 	 167.9212 	  1.1490 	 4.996192e+20 	 5.052425e+18 	 7.952367e-05 	 3.592518e-06 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 61.7660 	 1.141606e-02 	 167.8566 	  1.1483 	 4.930991e+20 	 4.987111e+18 	 7.822153e-05 	 3.548835e-06 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 61.8870 	 1.126132e-02 	 167.7988 	  1.1483 	 4.865831e+20 	 4.923406e+18 	 7.695966e-05 	 3.509082e-06 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 62.0070 	 1.110985e-02 	 167.7477 	  1.1486 	 4.801814e+20 	 4.861994e+18 	 7.576191e-05 	 3.473911e-06 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 62.1280 	 1.095912e-02 	 167.7018 	  1.1493 	 4.737901e+20 	 4.801479e+18 	 7.460925e-05 	 3.442512e-06 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 63.2360 	 9.668392e-03 	 167.4088 	  1.1444 	 4.186365e+20 	 4.257542e+18 	 6.608169e-05 	 3.258685e-06 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 63.3560 	 9.538007e-03 	 167.3891 	  1.1417 	 4.130367e+20 	 4.197668e+18 	 6.530666e-05 	 3.241996e-06 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 63.4770 	 9.408356e-03 	 167.3733 	  1.1388 	 4.074599e+20 	 4.137379e+18 	 6.454049e-05 	 3.224703e-06 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 63.5970 	 9.281572e-03 	 167.3624 	  1.1356 	 4.019970e+20 	 4.077783e+18 	 6.379261e-05 	 3.206972e-06 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 63.7180 	 9.155533e-03 	 167.3565 	  1.1323 	 3.965554e+20 	 4.017995e+18 	 6.304777e-05 	 3.188467e-06 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 64.8360 	 8.074097e-03 	 167.6188 	  1.1003 	 3.492405e+20 	 3.497396e+18 	 5.639048e-05 	 2.999350e-06 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 64.9560 	 7.966403e-03 	 167.6728 	  1.0971 	 3.444745e+20 	 3.445783e+18 	 5.569230e-05 	 2.978246e-06 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 65.0770 	 7.859304e-03 	 167.7282 	  1.0939 	 3.397321e+20 	 3.394568e+18 	 5.499315e-05 	 2.956980e-06 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 65.1970 	 7.754528e-03 	 167.7826 	  1.0908 	 3.350924e+20 	 3.344587e+18 	 5.430597e-05 	 2.935951e-06 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 65.3180 	 7.650284e-03 	 167.8358 	  1.0876 	 3.304789e+20 	 3.294993e+18 	 5.362116e-05 	 2.914869e-06 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 66.4220 	 6.757812e-03 	 168.0599 	  1.0570 	 2.914742e+20 	 2.877925e+18 	 4.809655e-05 	 2.743023e-06 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 66.5420 	 6.666841e-03 	 168.0511 	  1.0535 	 2.875636e+20 	 2.836304e+18 	 4.760234e-05 	 2.728123e-06 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 66.6610 	 6.577797e-03 	 168.0376 	  1.0501 	 2.837453e+20 	 2.795733e+18 	 4.713587e-05 	 2.714324e-06 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 66.7810 	 6.489188e-03 	 168.0198 	  1.0467 	 2.799540e+20 	 2.755528e+18 	 4.668970e-05 	 2.701437e-06 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 66.9010 	 6.401771e-03 	 167.9983 	  1.0433 	 2.762208e+20 	 2.716030e+18 	 4.626809e-05 	 2.689611e-06 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 68.0120 	 5.648951e-03 	 167.6973 	  1.0161 	 2.442246e+20 	 2.383419e+18 	 4.349137e-05 	 2.627373e-06 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 68.1320 	 5.573431e-03 	 167.6459 	  1.0137 	 2.410351e+20 	 2.351064e+18 	 4.331095e-05 	 2.625213e-06 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
