	 height_(km) 	 press_(mbar) 	 temp_(K) 	 temperr_(K) 	 numdens_(m-3) 	 numdenserr_(m-3) 	 H2Ovmr_() 	 H2Ovmrerr_() 	 D/H_(VSMOW) 	 D/Herr_(VSMOW) 	 18O/16O_(VSMOW) 	 18O/16Oerr_(VSMOW) 
	  5.9240 	 1.494369e+00 	 169.2699 	  1.7843 	 6.524111e+22 	 8.410279e+20 	 1.515789e-05 	 2.258962e-06 	  2.6958 	  0.6790 	 -1000.0000 	 -1000.0000 
	  6.0490 	 1.472876e+00 	 170.8606 	  1.7273 	 6.376149e+22 	 7.994780e+20 	 1.717808e-05 	 2.451623e-06 	  2.6786 	  0.6501 	 -1000.0000 	 -1000.0000 
	  6.1730 	 1.451918e+00 	 172.3434 	  1.6733 	 6.234349e+22 	 7.602103e+20 	 1.934179e-05 	 2.644046e-06 	  2.6656 	  0.6235 	 -1000.0000 	 -1000.0000 
	  6.2980 	 1.431150e+00 	 173.7451 	  1.6215 	 6.096306e+22 	 7.225427e+20 	 2.168140e-05 	 2.837582e-06 	  2.6566 	  0.5986 	 -1000.0000 	 -1000.0000 
	  6.4220 	 1.410901e+00 	 175.0461 	  1.5725 	 5.964115e+22 	 6.870296e+20 	 2.415487e-05 	 3.027374e-06 	  2.6514 	  0.5757 	 -1000.0000 	 -1000.0000 
	  9.0670 	 1.052564e+00 	 186.6637 	  1.0101 	 4.056965e+22 	 2.801891e+20 	 8.677470e-05 	 4.671834e-06 	  3.2658 	  0.3268 	  0.8950 	  0.1035 
	  9.1910 	 1.038755e+00 	 186.6917 	  1.0012 	 4.000340e+22 	 2.733899e+20 	 8.872050e-05 	 4.637957e-06 	  3.3231 	  0.3220 	  0.9090 	  0.1034 
	  9.3150 	 1.025172e+00 	 186.6949 	  0.9935 	 3.945757e+22 	 2.673168e+20 	 9.048850e-05 	 4.600189e-06 	  3.3825 	  0.3200 	  0.9235 	  0.1033 
	  9.4390 	 1.011810e+00 	 186.6761 	  0.9868 	 3.893098e+22 	 2.619219e+20 	 9.207782e-05 	 4.559466e-06 	  3.4439 	  0.3193 	  0.9386 	  0.1034 
	  9.5630 	 9.986635e-01 	 186.6380 	  0.9811 	 3.842251e+22 	 2.571572e+20 	 9.348947e-05 	 4.516658e-06 	  3.5070 	  0.3185 	  0.9540 	  0.1035 
	 12.1800 	 7.622197e-01 	 186.1304 	  0.9899 	 2.990374e+22 	 2.197714e+20 	 9.646596e-05 	 5.039618e-06 	  4.9465 	  0.3415 	  1.3099 	  0.1106 
	 12.3030 	 7.526670e-01 	 186.2817 	  0.9925 	 2.953546e+22 	 2.179734e+20 	 9.629554e-05 	 4.933888e-06 	  4.9982 	  0.3394 	  1.3227 	  0.1089 
	 12.4270 	 7.431600e-01 	 186.4517 	  0.9952 	 2.916519e+22 	 2.160726e+20 	 9.618284e-05 	 4.817145e-06 	  5.0466 	  0.3367 	  1.3346 	  0.1069 
	 12.5510 	 7.337757e-01 	 186.6384 	  0.9980 	 2.879603e+22 	 2.140873e+20 	 9.613448e-05 	 4.697430e-06 	  5.0908 	  0.3334 	  1.3456 	  0.1047 
	 12.6750 	 7.245127e-01 	 186.8411 	  1.0007 	 2.842810e+22 	 2.120216e+20 	 9.615250e-05 	 4.579862e-06 	  5.1307 	  0.3300 	  1.3554 	  0.1024 
	 18.3750 	 4.087618e-01 	 199.1152 	  1.0917 	 1.482702e+22 	 9.999206e+19 	 1.087081e-04 	 4.692740e-06 	  4.4215 	  0.3280 	  1.1766 	  0.0892 
	 18.4980 	 4.038739e-01 	 199.1778 	  1.0913 	 1.464095e+22 	 9.854803e+19 	 1.076766e-04 	 4.687481e-06 	  4.4112 	  0.3306 	  1.1734 	  0.0898 
	 18.6210 	 3.990498e-01 	 199.2312 	  1.0909 	 1.445917e+22 	 9.715998e+19 	 1.065403e-04 	 4.679129e-06 	  4.4034 	  0.3335 	  1.1706 	  0.0905 
	 18.7440 	 3.942885e-01 	 199.2764 	  1.0903 	 1.428148e+22 	 9.582435e+19 	 1.053071e-04 	 4.667618e-06 	  4.3980 	  0.3365 	  1.1685 	  0.0912 
	 18.8680 	 3.895511e-01 	 199.3150 	  1.0896 	 1.410626e+22 	 9.452730e+19 	 1.039763e-04 	 4.652800e-06 	  4.3952 	  0.3398 	  1.1668 	  0.0920 
	 21.4580 	 3.032988e-01 	 200.3830 	  1.0553 	 1.099155e+22 	 7.262144e+19 	 7.717498e-05 	 3.885729e-06 	  4.7257 	  0.4055 	  1.2390 	  0.1072 
	 21.5810 	 2.997338e-01 	 200.5079 	  1.0533 	 1.085701e+22 	 7.161847e+19 	 7.668442e-05 	 3.843678e-06 	  4.7495 	  0.4059 	  1.2463 	  0.1072 
	 21.7030 	 2.962405e-01 	 200.6384 	  1.0512 	 1.072452e+22 	 7.062503e+19 	 7.631487e-05 	 3.802528e-06 	  4.7727 	  0.4058 	  1.2538 	  0.1072 
	 21.8260 	 2.927611e-01 	 200.7761 	  1.0493 	 1.059194e+22 	 6.962590e+19 	 7.606072e-05 	 3.761621e-06 	  4.7955 	  0.4051 	  1.2615 	  0.1071 
	 21.9490 	 2.893239e-01 	 200.9195 	  1.0473 	 1.046042e+22 	 6.863032e+19 	 7.592349e-05 	 3.721269e-06 	  4.8175 	  0.4040 	  1.2694 	  0.1068 
	 24.5430 	 2.257425e-01 	 204.4668 	  1.0455 	 7.997538e+21 	 5.033490e+19 	 9.071218e-05 	 3.846004e-06 	  4.9692 	  0.3438 	  1.3972 	  0.0923 
	 24.6660 	 2.231092e-01 	 204.6219 	  1.0479 	 7.897708e+21 	 4.965800e+19 	 9.176715e-05 	 3.901413e-06 	  4.9582 	  0.3421 	  1.3984 	  0.0919 
	 24.7880 	 2.205284e-01 	 204.7713 	  1.0504 	 7.800207e+21 	 4.900392e+19 	 9.279338e-05 	 3.949712e-06 	  4.9454 	  0.3404 	  1.3989 	  0.0915 
	 24.9100 	 2.179782e-01 	 204.9160 	  1.0532 	 7.704201e+21 	 4.836670e+19 	 9.379401e-05 	 3.989102e-06 	  4.9309 	  0.3386 	  1.3987 	  0.0911 
	 25.0320 	 2.154582e-01 	 205.0555 	  1.0561 	 7.609676e+21 	 4.774596e+19 	 9.476519e-05 	 4.019024e-06 	  4.9149 	  0.3367 	  1.3978 	  0.0906 
	 30.6620 	 1.260097e-01 	 199.0338 	  1.1682 	 4.587660e+21 	 3.027890e+19 	 9.017583e-05 	 2.689190e-06 	  3.8870 	  0.4362 	  1.1502 	  0.0926 
	 30.7830 	 1.245384e-01 	 198.5359 	  1.1665 	 4.545171e+21 	 3.000679e+19 	 8.897243e-05 	 2.666698e-06 	  3.8830 	  0.4498 	  1.1500 	  0.0932 
	 30.9040 	 1.230820e-01 	 198.0301 	  1.1647 	 4.503226e+21 	 2.973529e+19 	 8.773572e-05 	 2.641633e-06 	  3.8807 	  0.4639 	  1.1505 	  0.0937 
	 31.0250 	 1.216404e-01 	 197.5183 	  1.1627 	 4.461783e+21 	 2.946440e+19 	 8.646817e-05 	 2.614110e-06 	  3.8799 	  0.4785 	  1.1514 	  0.0943 
	 31.1460 	 1.202133e-01 	 197.0022 	  1.1607 	 4.420804e+21 	 2.919409e+19 	 8.517255e-05 	 2.584309e-06 	  3.8805 	  0.4935 	  1.1529 	  0.0948 
	 33.7040 	 9.323051e-02 	 188.1383 	  1.1247 	 3.594391e+21 	 2.359537e+19 	 5.671269e-05 	 2.613436e-06 	  3.9605 	  0.8592 	  1.2115 	  0.1276 
	 33.8250 	 9.209517e-02 	 187.9144 	  1.1244 	 3.555058e+21 	 2.333567e+19 	 5.550609e-05 	 2.604993e-06 	  3.9536 	  0.8735 	  1.2110 	  0.1298 
	 33.9460 	 9.097195e-02 	 187.7076 	  1.1242 	 3.515737e+21 	 2.307654e+19 	 5.432332e-05 	 2.590365e-06 	  3.9446 	  0.8871 	  1.2099 	  0.1318 
	 34.0670 	 8.986081e-02 	 187.5172 	  1.1242 	 3.476450e+21 	 2.281800e+19 	 5.316548e-05 	 2.570217e-06 	  3.9336 	  0.9001 	  1.2082 	  0.1338 
