	 height_(km) 	 press_(mbar) 	 temp_(K) 	 temperr_(K) 	 numdens_(m-3) 	 numdenserr_(m-3) 	 H2Ovmr_() 	 H2Ovmrerr_() 	 D/H_(VSMOW) 	 D/Herr_(VSMOW) 	 18O/16O_(VSMOW) 	 18O/16Oerr_(VSMOW) 
	  6.6870 	 2.239684e+00 	 207.3466 	  3.6032 	 7.832366e+22 	 1.383472e+21 	 1.842963e-04 	 8.876231e-06 	  4.3303 	  0.4539 	  0.9606 	  0.1225 
	  6.8270 	 2.210244e+00 	 206.9752 	  3.5139 	 7.743206e+22 	 1.336897e+21 	 1.849406e-04 	 9.300249e-06 	  4.3602 	  0.4545 	  0.9618 	  0.1209 
	  6.9670 	 2.181142e+00 	 206.5761 	  3.4160 	 7.655829e+22 	 1.288559e+21 	 1.863562e-04 	 9.687616e-06 	  4.3808 	  0.4549 	  0.9617 	  0.1194 
	  7.1080 	 2.152170e+00 	 206.1495 	  3.3096 	 7.569503e+22 	 1.238417e+21 	 1.885739e-04 	 9.999576e-06 	  4.3925 	  0.4535 	  0.9604 	  0.1176 
	  7.2480 	 2.123735e+00 	 205.7049 	  3.1976 	 7.485324e+22 	 1.187502e+21 	 1.915196e-04 	 1.021811e-05 	  4.3957 	  0.4492 	  0.9580 	  0.1155 
	  8.2070 	 1.937473e+00 	 202.3717 	  2.3413 	 6.939800e+22 	 8.337628e+20 	 2.233562e-04 	 9.233307e-06 	  4.2470 	  0.3428 	  0.9262 	  0.0896 
	  8.3470 	 1.911474e+00 	 201.8830 	  2.2160 	 6.863236e+22 	 7.850811e+20 	 2.282376e-04 	 8.716830e-06 	  4.2094 	  0.3217 	  0.9210 	  0.0853 
	  8.4880 	 1.885583e+00 	 201.4004 	  2.0929 	 6.786539e+22 	 7.377633e+20 	 2.329883e-04 	 8.358375e-06 	  4.1700 	  0.3058 	  0.9160 	  0.0820 
	  8.6280 	 1.860164e+00 	 200.9345 	  1.9750 	 6.710670e+22 	 6.928008e+20 	 2.376122e-04 	 8.338612e-06 	  4.1300 	  0.2972 	  0.9117 	  0.0801 
	  8.7680 	 1.835026e+00 	 200.4850 	  1.8624 	 6.634957e+22 	 6.501697e+20 	 2.418974e-04 	 8.312107e-06 	  4.0900 	  0.2892 	  0.9079 	  0.0783 
