	 height_(km) 	 press_(mbar) 	 temp_(K) 	 temperr_(K) 	 numdens_(m-3) 	 numdenserr_(m-3) 	 H2Ovmr_() 	 H2Ovmrerr_() 	 D/H_(VSMOW) 	 D/Herr_(VSMOW) 	 18O/16O_(VSMOW) 	 18O/16Oerr_(VSMOW) 
	  4.0670 	 3.328725e+00 	 179.0659 	  6.1640 	 1.347672e+23 	 4.693485e+21 	 2.099826e-05 	 3.702612e-06 	  2.3487 	  0.5593 	 -1000.0000 	 -1000.0000 
	  4.0890 	 3.320745e+00 	 179.0613 	  6.1477 	 1.344488e+23 	 4.670088e+21 	 2.108607e-05 	 3.718866e-06 	  2.3420 	  0.5566 	 -1000.0000 	 -1000.0000 
	  4.2660 	 3.257325e+00 	 179.0195 	  6.0169 	 1.319178e+23 	 4.485123e+21 	 2.169950e-05 	 3.845859e-06 	  2.2951 	  0.5378 	 -1000.0000 	 -1000.0000 
	  4.2880 	 3.249539e+00 	 179.0139 	  6.0007 	 1.316070e+23 	 4.462534e+21 	 2.176434e-05 	 3.861048e-06 	  2.2900 	  0.5358 	 -1000.0000 	 -1000.0000 
	  4.4650 	 3.187650e+00 	 178.9668 	  5.8703 	 1.291358e+23 	 4.283917e+21 	 2.219778e-05 	 3.976665e-06 	  2.2552 	  0.5219 	 -1000.0000 	 -1000.0000 
	  5.1090 	 2.973123e+00 	 178.8234 	  5.3989 	 1.205314e+23 	 3.677793e+21 	 2.264998e-05 	 4.243429e-06 	  2.2006 	  0.4957 	 -1000.0000 	 -1000.0000 
	  5.1420 	 2.962551e+00 	 178.8196 	  5.3749 	 1.201048e+23 	 3.648446e+21 	 2.263688e-05 	 4.248829e-06 	  2.2004 	  0.4950 	 -1000.0000 	 -1000.0000 
	  5.3070 	 2.910262e+00 	 178.8090 	  5.2548 	 1.179891e+23 	 3.504023e+21 	 2.253828e-05 	 4.262756e-06 	  2.2018 	  0.4919 	 -1000.0000 	 -1000.0000 
	  5.3410 	 2.899603e+00 	 178.8087 	  5.2301 	 1.175566e+23 	 3.474731e+21 	 2.251238e-05 	 4.262960e-06 	  2.2026 	  0.4913 	 -1000.0000 	 -1000.0000 
	  5.3690 	 2.890855e+00 	 178.8091 	  5.2097 	 1.172013e+23 	 3.450724e+21 	 2.248995e-05 	 4.262463e-06 	  2.2034 	  0.4908 	 -1000.0000 	 -1000.0000 
