	 height_(km) 	 press_(mbar) 	 temp_(K) 	 temperr_(K) 	 numdens_(m-3) 	 numdenserr_(m-3) 	 H2Ovmr_() 	 H2Ovmrerr_() 	 D/H_(VSMOW) 	 D/Herr_(VSMOW) 	 18O/16O_(VSMOW) 	 18O/16Oerr_(VSMOW) 
	  4.4170 	 2.798527e+00 	 138.6250 	  4.1364 	 1.461659e+23 	 4.363635e+21 	 1.750260e-08 	 6.051516e-09 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	  4.5620 	 2.742722e+00 	 138.6123 	  3.8073 	 1.433396e+23 	 3.983013e+21 	 1.839887e-08 	 6.231412e-09 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	  4.7080 	 2.687471e+00 	 138.5692 	  3.5006 	 1.405531e+23 	 3.630041e+21 	 1.927972e-08 	 6.393246e-09 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	  5.5050 	 2.402243e+00 	 137.9241 	  2.2194 	 1.263132e+23 	 2.179103e+21 	 2.356352e-08 	 6.939128e-09 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	  5.6510 	 2.352951e+00 	 137.7545 	  2.0484 	 1.238684e+23 	 1.989549e+21 	 2.422284e-08 	 6.978312e-09 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	  5.7970 	 2.304561e+00 	 137.5763 	  1.8945 	 1.214698e+23 	 1.820214e+21 	 2.483392e-08 	 6.999286e-09 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	  5.9420 	 2.257391e+00 	 137.3938 	  1.7576 	 1.191316e+23 	 1.670705e+21 	 2.538944e-08 	 7.002513e-09 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	  6.0880 	 2.210784e+00 	 137.2073 	  1.6347 	 1.168199e+23 	 1.537606e+21 	 2.589364e-08 	 6.988567e-09 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	  6.8990 	 1.967884e+00 	 136.2559 	  1.1793 	 1.046754e+23 	 1.054464e+21 	 2.755978e-08 	 6.632124e-09 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	  7.0440 	 1.927267e+00 	 136.1250 	  1.1299 	 1.026139e+23 	 1.002692e+21 	 2.735704e-08 	 6.519507e-09 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	  7.1890 	 1.887491e+00 	 136.0133 	  1.0877 	 1.005813e+23 	 9.580422e+20 	 2.708077e-08 	 6.394928e-09 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	  7.3340 	 1.848549e+00 	 135.9236 	  1.0516 	 9.857593e+22 	 9.191781e+20 	 2.677120e-08 	 6.261566e-09 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	  7.4790 	 1.810437e+00 	 135.8588 	  1.0207 	 9.659595e+22 	 8.847654e+20 	 2.643390e-08 	 6.121806e-09 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	  8.2820 	 1.613884e+00 	 135.9770 	  0.9063 	 8.606522e+22 	 7.318018e+20 	 2.413938e-08 	 5.306840e-09 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	  8.4270 	 1.580840e+00 	 136.0564 	  0.8926 	 8.425369e+22 	 7.086840e+20 	 2.364765e-08 	 5.158734e-09 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	  8.5710 	 1.548706e+00 	 136.1416 	  0.8804 	 8.248686e+22 	 6.868748e+20 	 2.313628e-08 	 5.012771e-09 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	  8.7160 	 1.517011e+00 	 136.2292 	  0.8693 	 8.074218e+22 	 6.659925e+20 	 2.259743e-08 	 4.867694e-09 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	  8.8610 	 1.485957e+00 	 136.3140 	  0.8589 	 7.903405e+22 	 6.461132e+20 	 2.203487e-08 	 4.725376e-09 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	  9.6750 	 1.322648e+00 	 136.6152 	  0.8082 	 7.016806e+22 	 5.500691e+20 	 1.867882e-08 	 4.019705e-09 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	  9.8200 	 1.295442e+00 	 136.6456 	  0.8005 	 6.870948e+22 	 5.353989e+20 	 1.809848e-08 	 3.916329e-09 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	  9.9640 	 1.268972e+00 	 136.6738 	  0.7935 	 6.729321e+22 	 5.214800e+20 	 1.754095e-08 	 3.821386e-09 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 10.1080 	 1.243042e+00 	 136.7023 	  0.7870 	 6.590752e+22 	 5.081781e+20 	 1.700835e-08 	 3.733973e-09 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 10.2530 	 1.217471e+00 	 136.7332 	  0.7812 	 6.454157e+22 	 4.953762e+20 	 1.650201e-08 	 3.653130e-09 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 11.0650 	 1.083891e+00 	 136.9397 	  0.7632 	 5.739928e+22 	 4.334117e+20 	 1.407095e-08 	 3.269139e-09 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 11.2100 	 1.061661e+00 	 136.9478 	  0.7621 	 5.621930e+22 	 4.239259e+20 	 1.364009e-08 	 3.193609e-09 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
