	 height_(km) 	 press_(mbar) 	 temp_(K) 	 temperr_(K) 	 numdens_(m-3) 	 numdenserr_(m-3) 	 H2Ovmr_() 	 H2Ovmrerr_() 	 D/H_(VSMOW) 	 D/Herr_(VSMOW) 	 18O/16O_(VSMOW) 	 18O/16Oerr_(VSMOW) 
	  5.7320 	 2.811168e+00 	 199.4415 	  4.6605 	 1.021963e+23 	 2.407615e+21 	 4.165671e-04 	 3.147844e-05 	  4.1337 	  0.5685 	  1.0738 	  0.1855 
	  5.9070 	 2.763359e+00 	 198.9663 	  4.5112 	 1.006916e+23 	 2.307839e+21 	 4.090362e-04 	 3.267033e-05 	  3.9861 	  0.5478 	  1.0501 	  0.1794 
	  6.0830 	 2.716069e+00 	 198.5029 	  4.3703 	 9.919491e+22 	 2.212253e+21 	 4.017442e-04 	 3.401269e-05 	  3.8615 	  0.5317 	  1.0290 	  0.1740 
	  6.2580 	 2.669816e+00 	 198.0553 	  4.2379 	 9.772322e+22 	 2.121462e+21 	 3.945621e-04 	 3.493963e-05 	  3.7595 	  0.5171 	  1.0111 	  0.1690 
	  6.6200 	 2.576476e+00 	 197.1643 	  3.9831 	 9.473068e+22 	 1.945056e+21 	 3.792383e-04 	 3.458747e-05 	  3.6111 	  0.4833 	  0.9836 	  0.1578 
	  6.7950 	 2.532439e+00 	 196.7477 	  3.8661 	 9.330886e+22 	 1.864294e+21 	 3.713931e-04 	 3.325844e-05 	  3.5667 	  0.4638 	  0.9750 	  0.1516 
	  6.9700 	 2.489082e+00 	 196.3382 	  3.7514 	 9.190313e+22 	 1.785829e+21 	 3.632045e-04 	 3.129493e-05 	  3.5381 	  0.4423 	  0.9694 	  0.1451 
	  7.1450 	 2.446383e+00 	 195.9345 	  3.6375 	 9.051341e+22 	 1.709183e+21 	 3.546842e-04 	 2.885619e-05 	  3.5238 	  0.4192 	  0.9665 	  0.1382 
	  7.3200 	 2.404322e+00 	 195.5351 	  3.5231 	 8.913962e+22 	 1.633879e+21 	 3.458796e-04 	 2.612991e-05 	  3.5221 	  0.3979 	  0.9661 	  0.1313 
	  7.7000 	 2.315083e+00 	 194.6761 	  3.2664 	 8.621094e+22 	 1.472697e+21 	 3.261606e-04 	 2.015980e-05 	  3.5525 	  0.3564 	  0.9723 	  0.1170 
