	 height_(km) 	 press_(mbar) 	 temp_(K) 	 temperr_(K) 	 numdens_(m-3) 	 numdenserr_(m-3) 	 H2Ovmr_() 	 H2Ovmrerr_() 	 D/H_(VSMOW) 	 D/Herr_(VSMOW) 	 18O/16O_(VSMOW) 	 18O/16Oerr_(VSMOW) 
	 24.1490 	 6.158210e-01 	 218.1884 	  4.9479 	 2.044917e+22 	 4.517881e+20 	 1.693923e-04 	 1.805581e-05 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 24.2620 	 6.097267e-01 	 218.1065 	  4.7432 	 2.025637e+22 	 4.335150e+20 	 1.643413e-04 	 1.749752e-05 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 24.3740 	 6.037394e-01 	 218.0202 	  4.5486 	 2.006712e+22 	 4.160854e+20 	 1.596853e-04 	 1.697943e-05 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 24.4870 	 5.977520e-01 	 217.9282 	  4.3604 	 1.987805e+22 	 3.991743e+20 	 1.553269e-04 	 1.649093e-05 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 24.6000 	 5.918176e-01 	 217.8314 	  4.1802 	 1.969082e+22 	 3.829263e+20 	 1.512964e-04 	 1.603556e-05 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 25.9620 	 5.243464e-01 	 216.3275 	  2.5748 	 1.757308e+22 	 2.341465e+20 	 1.247806e-04 	 1.279708e-05 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 26.0740 	 5.191213e-01 	 216.1799 	  2.4841 	 1.740982e+22 	 2.253589e+20 	 1.241537e-04 	 1.268956e-05 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 26.1870 	 5.138977e-01 	 216.0279 	  2.3981 	 1.724669e+22 	 2.169589e+20 	 1.237237e-04 	 1.260152e-05 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 26.2990 	 5.087677e-01 	 215.8743 	  2.3182 	 1.708657e+22 	 2.090817e+20 	 1.234907e-04 	 1.253365e-05 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 26.4110 	 5.036847e-01 	 215.7178 	  2.2435 	 1.692799e+22 	 2.016374e+20 	 1.234422e-04 	 1.248418e-05 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 27.7750 	 4.454205e-01 	 213.6306 	  1.6809 	 1.511365e+22 	 1.405833e+20 	 1.347186e-04 	 1.299237e-05 	  3.4823 	  0.9534 	 -1000.0000 	 -1000.0000 
	 27.8870 	 4.409250e-01 	 213.4480 	  1.6580 	 1.497374e+22 	 1.375802e+20 	 1.363681e-04 	 1.309351e-05 	  3.4868 	  0.9438 	 -1000.0000 	 -1000.0000 
	 27.9990 	 4.364718e-01 	 213.2643 	  1.6378 	 1.483513e+22 	 1.348182e+20 	 1.380881e-04 	 1.319859e-05 	  3.4923 	  0.9341 	 -1000.0000 	 -1000.0000 
	 28.1100 	 4.320998e-01 	 213.0813 	  1.6203 	 1.469901e+22 	 1.323056e+20 	 1.398542e-04 	 1.330558e-05 	  3.4987 	  0.9243 	 -1000.0000 	 -1000.0000 
	 28.2220 	 4.277297e-01 	 212.8957 	  1.6050 	 1.456293e+22 	 1.299836e+20 	 1.416901e-04 	 1.341536e-05 	  3.5061 	  0.9144 	 -1000.0000 	 -1000.0000 
	 31.3800 	 3.202841e-01 	 207.7908 	  1.4732 	 1.117430e+22 	 9.783052e+19 	 1.805441e-04 	 1.292197e-05 	  3.9825 	  0.5710 	  0.9911 	  0.1530 
	 31.4910 	 3.170138e-01 	 207.6320 	  1.4614 	 1.106866e+22 	 9.641224e+19 	 1.801178e-04 	 1.266747e-05 	  4.0044 	  0.5598 	  0.9965 	  0.1489 
	 31.6030 	 3.137457e-01 	 207.4740 	  1.4493 	 1.096288e+22 	 9.496487e+19 	 1.794651e-04 	 1.239527e-05 	  4.0265 	  0.5487 	  1.0020 	  0.1447 
	 31.7140 	 3.105376e-01 	 207.3197 	  1.4372 	 1.085884e+22 	 9.352376e+19 	 1.785949e-04 	 1.211315e-05 	  4.0485 	  0.5379 	  1.0075 	  0.1406 
	 31.8250 	 3.073599e-01 	 207.1678 	  1.4252 	 1.075558e+22 	 9.208549e+19 	 1.775053e-04 	 1.182273e-05 	  4.0706 	  0.5275 	  1.0130 	  0.1374 
	 33.1900 	 2.706503e-01 	 205.5053 	  1.3278 	 9.547490e+21 	 7.760485e+19 	 1.497066e-04 	 8.045092e-06 	  4.3609 	  0.4345 	  1.0871 	  0.1143 
	 33.3010 	 2.678504e-01 	 205.3857 	  1.3245 	 9.454222e+21 	 7.673793e+19 	 1.469288e-04 	 7.716127e-06 	  4.3863 	  0.4286 	  1.0935 	  0.1129 
	 33.4130 	 2.650528e-01 	 205.2669 	  1.3217 	 9.360885e+21 	 7.589374e+19 	 1.441786e-04 	 7.378852e-06 	  4.4123 	  0.4227 	  1.1001 	  0.1114 
	 33.5240 	 2.623071e-01 	 205.1509 	  1.3191 	 9.269149e+21 	 7.508280e+19 	 1.415331e-04 	 7.040333e-06 	  4.4383 	  0.4171 	  1.1065 	  0.1100 
	 33.6350 	 2.595883e-01 	 205.0366 	  1.3168 	 9.178182e+21 	 7.429291e+19 	 1.393099e-04 	 6.938563e-06 	  4.4645 	  0.4187 	  1.1129 	  0.1103 
	 34.9830 	 2.286463e-01 	 203.7345 	  1.2793 	 8.135885e+21 	 6.496618e+19 	 1.240453e-04 	 6.410450e-06 	  4.7785 	  0.4511 	  1.1785 	  0.1162 
	 35.0940 	 2.262628e-01 	 203.6292 	  1.2747 	 8.055241e+21 	 6.418102e+19 	 1.239440e-04 	 6.401919e-06 	  4.8030 	  0.4529 	  1.1824 	  0.1163 
	 35.2050 	 2.239032e-01 	 203.5232 	  1.2700 	 7.975385e+21 	 6.339694e+19 	 1.240247e-04 	 6.397381e-06 	  4.8271 	  0.4543 	  1.1860 	  0.1164 
	 35.3160 	 2.215671e-01 	 203.4164 	  1.2650 	 7.896317e+21 	 6.261513e+19 	 1.242795e-04 	 6.396571e-06 	  4.8509 	  0.4553 	  1.1893 	  0.1164 
	 35.4260 	 2.192751e-01 	 203.3094 	  1.2600 	 7.818739e+21 	 6.184377e+19 	 1.246925e-04 	 6.399196e-06 	  4.8741 	  0.4559 	  1.1923 	  0.1163 
	 36.7860 	 1.927333e-01 	 201.8192 	  1.1956 	 6.923187e+21 	 5.300548e+19 	 1.378538e-04 	 6.636130e-06 	  5.1073 	  0.4464 	  1.2095 	  0.1106 
	 36.8960 	 1.907245e-01 	 201.6789 	  1.1908 	 6.855812e+21 	 5.236972e+19 	 1.391439e-04 	 6.666876e-06 	  5.1199 	  0.4452 	  1.2093 	  0.1100 
	 37.0070 	 1.887173e-01 	 201.5333 	  1.1862 	 6.788572e+21 	 5.174219e+19 	 1.404155e-04 	 6.699100e-06 	  5.1314 	  0.4442 	  1.2090 	  0.1095 
	 37.1170 	 1.867477e-01 	 201.3851 	  1.1817 	 6.722673e+21 	 5.113456e+19 	 1.416371e-04 	 6.732116e-06 	  5.1415 	  0.4432 	  1.2085 	  0.1090 
	 37.2280 	 1.847797e-01 	 201.2311 	  1.1774 	 6.656914e+21 	 5.053614e+19 	 1.428249e-04 	 6.766412e-06 	  5.1506 	  0.4423 	  1.2079 	  0.1086 
