	 height_(km) 	 press_(mbar) 	 temp_(K) 	 temperr_(K) 	 numdens_(m-3) 	 numdenserr_(m-3) 	 H2Ovmr_() 	 H2Ovmrerr_() 	 D/H_(VSMOW) 	 D/Herr_(VSMOW) 	 18O/16O_(VSMOW) 	 18O/16Oerr_(VSMOW) 
	  2.6410 	 3.472648e+00 	 145.9105 	  5.5335 	 1.724975e+23 	 6.711419e+21 	 5.247909e-10 	 3.171858e-10 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	  2.7980 	 3.400691e+00 	 145.8179 	  5.3891 	 1.690303e+23 	 6.409019e+21 	 5.038384e-10 	 2.998377e-10 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	  2.9560 	 3.329660e+00 	 145.7315 	  5.2515 	 1.656008e+23 	 6.118378e+21 	 4.818627e-10 	 2.822625e-10 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	  3.1130 	 3.260438e+00 	 145.6515 	  5.1209 	 1.622524e+23 	 5.842079e+21 	 4.597067e-10 	 2.650359e-10 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	  3.2700 	 3.192554e+00 	 145.5762 	  4.9951 	 1.589630e+23 	 5.577147e+21 	 4.377260e-10 	 2.483379e-10 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	  4.2140 	 2.811621e+00 	 145.1665 	  4.2533 	 1.404268e+23 	 4.162383e+21 	 3.279086e-10 	 1.685247e-10 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	  4.3710 	 2.752636e+00 	 145.0961 	  4.1185 	 1.375499e+23 	 3.946504e+21 	 3.151585e-10 	 1.593205e-10 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	  4.5280 	 2.694852e+00 	 145.0222 	  3.9766 	 1.347317e+23 	 3.733247e+21 	 3.042274e-10 	 1.512827e-10 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	  4.6850 	 2.638252e+00 	 144.9440 	  3.8259 	 1.319719e+23 	 3.521520e+21 	 2.951572e-10 	 1.443802e-10 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	  4.8420 	 2.582818e+00 	 144.8604 	  3.6650 	 1.292707e+23 	 3.310231e+21 	 2.879902e-10 	 1.385805e-10 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	  5.7940 	 2.270653e+00 	 144.2214 	  2.4297 	 1.141118e+23 	 2.003476e+21 	 2.916225e-10 	 1.267398e-10 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	  5.9510 	 2.222942e+00 	 144.1181 	  2.2037 	 1.117906e+23 	 1.795604e+21 	 3.026611e-10 	 1.292480e-10 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	  6.1080 	 2.176243e+00 	 144.0277 	  1.9830 	 1.095100e+23 	 1.596957e+21 	 3.178856e-10 	 1.333600e-10 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	  6.2650 	 2.130535e+00 	 143.9550 	  1.7722 	 1.072660e+23 	 1.410356e+21 	 3.377207e-10 	 1.391687e-10 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	  6.4220 	 2.085797e+00 	 143.9051 	  1.5759 	 1.050546e+23 	 1.238620e+21 	 3.624515e-10 	 1.467036e-10 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	  7.3580 	 1.838123e+00 	 144.2769 	  0.9048 	 9.238258e+22 	 6.386754e+20 	 5.887684e-10 	 2.144911e-10 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	  7.5140 	 1.799860e+00 	 144.4406 	  0.8730 	 9.035900e+22 	 6.037136e+20 	 6.259507e-10 	 2.240247e-10 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	  7.6710 	 1.762183e+00 	 144.6229 	  0.8558 	 8.835534e+22 	 5.805423e+20 	 6.572360e-10 	 2.309738e-10 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	  7.8270 	 1.725559e+00 	 144.8168 	  0.8500 	 8.640020e+22 	 5.666863e+20 	 6.809913e-10 	 2.349142e-10 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	  7.9840 	 1.689503e+00 	 145.0197 	  0.8519 	 8.447160e+22 	 5.591741e+20 	 6.976309e-10 	 2.360413e-10 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	  8.9410 	 1.486275e+00 	 146.1628 	  0.8585 	 7.371542e+22 	 5.127550e+20 	 7.879582e-10 	 2.280775e-10 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	  9.0970 	 1.455679e+00 	 146.3031 	  0.8490 	 7.213057e+22 	 4.972876e+20 	 8.472661e-10 	 2.375617e-10 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	  9.2530 	 1.425744e+00 	 146.4245 	  0.8377 	 7.059050e+22 	 4.806327e+20 	 9.463570e-10 	 2.585382e-10 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	  9.4100 	 1.396262e+00 	 146.5257 	  0.8254 	 6.908461e+22 	 4.632274e+20 	 1.102250e-09 	 2.959800e-10 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	  9.5660 	 1.367593e+00 	 146.6032 	  0.8128 	 6.763098e+22 	 4.458447e+20 	 1.328781e-09 	 3.530273e-10 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 10.5110 	 1.206192e+00 	 146.5319 	  0.7624 	 5.965662e+22 	 3.647531e+20 	 6.012731e-09 	 1.460250e-09 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 10.6670 	 1.181449e+00 	 146.4644 	  0.7596 	 5.845644e+22 	 3.562375e+20 	 7.885344e-09 	 1.867385e-09 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 10.8230 	 1.157218e+00 	 146.3995 	  0.7579 	 5.728151e+22 	 3.486308e+20 	 1.029143e-08 	 2.372331e-09 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 10.9800 	 1.133339e+00 	 146.3442 	  0.7571 	 5.612156e+22 	 3.416781e+20 	 1.334305e-08 	 2.989490e-09 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 11.1360 	 1.110107e+00 	 146.3063 	  0.7569 	 5.498841e+22 	 3.352541e+20 	 1.708735e-08 	 3.718154e-09 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 12.0750 	 9.801576e-01 	 146.7406 	  0.7580 	 4.844641e+22 	 2.967204e+20 	 5.891356e-08 	 1.066170e-08 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 12.2300 	 9.602550e-01 	 146.9015 	  0.7579 	 4.741390e+22 	 2.899332e+20 	 6.936649e-08 	 1.217411e-08 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 12.3860 	 9.406439e-01 	 147.0686 	  0.7577 	 4.639348e+22 	 2.831058e+20 	 8.087534e-08 	 1.376209e-08 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 12.5420 	 9.214454e-01 	 147.2326 	  0.7574 	 4.539405e+22 	 2.763422e+20 	 9.336904e-08 	 1.540330e-08 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 12.6970 	 9.027701e-01 	 147.3842 	  0.7572 	 4.442401e+22 	 2.697446e+20 	 1.067871e-07 	 1.707988e-08 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 13.6380 	 7.974707e-01 	 147.7127 	  0.7570 	 3.911548e+22 	 2.350646e+20 	 2.190351e-07 	 2.866295e-08 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 13.7930 	 7.813800e-01 	 147.6918 	  0.7575 	 3.832910e+22 	 2.302726e+20 	 2.462463e-07 	 3.102903e-08 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 13.9490 	 7.655224e-01 	 147.6727 	  0.7580 	 3.755589e+22 	 2.256340e+20 	 2.778802e-07 	 3.364986e-08 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 14.1040 	 7.500933e-01 	 147.6650 	  0.7588 	 3.680296e+22 	 2.211748e+20 	 3.142810e-07 	 3.652508e-08 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 14.2590 	 7.349824e-01 	 147.6782 	  0.7599 	 3.606252e+22 	 2.168311e+20 	 3.562712e-07 	 3.968539e-08 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
