	 height_(km) 	 press_(mbar) 	 temp_(K) 	 temperr_(K) 	 numdens_(m-3) 	 numdenserr_(m-3) 	 H2Ovmr_() 	 H2Ovmrerr_() 	 D/H_(VSMOW) 	 D/Herr_(VSMOW) 	 18O/16O_(VSMOW) 	 18O/16Oerr_(VSMOW) 
	 44.7170 	 1.782910e-02 	 149.4746 	  1.0010 	 8.647002e+20 	 6.101522e+18 	 9.645998e-07 	 1.098032e-07 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 44.9300 	 1.735132e-02 	 148.6472 	  1.0127 	 8.462138e+20 	 6.070034e+18 	 9.677601e-07 	 1.103228e-07 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 45.1430 	 1.688478e-02 	 147.8201 	  1.0246 	 8.280710e+20 	 6.038081e+18 	 9.692586e-07 	 1.107021e-07 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 45.3570 	 1.642659e-02 	 146.9935 	  1.0361 	 8.101326e+20 	 6.003024e+18 	 9.687869e-07 	 1.109350e-07 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 45.6690 	 1.577595e-02 	 145.8052 	  1.0513 	 7.843825e+20 	 5.941453e+18 	 9.639177e-07 	 1.109943e-07 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 45.8810 	 1.534454e-02 	 145.0151 	  1.0601 	 7.670806e+20 	 5.889154e+18 	 9.573603e-07 	 1.108355e-07 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 46.0940 	 1.491947e-02 	 144.2425 	  1.0677 	 7.498143e+20 	 5.827781e+18 	 9.479616e-07 	 1.105117e-07 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 46.3070 	 1.450309e-02 	 143.4994 	  1.0745 	 7.326540e+20 	 5.760028e+18 	 9.358034e-07 	 1.100275e-07 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 46.5190 	 1.409759e-02 	 142.7976 	  1.0812 	 7.156694e+20 	 5.688817e+18 	 9.210266e-07 	 1.093907e-07 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 46.8140 	 1.354874e-02 	 141.8996 	  1.0913 	 6.921732e+20 	 5.588248e+18 	 8.961437e-07 	 1.082562e-07 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 47.0260 	 1.316577e-02 	 141.3216 	  1.1000 	 6.753740e+20 	 5.518305e+18 	 8.752552e-07 	 1.072686e-07 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 47.2380 	 1.279254e-02 	 140.8029 	  1.1102 	 6.586581e+20 	 5.452114e+18 	 8.522119e-07 	 1.061508e-07 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 47.4500 	 1.242894e-02 	 140.3390 	  1.1223 	 6.420595e+20 	 5.390134e+18 	 8.276360e-07 	 1.049239e-07 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 47.6620 	 1.207490e-02 	 139.9253 	  1.1366 	 6.256134e+20 	 5.332778e+18 	 8.021619e-07 	 1.036096e-07 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 47.9740 	 1.157101e-02 	 139.3976 	  1.1618 	 6.017606e+20 	 5.257648e+18 	 7.643729e-07 	 1.015619e-07 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 48.1860 	 1.124015e-02 	 139.0878 	  1.1822 	 5.858402e+20 	 5.213314e+18 	 7.393882e-07 	 1.001245e-07 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 48.3980 	 1.091846e-02 	 138.8197 	  1.2042 	 5.701595e+20 	 5.170503e+18 	 7.154175e-07 	 9.868027e-08 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 48.6100 	 1.060576e-02 	 138.6034 	  1.2253 	 5.546891e+20 	 5.121097e+18 	 6.925505e-07 	 9.726081e-08 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 48.8220 	 1.030186e-02 	 138.4496 	  1.2432 	 5.393981e+20 	 5.056798e+18 	 6.708655e-07 	 9.589812e-08 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 49.1140 	 9.897376e-03 	 138.3592 	  1.2579 	 5.185736e+20 	 4.928555e+18 	 6.430766e-07 	 9.417308e-08 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 49.3260 	 9.613694e-03 	 138.3957 	  1.2583 	 5.035864e+20 	 4.795922e+18 	 6.245121e-07 	 9.307320e-08 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 49.5380 	 9.338266e-03 	 138.5234 	  1.2497 	 4.887089e+20 	 4.630124e+18 	 6.073166e-07 	 9.212597e-08 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 49.7500 	 9.071021e-03 	 138.7404 	  1.2346 	 4.739753e+20 	 4.441200e+18 	 5.914238e-07 	 9.134065e-08 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 49.9620 	 8.811889e-03 	 139.0446 	  1.2155 	 4.594214e+20 	 4.239583e+18 	 5.767644e-07 	 9.072601e-08 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 50.2690 	 8.450880e-03 	 139.6350 	  1.1858 	 4.387365e+20 	 3.946370e+18 	 5.575810e-07 	 9.015635e-08 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 50.4810 	 8.211317e-03 	 140.1428 	  1.1674 	 4.247728e+20 	 3.757476e+18 	 5.456453e-07 	 8.999606e-08 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 50.6920 	 7.980578e-03 	 140.7170 	  1.1526 	 4.111789e+20 	 3.586903e+18 	 5.346808e-07 	 9.002298e-08 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 50.9030 	 7.757211e-03 	 141.3386 	  1.1416 	 3.979305e+20 	 3.433400e+18 	 5.244243e-07 	 9.022015e-08 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 51.1150 	 7.539897e-03 	 141.9890 	  1.1348 	 3.850099e+20 	 3.295813e+18 	 5.146235e-07 	 9.057330e-08 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 51.4250 	 7.234306e-03 	 142.9415 	  1.1335 	 3.669103e+20 	 3.123508e+18 	 5.007663e-07 	 9.133524e-08 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 51.6350 	 7.035076e-03 	 143.5574 	  1.1388 	 3.552436e+20 	 3.025465e+18 	 4.914099e-07 	 9.199359e-08 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 51.8460 	 6.840940e-03 	 144.1374 	  1.1488 	 3.440228e+20 	 2.940575e+18 	 4.819037e-07 	 9.274160e-08 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 52.0570 	 6.652688e-03 	 144.6767 	  1.1623 	 3.332874e+20 	 2.866946e+18 	 4.722965e-07 	 9.353989e-08 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 52.2670 	 6.470998e-03 	 145.1715 	  1.1777 	 3.230662e+20 	 2.802433e+18 	 4.626432e-07 	 9.434765e-08 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 53.7000 	 5.368844e-03 	 147.3090 	  1.2390 	 2.642076e+20 	 2.407144e+18 	 3.950155e-07 	 9.735044e-08 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 53.9100 	 5.225546e-03 	 147.4234 	  1.2269 	 2.569655e+20 	 2.328340e+18 	 3.849491e-07 	 9.700576e-08 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 54.1200 	 5.086350e-03 	 147.4845 	  1.2080 	 2.500205e+20 	 2.240919e+18 	 3.748990e-07 	 9.640906e-08 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 54.3300 	 4.950980e-03 	 147.4948 	  1.1852 	 2.433496e+20 	 2.149660e+18 	 3.649323e-07 	 9.562988e-08 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 54.5400 	 4.819158e-03 	 147.4568 	  1.1617 	 2.369299e+20 	 2.059494e+18 	 3.551168e-07 	 9.473996e-08 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 54.8450 	 4.633452e-03 	 147.3208 	  1.1326 	 2.280064e+20 	 1.940591e+18 	 3.412701e-07 	 9.339732e-08 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 55.0550 	 4.509164e-03 	 147.1752 	  1.1205 	 2.221058e+20 	 1.873809e+18 	 3.321123e-07 	 9.253787e-08 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 55.2640 	 4.388252e-03 	 146.9950 	  1.1159 	 2.164109e+20 	 1.821069e+18 	 3.233406e-07 	 9.177516e-08 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 55.4730 	 4.270246e-03 	 146.7899 	  1.1170 	 2.108839e+20 	 1.778908e+18 	 3.149007e-07 	 9.109456e-08 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 55.6830 	 4.154738e-03 	 146.5690 	  1.1219 	 2.054900e+20 	 1.743894e+18 	 3.067431e-07 	 9.048130e-08 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 55.9750 	 3.999488e-03 	 146.2569 	  1.1317 	 1.982383e+20 	 1.701213e+18 	 2.959159e-07 	 8.972330e-08 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 56.1850 	 3.891869e-03 	 146.0429 	  1.1383 	 1.931887e+20 	 1.670420e+18 	 2.884848e-07 	 8.923019e-08 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 56.3940 	 3.788056e-03 	 145.8490 	  1.1434 	 1.882854e+20 	 1.637721e+18 	 2.813779e-07 	 8.877757e-08 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 56.6030 	 3.687263e-03 	 145.6819 	  1.1471 	 1.834848e+20 	 1.603095e+18 	 2.745604e-07 	 8.836765e-08 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 56.8130 	 3.588747e-03 	 145.5489 	  1.1496 	 1.787453e+20 	 1.566560e+18 	 2.680032e-07 	 8.800380e-08 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 57.1250 	 3.446889e-03 	 145.4325 	  1.1510 	 1.718175e+20 	 1.509470e+18 	 2.588066e-07 	 8.756294e-08 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 57.3350 	 3.354044e-03 	 145.4199 	  1.1506 	 1.672037e+20 	 1.469440e+18 	 2.529855e-07 	 8.734044e-08 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 57.5440 	 3.263647e-03 	 145.4654 	  1.1492 	 1.626452e+20 	 1.428555e+18 	 2.474792e-07 	 8.717928e-08 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 57.7530 	 3.175405e-03 	 145.5694 	  1.1468 	 1.581331e+20 	 1.386846e+18 	 2.422426e-07 	 8.707388e-08 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 57.9630 	 3.089078e-03 	 145.7335 	  1.1434 	 1.536600e+20 	 1.344324e+18 	 2.372354e-07 	 8.701953e-08 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 58.2610 	 2.970917e-03 	 146.0698 	  1.1369 	 1.474437e+20 	 1.283358e+18 	 2.305341e-07 	 8.702202e-08 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 58.4690 	 2.891680e-03 	 146.3768 	  1.1311 	 1.432150e+20 	 1.240675e+18 	 2.261141e-07 	 8.707281e-08 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 58.6780 	 2.814760e-03 	 146.7345 	  1.1246 	 1.390714e+20 	 1.198083e+18 	 2.218662e-07 	 8.715876e-08 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 58.8870 	 2.740380e-03 	 147.1202 	  1.1176 	 1.350444e+20 	 1.156315e+18 	 2.177939e-07 	 8.727416e-08 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 59.0950 	 2.668705e-03 	 147.5102 	  1.1107 	 1.311633e+20 	 1.116090e+18 	 2.138973e-07 	 8.741273e-08 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 59.3960 	 2.568787e-03 	 148.0417 	  1.1015 	 1.257922e+20 	 1.061325e+18 	 2.084982e-07 	 8.764398e-08 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 59.6040 	 2.502131e-03 	 148.3562 	  1.0962 	 1.222650e+20 	 1.026583e+18 	 2.049081e-07 	 8.781750e-08 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 59.8120 	 2.437263e-03 	 148.6083 	  1.0920 	 1.188932e+20 	 9.946459e+17 	 2.014261e-07 	 8.800137e-08 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 60.0200 	 2.374072e-03 	 148.7874 	  1.0889 	 1.156728e+20 	 9.653850e+17 	 1.980604e-07 	 8.820067e-08 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 60.2280 	 2.312445e-03 	 148.8831 	  1.0869 	 1.125993e+20 	 9.386595e+17 	 1.948199e-07 	 8.842072e-08 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 60.5360 	 2.223828e-03 	 148.8490 	  1.0857 	 1.083087e+20 	 9.034417e+17 	 1.902700e-07 	 8.879595e-08 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 60.7440 	 2.165608e-03 	 148.6932 	  1.0862 	 1.055805e+20 	 8.823919e+17 	 1.873778e-07 	 8.909039e-08 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 60.9520 	 2.108646e-03 	 148.4381 	  1.0876 	 1.029761e+20 	 8.632566e+17 	 1.846377e-07 	 8.942456e-08 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
