	 height_(km) 	 press_(mbar) 	 temp_(K) 	 temperr_(K) 	 numdens_(m-3) 	 numdenserr_(m-3) 	 H2Ovmr_() 	 H2Ovmrerr_() 	 D/H_(VSMOW) 	 D/Herr_(VSMOW) 	 18O/16O_(VSMOW) 	 18O/16Oerr_(VSMOW) 
	  7.4640 	 1.443093e+00 	 168.4766 	  1.7547 	 6.885855e+22 	 9.986491e+20 	 5.541386e-06 	 1.465271e-05 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	  7.6240 	 1.411686e+00 	 165.5990 	  1.7640 	 6.754997e+22 	 9.619287e+20 	 4.361519e-06 	 1.031971e-05 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	  7.7830 	 1.381262e+00 	 163.0608 	  1.7691 	 6.624668e+22 	 9.261034e+20 	 3.597212e-06 	 7.553827e-06 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	 10.2190 	 1.002245e+00 	 154.6744 	  1.4812 	 4.686427e+22 	 4.680313e+20 	 4.481085e-06 	 6.908779e-07 	  3.8750 	  0.8992 	 -1000.0000 	 -1000.0000 
	 10.3780 	 9.824794e-01 	 155.4942 	  1.4480 	 4.569894e+22 	 4.445720e+20 	 5.013115e-06 	 8.180296e-07 	  3.7993 	  0.8921 	 -1000.0000 	 -1000.0000 
	 10.5370 	 9.632362e-01 	 156.4052 	  1.4141 	 4.455339e+22 	 4.219646e+20 	 5.623622e-06 	 9.773136e-07 	  3.7324 	  0.8922 	 -1000.0000 	 -1000.0000 
	 10.6960 	 9.445002e-01 	 157.3940 	  1.3798 	 4.342893e+22 	 4.002200e+20 	 6.318381e-06 	 1.131904e-06 	  3.6742 	  0.8807 	 -1000.0000 	 -1000.0000 
	 10.8550 	 9.262562e-01 	 158.4475 	  1.3453 	 4.232686e+22 	 3.793492e+20 	 7.102320e-06 	 1.271527e-06 	  3.6244 	  0.8567 	 -1000.0000 	 -1000.0000 
	 11.7730 	 8.297775e-01 	 165.1233 	  1.1523 	 3.646805e+22 	 2.764863e+20 	 1.339387e-05 	 1.435437e-06 	  3.4809 	  0.5732 	 -1000.0000 	 -1000.0000 
	 11.9310 	 8.145633e-01 	 166.2591 	  1.1219 	 3.555774e+22 	 2.619096e+20 	 1.471817e-05 	 1.437843e-06 	  3.4770 	  0.5381 	 -1000.0000 	 -1000.0000 
	 12.0900 	 7.996263e-01 	 167.3641 	  1.0926 	 3.467412e+22 	 2.481960e+20 	 1.607682e-05 	 1.493187e-06 	  3.4783 	  0.5143 	 -1000.0000 	 -1000.0000 
	 12.2480 	 7.851393e-01 	 168.4112 	  1.0651 	 3.382958e+22 	 2.355286e+20 	 1.742452e-05 	 1.537962e-06 	  3.4842 	  0.4919 	 -1000.0000 	 -1000.0000 
	 12.4060 	 7.709925e-01 	 169.3946 	  1.0392 	 3.301976e+22 	 2.238290e+20 	 1.874539e-05 	 1.571633e-06 	  3.4944 	  0.4708 	 -1000.0000 	 -1000.0000 
	 13.3160 	 6.954222e-01 	 173.3096 	  0.9317 	 2.906827e+22 	 1.751887e+20 	 2.535824e-05 	 1.598959e-06 	  3.6065 	  0.3717 	  1.1353 	  0.1168 
	 13.4740 	 6.832250e-01 	 173.6961 	  0.9200 	 2.849357e+22 	 1.695540e+20 	 2.632495e-05 	 1.590667e-06 	  3.6297 	  0.3588 	  1.1384 	  0.1125 
	 13.6320 	 6.712757e-01 	 174.0207 	  0.9098 	 2.794407e+22 	 1.645259e+20 	 2.724991e-05 	 1.583839e-06 	  3.6525 	  0.3472 	  1.1415 	  0.1086 
	 13.7900 	 6.595649e-01 	 174.2939 	  0.9012 	 2.741653e+22 	 1.600124e+20 	 2.813834e-05 	 1.579978e-06 	  3.6747 	  0.3371 	  1.1445 	  0.1053 
	 13.9480 	 6.480830e-01 	 174.5265 	  0.8938 	 2.690775e+22 	 1.559216e+20 	 2.899033e-05 	 1.613032e-06 	  3.6966 	  0.3310 	  1.1471 	  0.1033 
	 14.8660 	 5.854535e-01 	 175.5925 	  0.8673 	 2.417429e+22 	 1.363017e+20 	 3.303578e-05 	 1.559933e-06 	  3.8375 	  0.3194 	  1.1604 	  0.0988 
	 15.0240 	 5.753311e-01 	 175.7943 	  0.8646 	 2.372836e+22 	 1.332668e+20 	 3.340360e-05 	 1.562713e-06 	  3.8685 	  0.3180 	  1.1632 	  0.0981 
	 15.1820 	 5.653950e-01 	 176.0165 	  0.8623 	 2.328820e+22 	 1.303016e+20 	 3.366154e-05 	 1.549029e-06 	  3.9029 	  0.3160 	  1.1664 	  0.0972 
	 15.3400 	 5.556432e-01 	 176.2644 	  0.8603 	 2.285340e+22 	 1.273984e+20 	 3.380700e-05 	 1.516425e-06 	  3.9409 	  0.3131 	  1.1704 	  0.0961 
	 15.4980 	 5.460736e-01 	 176.5437 	  0.8586 	 2.242354e+22 	 1.245495e+20 	 3.384614e-05 	 1.472238e-06 	  3.9825 	  0.3103 	  1.1751 	  0.0949 
	 16.4000 	 4.948219e-01 	 178.9327 	  0.8507 	 2.005043e+22 	 1.090439e+20 	 3.299288e-05 	 1.465321e-06 	  4.2592 	  0.3348 	  1.2133 	  0.1000 
	 16.5580 	 4.864152e-01 	 179.4739 	  0.8497 	 1.965092e+22 	 1.064757e+20 	 3.277218e-05 	 1.460258e-06 	  4.3090 	  0.3396 	  1.2212 	  0.1011 
	 16.7150 	 4.782235e-01 	 180.0319 	  0.8489 	 1.926024e+22 	 1.039859e+20 	 3.257398e-05 	 1.455298e-06 	  4.3566 	  0.3441 	  1.2289 	  0.1020 
	 16.8720 	 4.701905e-01 	 180.6037 	  0.8484 	 1.887651e+22 	 1.015657e+20 	 3.241282e-05 	 1.450902e-06 	  4.4009 	  0.3482 	  1.2362 	  0.1038 
