	 height_(km) 	 press_(mbar) 	 temp_(K) 	 temperr_(K) 	 numdens_(m-3) 	 numdenserr_(m-3) 	 H2Ovmr_() 	 H2Ovmrerr_() 	 D/H_(VSMOW) 	 D/Herr_(VSMOW) 	 18O/16O_(VSMOW) 	 18O/16Oerr_(VSMOW) 
	  2.0790 	 3.360526e+00 	 172.2532 	  3.9940 	 1.415883e+23 	 3.587061e+21 	 8.036981e-06 	 2.234661e-06 	  2.0280 	  0.8040 	 -1000.0000 	 -1000.0000 
	  2.2170 	 3.308986e+00 	 172.6459 	  4.0545 	 1.390534e+23 	 3.498159e+21 	 9.574380e-06 	 1.847332e-06 	  1.9992 	  0.5999 	 -1000.0000 	 -1000.0000 
	  2.3560 	 3.257956e+00 	 173.0542 	  4.0901 	 1.365488e+23 	 3.402303e+21 	 1.184025e-05 	 1.572536e-06 	  1.9760 	  0.4922 	 -1000.0000 	 -1000.0000 
	  2.4950 	 3.207799e+00 	 173.4736 	  4.1021 	 1.340925e+23 	 3.300733e+21 	 1.399232e-05 	 1.542759e-06 	  1.9582 	  0.4541 	 -1000.0000 	 -1000.0000 
	  3.3630 	 2.913522e+00 	 176.2356 	  3.7379 	 1.198255e+23 	 2.575826e+21 	 2.308711e-05 	 1.541352e-06 	  1.9617 	  0.3640 	 -1000.0000 	 -1000.0000 
	  3.5010 	 2.869612e+00 	 176.6804 	  3.6259 	 1.177238e+23 	 2.452300e+21 	 2.331626e-05 	 1.578390e-06 	  1.9790 	  0.3763 	 -1000.0000 	 -1000.0000 
	  3.6400 	 2.826145e+00 	 177.1253 	  3.5023 	 1.156521e+23 	 2.327282e+21 	 2.336571e-05 	 1.575384e-06 	  2.0008 	  0.4062 	 -1000.0000 	 -1000.0000 
	  3.7780 	 2.783733e+00 	 177.5622 	  3.3706 	 1.136398e+23 	 2.203181e+21 	 2.325207e-05 	 1.551411e-06 	  2.0264 	  0.4295 	 -1000.0000 	 -1000.0000 
	  3.9170 	 2.741749e+00 	 177.9957 	  3.2303 	 1.116573e+23 	 2.078816e+21 	 2.299154e-05 	 1.516328e-06 	  2.0561 	  0.4473 	 -1000.0000 	 -1000.0000 
	  4.7960 	 2.492479e+00 	 180.4730 	  2.2683 	 1.001305e+23 	 1.346955e+21 	 1.935805e-05 	 1.256745e-06 	  2.3166 	  0.4882 	 -1000.0000 	 -1000.0000 
	  4.9340 	 2.455756e+00 	 180.8032 	  2.1213 	 9.847554e+22 	 1.246866e+21 	 1.870457e-05 	 1.224381e-06 	  2.3655 	  0.4936 	 -1000.0000 	 -1000.0000 
	  5.0720 	 2.419651e+00 	 181.1128 	  1.9798 	 9.686152e+22 	 1.152491e+21 	 1.807946e-05 	 1.197851e-06 	  2.4155 	  0.5019 	 -1000.0000 	 -1000.0000 
	  5.2100 	 2.384152e+00 	 181.3999 	  1.8452 	 9.528812e+22 	 1.064437e+21 	 1.749402e-05 	 1.178548e-06 	  2.4662 	  0.5144 	 -1000.0000 	 -1000.0000 
	  5.3480 	 2.349244e+00 	 181.6631 	  1.7192 	 9.375496e+22 	 9.833117e+20 	 1.696262e-05 	 1.166517e-06 	  2.5173 	  0.5307 	 -1000.0000 	 -1000.0000 
	  6.2230 	 2.140811e+00 	 182.7280 	  1.1842 	 8.492040e+22 	 6.514029e+20 	 1.581070e-05 	 1.179922e-06 	  2.8329 	  0.6657 	 -1000.0000 	 -1000.0000 
	  6.3610 	 2.109819e+00 	 182.8206 	  1.1384 	 8.364788e+22 	 6.238010e+20 	 1.606674e-05 	 1.189305e-06 	  2.8787 	  0.6824 	 -1000.0000 	 -1000.0000 
	  6.5000 	 2.079075e+00 	 182.9022 	  1.1003 	 8.239264e+22 	 6.006760e+20 	 1.645094e-05 	 1.200955e-06 	  2.9230 	  0.6961 	 -1000.0000 	 -1000.0000 
	  6.6380 	 2.049006e+00 	 182.9750 	  1.0692 	 8.117027e+22 	 5.815629e+20 	 1.695348e-05 	 1.215237e-06 	  2.9648 	  0.7067 	 -1000.0000 	 -1000.0000 
	  6.7770 	 2.019159e+00 	 183.0436 	  1.0438 	 7.996057e+22 	 5.653797e+20 	 1.757756e-05 	 1.232704e-06 	  3.0047 	  0.7145 	 -1000.0000 	 -1000.0000 
	  7.6560 	 1.839807e+00 	 183.4973 	  0.9616 	 7.269643e+22 	 4.922962e+20 	 2.374338e-05 	 1.416711e-06 	  3.1794 	  0.7040 	 -1000.0000 	 -1000.0000 
	  7.7940 	 1.813067e+00 	 183.5545 	  0.9564 	 7.161801e+22 	 4.829448e+20 	 2.489368e-05 	 1.452568e-06 	  3.1907 	  0.6949 	 -1000.0000 	 -1000.0000 
	  7.9320 	 1.786709e+00 	 183.5980 	  0.9525 	 7.055957e+22 	 4.740793e+20 	 2.603798e-05 	 1.488157e-06 	  3.1966 	  0.6841 	 -1000.0000 	 -1000.0000 
	  8.0700 	 1.760732e+00 	 183.6240 	  0.9497 	 6.952231e+22 	 4.656864e+20 	 2.715696e-05 	 1.522547e-06 	  3.1970 	  0.6712 	 -1000.0000 	 -1000.0000 
	  8.2080 	 1.735135e+00 	 183.6289 	  0.9479 	 6.850746e+22 	 4.577528e+20 	 2.823277e-05 	 1.555164e-06 	  3.1917 	  0.6567 	 -1000.0000 	 -1000.0000 
	  9.0800 	 1.582011e+00 	 183.0316 	  0.9476 	 6.265029e+22 	 4.172731e+20 	 3.351088e-05 	 1.717697e-06 	  3.0602 	  0.5585 	 -1000.0000 	 -1000.0000 
	  9.2170 	 1.559237e+00 	 182.8586 	  0.9493 	 6.180660e+22 	 4.122293e+20 	 3.418652e-05 	 1.741592e-06 	  3.0310 	  0.5460 	 -1000.0000 	 -1000.0000 
	  9.3550 	 1.536623e+00 	 182.6736 	  0.9515 	 6.097253e+22 	 4.074488e+20 	 3.486014e-05 	 1.767071e-06 	  3.0009 	  0.5351 	 -1000.0000 	 -1000.0000 
	  9.4920 	 1.514489e+00 	 182.4834 	  0.9545 	 6.015823e+22 	 4.029789e+20 	 3.553013e-05 	 1.794062e-06 	  2.9709 	  0.5261 	 -1000.0000 	 -1000.0000 
	  9.6300 	 1.492502e+00 	 182.2894 	  0.9582 	 5.934987e+22 	 3.987320e+20 	 3.621407e-05 	 1.822358e-06 	  2.9412 	  0.5184 	 -1000.0000 	 -1000.0000 
	 10.5100 	 1.359082e+00 	 181.2137 	  1.0003 	 5.437429e+22 	 3.756146e+20 	 4.076430e-05 	 1.987437e-06 	  2.7913 	  0.4933 	 -1000.0000 	 -1000.0000 
	 10.6470 	 1.339339e+00 	 181.0818 	  1.0072 	 5.362351e+22 	 3.720602e+20 	 4.128345e-05 	 2.004957e-06 	  2.7783 	  0.4925 	 -1000.0000 	 -1000.0000 
	 10.7850 	 1.319731e+00 	 180.9582 	  1.0133 	 5.287428e+22 	 3.683007e+20 	 4.166773e-05 	 2.017064e-06 	  2.7690 	  0.4916 	 -1000.0000 	 -1000.0000 
	 10.9220 	 1.300542e+00 	 180.8444 	  1.0181 	 5.213772e+22 	 3.643219e+20 	 4.188013e-05 	 2.021460e-06 	  2.7639 	  0.4902 	 -1000.0000 	 -1000.0000 
	 11.0600 	 1.281493e+00 	 180.7385 	  1.0213 	 5.140332e+22 	 3.599959e+20 	 4.188989e-05 	 2.017815e-06 	  2.7633 	  0.4885 	 -1000.0000 	 -1000.0000 
	 11.9330 	 1.167416e+00 	 180.2806 	  0.9902 	 4.693956e+22 	 3.227170e+20 	 3.703253e-05 	 1.892556e-06 	  2.8399 	  0.4969 	 -1000.0000 	 -1000.0000 
