	 height_(km) 	 press_(mbar) 	 temp_(K) 	 temperr_(K) 	 numdens_(m-3) 	 numdenserr_(m-3) 	 H2Ovmr_() 	 H2Ovmrerr_() 	 D/H_(VSMOW) 	 D/Herr_(VSMOW) 	 18O/16O_(VSMOW) 	 18O/16Oerr_(VSMOW) 
	 -0.1160 	 3.560509e+00 	 146.0104 	  4.2001 	 1.767629e+23 	 5.211191e+21 	 7.556881e-08 	 2.758244e-08 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	  0.0200 	 3.497289e+00 	 145.8918 	  4.1361 	 1.737736e+23 	 5.038323e+21 	 7.167179e-08 	 2.562218e-08 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	  0.1990 	 3.415433e+00 	 145.7169 	  4.0295 	 1.699163e+23 	 4.798088e+21 	 6.696713e-08 	 2.329767e-08 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	  0.3370 	 3.353376e+00 	 145.5687 	  3.9316 	 1.670013e+23 	 4.604569e+21 	 6.365441e-08 	 2.169237e-08 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	  0.4760 	 3.291795e+00 	 145.4088 	  3.8207 	 1.641157e+23 	 4.403706e+21 	 6.058106e-08 	 2.022964e-08 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	  0.7540 	 3.171421e+00 	 145.0611 	  3.5671 	 1.584926e+23 	 3.989126e+21 	 5.517858e-08 	 1.773121e-08 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	  0.9490 	 3.089207e+00 	 144.7987 	  3.3688 	 1.546626e+23 	 3.692512e+21 	 5.193847e-08 	 1.628575e-08 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	  1.0870 	 3.032134e+00 	 144.6056 	  3.2207 	 1.520072e+23 	 3.481901e+21 	 4.989791e-08 	 1.539951e-08 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	  1.2260 	 2.975576e+00 	 144.4060 	  3.0664 	 1.493777e+23 	 3.270600e+21 	 4.804033e-08 	 1.461085e-08 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
	  1.3650 	 2.919951e+00 	 144.2024 	  2.9085 	 1.467923e+23 	 3.061395e+21 	 4.636905e-08 	 1.391725e-08 	 -1000.0000 	 -1000.0000 	 -1000.0000 	 -1000.0000 
