	 height_(km) 	 press_(mbar) 	 temp_(K) 	 temperr_(K) 	 numdens_(m-3) 	 numdenserr_(m-3) 	 H2Ovmr_() 	 H2Ovmrerr_() 	 D/H_(VSMOW) 	 D/Herr_(VSMOW) 	 18O/16O_(VSMOW) 	 18O/16Oerr_(VSMOW) 
	 11.1160 	 2.055519e+00 	 223.0791 	  5.6469 	 6.679777e+22 	 1.707997e+21 	 1.653418e-04 	 1.682927e-05 	  3.6084 	  0.6193 	  0.8710 	  0.1597 
	 11.2580 	 2.030457e+00 	 222.7749 	  5.5585 	 6.607380e+22 	 1.665490e+21 	 1.642613e-04 	 1.596031e-05 	  3.5935 	  0.5947 	  0.8665 	  0.1539 
	 11.4010 	 2.005408e+00 	 222.4681 	  5.4702 	 6.534892e+22 	 1.623415e+21 	 1.627535e-04 	 1.512308e-05 	  3.5806 	  0.5719 	  0.8629 	  0.1533 
	 11.8240 	 1.932511e+00 	 221.5591 	  5.2120 	 6.323205e+22 	 1.503039e+21 	 1.564297e-04 	 1.291739e-05 	  3.5535 	  0.5149 	  0.8571 	  0.1510 
	 11.9660 	 1.908469e+00 	 221.2539 	  5.1260 	 6.253149e+22 	 1.463927e+21 	 1.538797e-04 	 1.227585e-05 	  3.5476 	  0.4988 	  0.8566 	  0.1500 
	 12.1080 	 1.884656e+00 	 220.9488 	  5.0402 	 6.183643e+22 	 1.425431e+21 	 1.512090e-04 	 1.168495e-05 	  3.5431 	  0.4841 	  0.8568 	  0.1489 
	 12.2500 	 1.861080e+00 	 220.6442 	  4.9544 	 6.114716e+22 	 1.387530e+21 	 1.484706e-04 	 1.114386e-05 	  3.5398 	  0.4706 	  0.8576 	  0.1476 
	 12.3920 	 1.837750e+00 	 220.3399 	  4.8687 	 6.046394e+22 	 1.350202e+21 	 1.457142e-04 	 1.065113e-05 	  3.5377 	  0.4583 	  0.8590 	  0.1463 
	 12.8040 	 1.771528e+00 	 219.4612 	  4.6189 	 5.851844e+22 	 1.244943e+21 	 1.380379e-04 	 9.476642e-06 	  3.5368 	  0.4281 	  0.8659 	  0.1416 
	 12.9460 	 1.749237e+00 	 219.1601 	  4.5322 	 5.786144e+22 	 1.209645e+21 	 1.356354e-04 	 9.152454e-06 	  3.5378 	  0.4193 	  0.8690 	  0.1397 
	 13.0880 	 1.727232e+00 	 218.8601 	  4.4450 	 5.721184e+22 	 1.174814e+21 	 1.334200e-04 	 8.865717e-06 	  3.5391 	  0.4113 	  0.8725 	  0.1378 
	 13.2300 	 1.705521e+00 	 218.5614 	  4.3573 	 5.656990e+22 	 1.140429e+21 	 1.314271e-04 	 8.614195e-06 	  3.5406 	  0.4038 	  0.8762 	  0.1358 
	 13.3720 	 1.684111e+00 	 218.2642 	  4.2688 	 5.593581e+22 	 1.106472e+21 	 1.296903e-04 	 8.395909e-06 	  3.5421 	  0.3969 	  0.8800 	  0.1336 
	 13.7940 	 1.622142e+00 	 217.3950 	  4.0034 	 5.409293e+22 	 1.008161e+21 	 1.262773e-04 	 7.921716e-06 	  3.5458 	  0.3784 	  0.8911 	  0.1263 
	 13.9360 	 1.601794e+00 	 217.1095 	  3.9137 	 5.348467e+22 	 9.760027e+20 	 1.257845e-04 	 7.813551e-06 	  3.5468 	  0.3727 	  0.8946 	  0.1232 
	 14.0780 	 1.581674e+00 	 216.8286 	  3.8241 	 5.288134e+22 	 9.443322e+20 	 1.256395e-04 	 7.726722e-06 	  3.5480 	  0.3672 	  0.8979 	  0.1197 
	 14.2200 	 1.561764e+00 	 216.5529 	  3.7347 	 5.228227e+22 	 9.131634e+20 	 1.258265e-04 	 7.657289e-06 	  3.5499 	  0.3617 	  0.9007 	  0.1161 
	 14.3620 	 1.542052e+00 	 216.2830 	  3.6456 	 5.168694e+22 	 8.824908e+20 	 1.263061e-04 	 7.600509e-06 	  3.5532 	  0.3592 	  0.9033 	  0.1125 
	 14.7840 	 1.484633e+00 	 215.5061 	  3.3739 	 4.994199e+22 	 7.926633e+20 	 1.289103e-04 	 7.459461e-06 	  3.5791 	  0.3486 	  0.9078 	  0.1020 
	 14.9260 	 1.465713e+00 	 215.2492 	  3.2767 	 4.936429e+22 	 7.622312e+20 	 1.299823e-04 	 7.405571e-06 	  3.5956 	  0.3430 	  0.9080 	  0.0985 
	 15.0680 	 1.446999e+00 	 214.9927 	  3.1747 	 4.879202e+22 	 7.313671e+20 	 1.310497e-04 	 7.342069e-06 	  3.6173 	  0.3362 	  0.9076 	  0.0948 
	 15.2100 	 1.428495e+00 	 214.7353 	  3.0670 	 4.822558e+22 	 6.998728e+20 	 1.320558e-04 	 7.268469e-06 	  3.6446 	  0.3291 	  0.9064 	  0.0910 
	 15.3520 	 1.410204e+00 	 214.4761 	  2.9526 	 4.766529e+22 	 6.676016e+20 	 1.329616e-04 	 7.187018e-06 	  3.6773 	  0.3257 	  0.9047 	  0.0871 
	 15.7610 	 1.358697e+00 	 213.7229 	  2.5941 	 4.608527e+22 	 5.718943e+20 	 1.348907e-04 	 6.951098e-06 	  3.7994 	  0.3194 	  0.8972 	  0.0824 
	 15.9020 	 1.341342e+00 	 213.4631 	  2.4641 	 4.555174e+22 	 5.386819e+20 	 1.353102e-04 	 6.886552e-06 	  3.8499 	  0.3188 	  0.8943 	  0.0811 
	 16.0430 	 1.324191e+00 	 213.2042 	  2.3326 	 4.502371e+22 	 5.057318e+20 	 1.356107e-04 	 6.838983e-06 	  3.9038 	  0.3191 	  0.8913 	  0.0800 
	 16.1840 	 1.307242e+00 	 212.9468 	  2.2009 	 4.450104e+22 	 4.732731e+20 	 1.358156e-04 	 6.810800e-06 	  3.9603 	  0.3204 	  0.8883 	  0.0791 
	 16.3260 	 1.290376e+00 	 212.6900 	  2.0690 	 4.397993e+22 	 4.413130e+20 	 1.359566e-04 	 6.802065e-06 	  4.0190 	  0.3225 	  0.8855 	  0.0785 
	 17.7210 	 1.135220e+00 	 210.3835 	  1.0524 	 3.911837e+22 	 2.126488e+20 	 1.382369e-04 	 7.162395e-06 	  4.5539 	  0.3559 	  0.8675 	  0.0787 
	 17.8620 	 1.120555e+00 	 210.1527 	  0.9970 	 3.865532e+22 	 2.010156e+20 	 1.389386e-04 	 7.177007e-06 	  4.5900 	  0.3565 	  0.8673 	  0.0798 
	 18.0030 	 1.106063e+00 	 209.9101 	  0.9525 	 3.819924e+22 	 1.914824e+20 	 1.397776e-04 	 7.175477e-06 	  4.6206 	  0.3560 	  0.8676 	  0.0807 
	 18.1440 	 1.091741e+00 	 209.6520 	  0.9194 	 3.775072e+22 	 1.839976e+20 	 1.407355e-04 	 7.197379e-06 	  4.6461 	  0.3551 	  0.8683 	  0.0816 
	 18.2860 	 1.077486e+00 	 209.3731 	  0.8976 	 3.730711e+22 	 1.784479e+20 	 1.417809e-04 	 7.359239e-06 	  4.6673 	  0.3567 	  0.8698 	  0.0829 
	 18.7010 	 1.036776e+00 	 208.4695 	  0.8850 	 3.605283e+22 	 1.708388e+20 	 1.447328e-04 	 7.508585e-06 	  4.7111 	  0.3526 	  0.8784 	  0.0859 
	 18.8420 	 1.023264e+00 	 208.1428 	  0.8915 	 3.563892e+22 	 1.700738e+20 	 1.454894e-04 	 7.461485e-06 	  4.7224 	  0.3493 	  0.8832 	  0.0866 
	 18.9830 	 1.009911e+00 	 207.8114 	  0.9001 	 3.523015e+22 	 1.696750e+20 	 1.460164e-04 	 7.385688e-06 	  4.7332 	  0.3458 	  0.8889 	  0.0872 
	 19.1240 	 9.967183e-01 	 207.4783 	  0.9089 	 3.482590e+22 	 1.693042e+20 	 1.462547e-04 	 7.300565e-06 	  4.7439 	  0.3427 	  0.8957 	  0.0877 
	 19.6850 	 9.457508e-01 	 206.1893 	  0.9262 	 3.325180e+22 	 1.649224e+20 	 1.437181e-04 	 6.980676e-06 	  4.7930 	  0.3387 	  0.9333 	  0.0902 
	 19.8250 	 9.333910e-01 	 205.8864 	  0.9268 	 3.286549e+22 	 1.632216e+20 	 1.421619e-04 	 6.892567e-06 	  4.8089 	  0.3395 	  0.9455 	  0.0912 
	 19.9660 	 9.210795e-01 	 205.5929 	  0.9263 	 3.247826e+22 	 1.613531e+20 	 1.402529e-04 	 6.838088e-06 	  4.8266 	  0.3419 	  0.9589 	  0.0926 
