	 height_(km) 	 press_(mbar) 	 temp_(K) 	 temperr_(K) 	 numdens_(m-3) 	 numdenserr_(m-3) 	 H2Ovmr_() 	 H2Ovmrerr_() 	 D/H_(VSMOW) 	 D/Herr_(VSMOW) 	 18O/16O_(VSMOW) 	 18O/16Oerr_(VSMOW) 
	 11.0470 	 1.599740e+00 	 187.5979 	 12.3999 	 6.181469e+22 	 4.534352e+21 	 1.714422e-04 	 2.915923e-05 	  3.3055 	  0.7612 	  0.6112 	  0.1521 
	 11.3090 	 1.556860e+00 	 187.0097 	 12.1438 	 6.035033e+22 	 4.353461e+21 	 1.640976e-04 	 2.678457e-05 	  3.2999 	  0.7488 	  0.6087 	  0.1452 
	 11.3120 	 1.556375e+00 	 187.0029 	 12.1409 	 6.033375e+22 	 4.351449e+21 	 1.640126e-04 	 2.675921e-05 	  3.2998 	  0.7487 	  0.6086 	  0.1452 
	 11.5750 	 1.514396e+00 	 186.4042 	 11.8869 	 5.889665e+22 	 4.179875e+21 	 1.565196e-04 	 2.468591e-05 	  3.2783 	  0.7374 	  0.6053 	  0.1388 
	 11.5780 	 1.513923e+00 	 186.3973 	 11.8840 	 5.888044e+22 	 4.177971e+21 	 1.564339e-04 	 2.466390e-05 	  3.2780 	  0.7372 	  0.6052 	  0.1387 
	 12.1080 	 1.432436e+00 	 185.1737 	 11.3818 	 5.607976e+22 	 3.858271e+21 	 1.414104e-04 	 2.127513e-05 	  3.1982 	  0.7159 	  0.5962 	  0.1277 
	 12.1130 	 1.431686e+00 	 185.1621 	 11.3771 	 5.605392e+22 	 3.855399e+21 	 1.412708e-04 	 2.124741e-05 	  3.1973 	  0.7157 	  0.5961 	  0.1276 
	 12.1210 	 1.430487e+00 	 185.1435 	 11.3696 	 5.601260e+22 	 3.850809e+21 	 1.410477e-04 	 2.120319e-05 	  3.1958 	  0.7154 	  0.5959 	  0.1275 
	 12.3790 	 1.392307e+00 	 184.5433 	 11.1302 	 5.469441e+22 	 3.705950e+21 	 1.339406e-04 	 1.986713e-05 	  3.1445 	  0.7050 	  0.5907 	  0.1230 
	 12.3870 	 1.391137e+00 	 184.5247 	 11.1228 	 5.465398e+22 	 3.701551e+21 	 1.337233e-04 	 1.982830e-05 	  3.1428 	  0.7047 	  0.5905 	  0.1229 
	 13.1850 	 1.278754e+00 	 182.6734 	 10.4048 	 5.074773e+22 	 3.284236e+21 	 1.131840e-04 	 1.652987e-05 	  2.9652 	  0.6709 	  0.5731 	  0.1132 
	 13.1970 	 1.277126e+00 	 182.6458 	 10.3943 	 5.069084e+22 	 3.278215e+21 	 1.128939e-04 	 1.648686e-05 	  2.9625 	  0.6704 	  0.5729 	  0.1131 
	 13.1980 	 1.276991e+00 	 182.6435 	 10.3934 	 5.068610e+22 	 3.277713e+21 	 1.128698e-04 	 1.648328e-05 	  2.9623 	  0.6703 	  0.5728 	  0.1131 
	 13.4620 	 1.241638e+00 	 182.0384 	 10.1636 	 4.944789e+22 	 3.146823e+21 	 1.066386e-04 	 1.556926e-05 	  2.9049 	  0.6588 	  0.5673 	  0.1112 
	 13.4630 	 1.241506e+00 	 182.0361 	 10.1627 	 4.944325e+22 	 3.146333e+21 	 1.066156e-04 	 1.556590e-05 	  2.9047 	  0.6587 	  0.5673 	  0.1112 
	 20.7750 	 5.504103e-01 	 166.2990 	  4.3858 	 2.399559e+22 	 6.809123e+20 	 2.205420e-05 	 5.391333e-06 	  2.0060 	  0.7706 	  0.4709 	  0.1799 
