	 height_(km) 	 press_(mbar) 	 temp_(K) 	 temperr_(K) 	 numdens_(m-3) 	 numdenserr_(m-3) 	 H2Ovmr_() 	 H2Ovmrerr_() 	 D/H_(VSMOW) 	 D/Herr_(VSMOW) 	 18O/16O_(VSMOW) 	 18O/16Oerr_(VSMOW) 
	  3.3000 	 3.052743e+00 	 173.6508 	  8.1530 	 1.277798e+23 	 6.182840e+21 	 9.187680e-05 	 9.856052e-06 	  3.7796 	  0.6879 	 -1000.0000 	 -1000.0000 
	  3.4260 	 3.009601e+00 	 173.5440 	  8.0550 	 1.259874e+23 	 6.014831e+21 	 8.753636e-05 	 8.923311e-06 	  3.7856 	  0.6713 	 -1000.0000 	 -1000.0000 
	  3.5530 	 2.966756e+00 	 173.4661 	  7.9560 	 1.241936e+23 	 5.848539e+21 	 8.388789e-05 	 8.182272e-06 	  3.7938 	  0.6572 	 -1000.0000 	 -1000.0000 
	  3.6790 	 2.924876e+00 	 173.4175 	  7.8576 	 1.224269e+23 	 5.686562e+21 	 8.089721e-05 	 7.610461e-06 	  3.8037 	  0.6454 	 -1000.0000 	 -1000.0000 
	  3.8050 	 2.883616e+00 	 173.3972 	  7.7591 	 1.206732e+23 	 5.527560e+21 	 7.845809e-05 	 7.174484e-06 	  3.8152 	  0.6355 	 -1000.0000 	 -1000.0000 
	  5.1600 	 2.477310e+00 	 174.8075 	  6.6994 	 1.027054e+23 	 4.000615e+21 	 7.591556e-05 	 7.474874e-06 	  3.9814 	  0.6116 	 -1000.0000 	 -1000.0000 
	  5.2860 	 2.442846e+00 	 175.0761 	  6.6016 	 1.011232e+23 	 3.875166e+21 	 7.733078e-05 	 7.819960e-06 	  3.9960 	  0.6149 	 -1000.0000 	 -1000.0000 
	  5.4130 	 2.408653e+00 	 175.3680 	  6.5032 	 9.954464e+22 	 3.751488e+21 	 7.899336e-05 	 8.214004e-06 	  4.0099 	  0.6189 	 -1000.0000 	 -1000.0000 
	  5.5390 	 2.375261e+00 	 175.6781 	  6.4059 	 9.799486e+22 	 3.631510e+21 	 8.087079e-05 	 8.650381e-06 	  4.0225 	  0.6235 	 -1000.0000 	 -1000.0000 
	  5.6650 	 2.342394e+00 	 176.0081 	  6.3088 	 9.646159e+22 	 3.514228e+21 	 8.296906e-05 	 9.131523e-06 	  4.0339 	  0.6286 	 -1000.0000 	 -1000.0000 
	  7.0060 	 2.023410e+00 	 180.6032 	  5.3028 	 8.122632e+22 	 2.428104e+21 	 1.164223e-04 	 1.646546e-05 	  4.0351 	  0.6836 	 -1000.0000 	 -1000.0000 
	  7.1310 	 1.996391e+00 	 181.1187 	  5.2122 	 7.991267e+22 	 2.341501e+21 	 1.201544e-04 	 1.723133e-05 	  4.0208 	  0.6850 	 -1000.0000 	 -1000.0000 
	  7.2570 	 1.969596e+00 	 181.6510 	  5.1216 	 7.860785e+22 	 2.256653e+21 	 1.239111e-04 	 1.798507e-05 	  4.0036 	  0.6854 	 -1000.0000 	 -1000.0000 
	  7.3820 	 1.943447e+00 	 182.1912 	  5.0324 	 7.733281e+22 	 2.174887e+21 	 1.276032e-04 	 1.870684e-05 	  3.9841 	  0.6846 	 -1000.0000 	 -1000.0000 
	  7.5080 	 1.917516e+00 	 182.7472 	  4.9432 	 7.606736e+22 	 2.094877e+21 	 1.312634e-04 	 1.939598e-05 	  3.9624 	  0.6826 	 -1000.0000 	 -1000.0000 
	  8.8590 	 1.664744e+00 	 189.1907 	  4.0260 	 6.380709e+22 	 1.380130e+21 	 1.635554e-04 	 2.278001e-05 	  3.7218 	  0.5994 	 -1000.0000 	 -1000.0000 
	  8.9840 	 1.643502e+00 	 189.7812 	  3.9399 	 6.279839e+22 	 1.325343e+21 	 1.656952e-04 	 2.254868e-05 	  3.7091 	  0.5864 	 -1000.0000 	 -1000.0000 
	  9.1090 	 1.622588e+00 	 190.3588 	  3.8524 	 6.181169e+22 	 1.272028e+21 	 1.676712e-04 	 2.219573e-05 	  3.6991 	  0.5724 	 -1000.0000 	 -1000.0000 
	  9.2340 	 1.601994e+00 	 190.9208 	  3.7629 	 6.084715e+22 	 1.220075e+21 	 1.694835e-04 	 2.171772e-05 	  3.6920 	  0.5574 	 -1000.0000 	 -1000.0000 
	  9.3590 	 1.581711e+00 	 191.4642 	  3.6714 	 5.990494e+22 	 1.169373e+21 	 1.711257e-04 	 2.111913e-05 	  3.6877 	  0.5415 	 -1000.0000 	 -1000.0000 
	 10.7090 	 1.380462e+00 	 195.5954 	  2.5019 	 5.114404e+22 	 6.810517e+20 	 1.741490e-04 	 1.020533e-05 	  3.8352 	  0.3691 	  0.9373 	  0.0970 
	 10.8340 	 1.363343e+00 	 195.8306 	  2.3861 	 5.044873e+22 	 6.420770e+20 	 1.726970e-04 	 1.013044e-05 	  3.8686 	  0.3710 	  0.9470 	  0.0975 
	 10.9590 	 1.346466e+00 	 196.0511 	  2.2723 	 4.976875e+22 	 6.046085e+20 	 1.709054e-04 	 1.003130e-05 	  3.9058 	  0.3729 	  0.9565 	  0.0981 
	 11.0840 	 1.329826e+00 	 196.2594 	  2.1612 	 4.910303e+22 	 5.687640e+20 	 1.687760e-04 	 9.908663e-06 	  3.9469 	  0.3750 	  0.9661 	  0.0987 
	 11.2090 	 1.313422e+00 	 196.4583 	  2.0535 	 4.845047e+22 	 5.346612e+20 	 1.663259e-04 	 9.764529e-06 	  3.9918 	  0.3772 	  0.9756 	  0.0993 
	 12.5540 	 1.150821e+00 	 198.6033 	  1.2817 	 4.201524e+22 	 2.985588e+20 	 1.312791e-04 	 7.675976e-06 	  4.5756 	  0.4230 	  1.0716 	  0.1034 
	 12.6790 	 1.136906e+00 	 198.8238 	  1.2466 	 4.146094e+22 	 2.876044e+20 	 1.282195e-04 	 7.496936e-06 	  4.6238 	  0.4328 	  1.0791 	  0.1036 
	 12.8030 	 1.123287e+00 	 199.0454 	  1.2162 	 4.091811e+22 	 2.780138e+20 	 1.253465e-04 	 7.329690e-06 	  4.6676 	  0.4405 	  1.0862 	  0.1039 
	 12.9280 	 1.109739e+00 	 199.2712 	  1.1897 	 4.037797e+22 	 2.694823e+20 	 1.226365e-04 	 7.172565e-06 	  4.7075 	  0.4460 	  1.0930 	  0.1041 
	 13.0520 	 1.096475e+00 	 199.4974 	  1.1671 	 3.984914e+22 	 2.619983e+20 	 1.201504e-04 	 7.028584e-06 	  4.7425 	  0.4493 	  1.0992 	  0.1043 
	 14.3940 	 9.631356e-01 	 201.9852 	  1.0443 	 3.456635e+22 	 2.091115e+20 	 1.066830e-04 	 6.150138e-06 	  4.9186 	  0.4152 	  1.1374 	  0.1034 
	 14.5190 	 9.516110e-01 	 202.2114 	  1.0389 	 3.411467e+22 	 2.052862e+20 	 1.066982e-04 	 6.123794e-06 	  4.9269 	  0.4139 	  1.1389 	  0.1030 
	 14.6430 	 9.403241e-01 	 202.4333 	  1.0341 	 3.367327e+22 	 2.016229e+20 	 1.069302e-04 	 6.105725e-06 	  4.9357 	  0.4123 	  1.1402 	  0.1025 
	 14.7680 	 9.290916e-01 	 202.6539 	  1.0299 	 3.323499e+22 	 1.980578e+20 	 1.073760e-04 	 6.095091e-06 	  4.9451 	  0.4105 	  1.1413 	  0.1019 
	 14.8920 	 9.180922e-01 	 202.8695 	  1.0263 	 3.280681e+22 	 1.946431e+20 	 1.080145e-04 	 6.091345e-06 	  4.9546 	  0.4086 	  1.1423 	  0.1013 
	 16.2440 	 8.070776e-01 	 204.9147 	  1.0038 	 2.855247e+22 	 1.639715e+20 	 1.208053e-04 	 6.228921e-06 	  5.0499 	  0.3820 	  1.1456 	  0.0937 
	 16.3690 	 7.975942e-01 	 205.0715 	  1.0024 	 2.819535e+22 	 1.616132e+20 	 1.217848e-04 	 6.234619e-06 	  5.0551 	  0.3800 	  1.1449 	  0.0931 
	 16.4930 	 7.883082e-01 	 205.2216 	  1.0010 	 2.784669e+22 	 1.593311e+20 	 1.225908e-04 	 6.235656e-06 	  5.0591 	  0.3782 	  1.1439 	  0.0926 
	 16.6180 	 7.790678e-01 	 205.3673 	  0.9996 	 2.750074e+22 	 1.570832e+20 	 1.232143e-04 	 6.231590e-06 	  5.0626 	  0.3766 	  1.1427 	  0.0921 
	 16.7420 	 7.700186e-01 	 205.5064 	  0.9983 	 2.716292e+22 	 1.549001e+20 	 1.236335e-04 	 6.222289e-06 	  5.0657 	  0.3754 	  1.1412 	  0.0916 
	 18.0770 	 6.794402e-01 	 206.6432 	  0.9787 	 2.383609e+22 	 1.332172e+20 	 1.186992e-04 	 5.895252e-06 	  5.1241 	  0.3783 	  1.1247 	  0.0901 
	 18.2010 	 6.716161e-01 	 206.7121 	  0.9765 	 2.355376e+22 	 1.313432e+20 	 1.177485e-04 	 5.854573e-06 	  5.1358 	  0.3798 	  1.1247 	  0.0902 
	 18.3250 	 6.638848e-01 	 206.7739 	  0.9743 	 2.327566e+22 	 1.294972e+20 	 1.167796e-04 	 5.813813e-06 	  5.1492 	  0.3814 	  1.1253 	  0.0904 
	 18.4490 	 6.562446e-01 	 206.8284 	  0.9720 	 2.300172e+22 	 1.276807e+20 	 1.158078e-04 	 5.773338e-06 	  5.1643 	  0.3832 	  1.1264 	  0.0906 
	 18.5730 	 6.486937e-01 	 206.8754 	  0.9697 	 2.273188e+22 	 1.258950e+20 	 1.148489e-04 	 5.733511e-06 	  5.1808 	  0.3850 	  1.1280 	  0.0908 
	 19.9200 	 5.719947e-01 	 206.8500 	  0.9484 	 2.004657e+22 	 1.087779e+20 	 1.070234e-04 	 5.378982e-06 	  5.3654 	  0.4010 	  1.1654 	  0.0941 
	 20.0440 	 5.653953e-01 	 206.7947 	  0.9470 	 1.982060e+22 	 1.074171e+20 	 1.066403e-04 	 5.355432e-06 	  5.3746 	  0.4014 	  1.1692 	  0.0943 
	 20.1670 	 5.589223e-01 	 206.7306 	  0.9456 	 1.959978e+22 	 1.061012e+20 	 1.063239e-04 	 5.333720e-06 	  5.3812 	  0.4016 	  1.1728 	  0.0944 
	 20.2910 	 5.524699e-01 	 206.6565 	  0.9444 	 1.938047e+22 	 1.048081e+20 	 1.060646e-04 	 5.313429e-06 	  5.3848 	  0.4015 	  1.1763 	  0.0946 
	 20.4150 	 5.460902e-01 	 206.5729 	  0.9433 	 1.916445e+22 	 1.035483e+20 	 1.058579e-04 	 5.294632e-06 	  5.3854 	  0.4011 	  1.1796 	  0.0946 
	 21.7530 	 4.816420e-01 	 205.0575 	  0.9394 	 1.702718e+22 	 9.186756e+19 	 1.051950e-04 	 5.733130e-06 	  5.2117 	  0.4183 	  1.2040 	  0.0988 
	 21.8760 	 4.760944e-01 	 204.8683 	  0.9397 	 1.684659e+22 	 9.093885e+19 	 1.051309e-04 	 5.680413e-06 	  5.1806 	  0.4189 	  1.2050 	  0.0985 
	 21.9990 	 4.706051e-01 	 204.6726 	  0.9400 	 1.666829e+22 	 9.002787e+19 	 1.050480e-04 	 5.585970e-06 	  5.1472 	  0.4167 	  1.2059 	  0.0979 
	 22.1230 	 4.651291e-01 	 204.4692 	  0.9404 	 1.649076e+22 	 8.912578e+19 	 1.049471e-04 	 5.453721e-06 	  5.1115 	  0.4120 	  1.2064 	  0.0969 
	 22.2460 	 4.597535e-01 	 204.2618 	  0.9408 	 1.631676e+22 	 8.824551e+19 	 1.048321e-04 	 5.290456e-06 	  5.0746 	  0.4052 	  1.2067 	  0.0958 
	 23.5850 	 4.045798e-01 	 201.7652 	  0.9445 	 1.453647e+22 	 7.922842e+19 	 1.033035e-04 	 5.195479e-06 	  4.7007 	  0.3685 	  1.1954 	  0.0957 
	 23.7080 	 3.998122e-01 	 201.5221 	  0.9447 	 1.438247e+22 	 7.844040e+19 	 1.031839e-04 	 5.205316e-06 	  4.6806 	  0.3684 	  1.1940 	  0.0958 
