FileName 	 Orbit 	 I/E 	 Pos 	 F/P 	 Ls 	 Loct 	 lat 	 lon 
MIR_2A_ORB005046_N2_E_P1_06_F 	 005046 	 E 	 06 	 F 	  321.59 	   20.93 	  -68.48 	 -166.79 
MIR_2A_ORB005055_N2_E_P1_06_F 	 005055 	 E 	 06 	 F 	  322.01 	   20.60 	  -66.74 	  -69.70 
MIR_2A_ORB005075_N2_E_P1_06_F 	 005075 	 E 	 06 	 F 	  323.02 	   19.93 	  -61.40 	    9.68 
MIR_2A_ORB005085_N1_I_P1_06_F 	 005085 	 I 	 06 	 F 	  323.38 	   17.03 	   42.47 	  104.43 
MIR_2A_ORB005095_N2_E_P1_06_F 	 005095 	 E 	 06 	 F 	  323.85 	   19.45 	  -55.11 	 -153.34 
MIR_2A_ORB005104_N1_I_P1_06_F 	 005104 	 I 	 06 	 F 	  324.25 	   17.32 	   33.65 	  -76.94 
MIR_2A_ORB005115_N2_E_P1_06_F 	 005115 	 E 	 06 	 F 	  324.77 	   18.95 	  -44.49 	  -13.62 
MIR_2A_ORB005346_N1_I_P1_06_F 	 005346 	 I 	 06 	 F 	  335.14 	    5.00 	  -55.08 	   14.00 
MIR_2A_ORB005355_N2_E_P1_06_F 	 005355 	 E 	 06 	 F 	  335.55 	    6.42 	   31.09 	  131.14 
MIR_2A_ORB005365_N1_I_P1_06_F 	 005365 	 I 	 06 	 F 	  335.98 	    4.57 	  -64.31 	 -176.61 
MIR_2A_ORB005374_N2_E_P1_06_F 	 005374 	 E 	 06 	 F 	  336.39 	    6.57 	   39.67 	  -52.23 
MIR_2A_ORB005385_N1_I_P1_06_F 	 005385 	 I 	 06 	 F 	  336.86 	    4.05 	  -70.84 	  -37.52 
MIR_2A_ORB005395_N2_E_P1_06_F 	 005395 	 E 	 06 	 F 	  337.31 	    6.68 	   46.48 	   66.97 
MIR_2A_ORB005404_N1_I_P1_06_F 	 005404 	 I 	 06 	 F 	  337.70 	    3.40 	  -75.50 	  127.91 
MIR_2A_ORB005413_N2_E_P1_06_F 	 005413 	 E 	 06 	 F 	  338.10 	    6.78 	   51.14 	  -88.07 
MIR_2A_ORB005421_N2_E_P1_06_F 	 005421 	 E 	 06 	 F 	  338.46 	    6.83 	   52.97 	   42.99 
MIR_2A_ORB005430_N1_I_P1_06_F 	 005430 	 I 	 06 	 F 	  338.84 	    2.07 	  -79.77 	   82.62 
MIR_2A_ORB005439_N2_E_P1_06_F 	 005439 	 E 	 06 	 F 	  339.24 	    6.92 	   56.47 	 -112.16 
MIR_2A_ORB005458_N1_I_P1_06_F 	 005458 	 I 	 06 	 F 	  340.06 	   23.90 	  -81.72 	  -32.77 
MIR_2A_ORB005481_N1_E_P1_06_F 	 005481 	 E 	 06 	 F 	  341.08 	    7.10 	   63.17 	  125.79 
MIR_2A_ORB005496_N1_I_P1_06_F 	 005496 	 I 	 06 	 F 	  341.71 	   21.22 	  -79.90 	  -82.59 
MIR_2A_ORB005513_N1_E_P1_06_F 	 005513 	 E 	 06 	 F 	  342.46 	    7.23 	   67.17 	  -70.12 
MIR_2A_ORB005532_N1_I_P1_06_F 	 005532 	 I 	 06 	 F 	  343.27 	   19.92 	  -75.81 	  -54.64 
MIR_2A_ORB005587_N1_E_P1_06_F 	 005587 	 E 	 06 	 F 	  345.65 	    7.60 	   74.96 	  -26.89 
MIR_2A_ORB005598_N1_I_P1_06_F 	 005598 	 I 	 06 	 F 	  346.11 	   18.88 	  -66.35 	 -163.17 
MIR_2A_ORB005633_N1_E_P1_06_F 	 005633 	 E 	 06 	 F 	  347.61 	    8.03 	   79.38 	  100.25 
MIR_2A_ORB005671_N1_E_P1_06_F 	 005671 	 E 	 06 	 F 	  349.23 	    8.88 	   83.06 	  103.17 
MIR_2A_ORB009705_N1_I_P1_06_F 	 009705 	 I 	 06 	 F 	  141.28 	   15.98 	  -60.66 	   52.80 
MIR_2A_ORB009720_N2_E_P1_06_F 	 009720 	 E 	 06 	 F 	  141.91 	   21.50 	   71.10 	   55.88 
MIR_2A_ORB009734_N1_I_P1_06_F 	 009734 	 I 	 06 	 F 	  142.47 	   16.30 	  -57.25 	  -54.73 
MIR_2A_ORB009743_N2_E_P1_06_F 	 009743 	 E 	 06 	 F 	  142.85 	   20.68 	   67.68 	  103.78 
MIR_2A_ORB009757_N1_I_P1_06_F 	 009757 	 I 	 06 	 F 	  143.41 	   16.57 	  -53.56 	    8.95 
MIR_2A_ORB009788_N1_I_P1_06_F 	 009788 	 I 	 06 	 F 	  144.69 	   16.97 	  -45.65 	 -155.31 
MIR_2A_ORB009798_N2_E_P1_06_F 	 009798 	 E 	 06 	 F 	  145.11 	   19.25 	   52.41 	  -54.93 
MIR_2A_ORB009814_N1_I_P1_06_F 	 009814 	 I 	 06 	 F 	  145.76 	   17.33 	  -34.14 	 -176.68 
MIR_2A_ORB009826_N2_E_P1_06_F 	 009826 	 E 	 06 	 F 	  146.26 	   18.65 	   35.64 	 -146.25 
MIR_2A_ORB010083_N1_I_P1_06_F 	 010083 	 I 	 06 	 F 	  157.11 	    4.85 	   60.38 	 -175.49 
MIR_2A_ORB010095_N2_E_P1_06_F 	 010095 	 E 	 06 	 F 	  157.64 	    6.58 	  -42.54 	 -141.08 
MIR_2A_ORB010112_N1_I_P1_06_F 	 010112 	 I 	 06 	 F 	  158.36 	    4.27 	   70.08 	   64.21 
MIR_2A_ORB010130_N1_I_P1_06_F 	 010130 	 I 	 06 	 F 	  159.13 	    3.78 	   74.43 	  -99.36 
MIR_2A_ORB010140_N2_E_P1_06_F 	 010140 	 E 	 06 	 F 	  159.58 	    6.83 	  -54.44 	   10.50 
MIR_2A_ORB010185_N1_E_P1_06_F 	 010185 	 E 	 06 	 F 	  161.53 	    7.02 	  -62.03 	  161.72 
MIR_2A_ORB010202_N1_I_P1_06_F 	 010202 	 I 	 06 	 F 	  162.26 	   23.12 	   82.43 	  -74.87 
MIR_2A_ORB010240_N1_E_P2_06_F 	 010240 	 E 	 06 	 F 	  163.94 	    7.22 	  -68.60 	   26.23 
MIR_2A_ORB010259_N1_I_P2_06_F 	 010259 	 I 	 06 	 F 	  164.76 	   19.98 	   77.43 	   42.70 
MIR_2A_ORB010276_N1_E_P2_06_F 	 010276 	 E 	 06 	 F 	  165.52 	    7.35 	  -72.20 	   75.16 
MIR_2A_ORB010305_N1_E_P2_06_F 	 010305 	 E 	 06 	 F 	  166.80 	    7.47 	  -74.94 	  -35.05 
MIR_2A_ORB010323_N1_I_P2_06_F 	 010323 	 I 	 06 	 F 	  167.58 	   18.87 	   68.46 	  -10.46 
MIR_2A_ORB010340_N1_I_P2_06_F 	 010340 	 I 	 06 	 F 	  168.34 	   18.70 	   65.69 	 -140.75 
MIR_2A_ORB010359_N1_E_P2_06_F 	 010359 	 E 	 06 	 F 	  169.20 	    7.87 	  -79.92 	 -138.59 
MIR_2A_ORB010391_N1_I_P1_06_F 	 010391 	 I 	 06 	 F 	  170.62 	   18.38 	   56.27 	 -169.41 
MIR_2A_ORB010409_N1_E_P1_06_F 	 010409 	 E 	 06 	 F 	  171.44 	    8.95 	  -84.52 	 -116.96 
MIR_2A_ORB010424_N1_I_P1_06_F 	 010424 	 I 	 06 	 F 	  172.10 	   18.23 	   48.54 	  -38.81 
MIR_2A_ORB010434_N2_E_P1_06_F 	 010434 	 E 	 06 	 F 	  172.57 	   10.83 	  -86.48 	  -85.91 
MIR_2A_ORB010447_N1_I_P1_06_F 	 010447 	 I 	 06 	 F 	  173.14 	   18.15 	   42.15 	   19.76 
MIR_2A_ORB010728_N1_I_P1_06_F 	 010728 	 I 	 06 	 F 	  186.06 	    5.67 	  -62.97 	   66.67 
MIR_2A_ORB010735_N2_E_P1_06_F 	 010735 	 E 	 06 	 F 	  186.40 	    6.05 	   14.25 	 -134.00 
MIR_2A_ORB010745_N1_I_P1_06_F 	 010745 	 I 	 06 	 F 	  186.86 	    5.50 	  -69.42 	  -63.36 
