Hareoid(km) 	 T(K) 	 Terr(K) 	 COvmr 	 COvmr_err 	 13COvmr 	 13COvmr_err 	 18COvmr 	 18COvmr_err 
   12.18 	  183.46 	    3.75 	 1.480e-03 	 5.302e-04 	 1.274e-05 	 4.130e-06 	 2.291e-06 	 3.071e-07 
  13.76 	  180.72 	    3.88 	 1.720e-03 	 5.179e-04 	 1.416e-05 	 4.089e-06 	 2.524e-06 	 2.604e-07 
  15.33 	  180.53 	    3.57 	 1.740e-03 	 2.230e-04 	 1.431e-05 	 1.947e-06 	 2.572e-06 	 1.602e-07 
  16.90 	  178.55 	    2.81 	 1.657e-03 	 2.133e-04 	 1.222e-05 	 1.378e-06 	 2.243e-06 	 1.370e-07 
  18.48 	  174.06 	    2.32 	 1.882e-03 	 2.153e-04 	 1.190e-05 	 3.211e-06 	 2.098e-06 	 2.300e-07 
  20.05 	  169.58 	    2.27 	 2.567e-03 	 4.062e-04 	 1.534e-05 	 6.143e-06 	 2.293e-06 	 2.973e-07 
  21.61 	  170.47 	    2.33 	 3.059e-03 	 5.597e-04 	 1.760e-05 	 5.646e-06 	 2.632e-06 	 2.901e-07 
  23.18 	  173.78 	    2.34 	 2.255e-03 	 4.141e-04 	 1.746e-05 	 2.208e-06 	 2.927e-06 	 2.615e-07 
  24.75 	  173.96 	    2.22 	 1.172e-03 	 2.090e-04 	 1.409e-05 	 2.050e-06 	 2.829e-06 	 2.127e-07 
  26.31 	  171.29 	    1.99 	 8.117e-04 	 1.067e-04 	 1.050e-05 	 9.864e-07 	 2.468e-06 	 1.433e-07 
  27.88 	  170.78 	    1.88 	 1.311e-03 	 1.343e-04 	 1.315e-05 	 6.831e-07 	 3.137e-06 	 3.358e-07 
  29.44 	  174.06 	    1.82 	 1.463e-03 	 1.431e-04 	 1.114e-05 	 1.024e-06 	 2.438e-06 	 2.462e-07 
  31.00 	  177.86 	    1.57 	 1.468e-03 	 7.899e-05 	 1.256e-05 	 1.062e-06 	 2.525e-06 	 1.954e-07 
  32.56 	  177.40 	    1.30 	 1.231e-03 	 9.312e-05 	 1.324e-05 	 7.142e-07 	 2.682e-06 	 2.185e-07 
  34.12 	  172.07 	    1.46 	 1.087e-03 	 9.477e-05 	 1.340e-05 	 5.518e-07 	 2.808e-06 	 2.635e-07 
  35.68 	  164.86 	    1.56 	 9.960e-04 	 8.523e-05 	 1.338e-05 	 5.251e-07 	 2.851e-06 	 3.007e-07 
  37.23 	  157.95 	    1.43 	 9.544e-04 	 8.912e-05 	 1.305e-05 	 6.603e-07 	 2.854e-06 	 3.354e-07 
  38.79 	  153.74 	    1.51 	 1.007e-03 	 1.042e-04 	 1.262e-05 	 7.973e-07 	 2.818e-06 	 3.583e-07 
  41.13 	  156.83 	    1.70 	 1.328e-03 	 9.974e-05 	 1.222e-05 	 8.566e-07 	 2.623e-06 	 3.590e-07 
  43.46 	  166.09 	    1.85 	 1.320e-03 	 7.651e-05 	 1.236e-05 	 7.852e-07 	 2.526e-06 	 4.356e-07 
  45.01 	  167.56 	    2.11 	 1.176e-03 	 1.197e-04 	 1.288e-05 	 7.861e-07 	 2.560e-06 	 5.020e-07 
  47.33 	  164.28 	    2.71 	 1.068e-03 	 1.504e-04 	 1.303e-05 	 8.290e-07 	 2.538e-06 	 6.294e-07 
