Hareoid(km) 	 T(K) 	 Terr(K) 	 COvmr 	 COvmr_err 	 13COvmr 	 13COvmr_err 	 18COvmr 	 18COvmr_err 
   20.08 	  163.93 	    1.60 	 1.146e-03 	 1.656e-04 	 1.100e-05 	 8.586e-07 	 2.379e-06 	 1.578e-07 
  22.53 	  165.20 	    1.85 	 1.175e-03 	 1.485e-04 	 1.155e-05 	 5.601e-07 	 2.544e-06 	 9.526e-08 
  24.98 	  166.99 	    1.86 	 1.278e-03 	 1.570e-04 	 1.161e-05 	 5.541e-07 	 2.397e-06 	 1.137e-07 
  27.43 	  169.90 	    1.61 	 1.312e-03 	 7.736e-05 	 1.198e-05 	 5.436e-07 	 2.439e-06 	 8.394e-08 
  29.86 	  175.91 	    1.78 	 1.335e-03 	 8.205e-05 	 1.217e-05 	 5.373e-07 	 2.525e-06 	 9.993e-08 
  33.49 	  177.10 	    1.56 	 1.192e-03 	 7.044e-05 	 1.148e-05 	 3.001e-07 	 2.389e-06 	 1.278e-07 
  37.12 	  177.95 	    1.61 	 1.156e-03 	 6.563e-05 	 1.138e-05 	 4.546e-07 	 2.369e-06 	 1.005e-07 
  39.54 	  181.73 	    1.84 	 1.296e-03 	 8.357e-05 	 1.120e-05 	 4.474e-07 	 2.315e-06 	 1.681e-07 
  41.94 	  179.38 	    1.39 	 1.215e-03 	 1.058e-04 	 1.149e-05 	 5.043e-07 	 2.348e-06 	 2.027e-07 
  44.34 	  174.10 	    1.28 	 1.145e-03 	 1.005e-04 	 1.164e-05 	 5.611e-07 	 2.394e-06 	 2.320e-07 
  46.74 	  174.20 	    1.58 	 1.220e-03 	 1.129e-04 	 1.159e-05 	 6.348e-07 	 2.337e-06 	 2.301e-07 
  49.13 	  178.61 	    1.54 	 1.382e-03 	 1.165e-04 	 1.200e-05 	 8.251e-07 	 2.324e-06 	 2.704e-07 
  51.51 	  178.36 	    1.79 	 1.470e-03 	 1.278e-04 	 1.289e-05 	 8.908e-07 	 2.369e-06 	 3.477e-07 
  53.88 	  172.91 	    2.22 	 1.395e-03 	 1.497e-04 	 1.370e-05 	 1.084e-06 	 2.414e-06 	 4.478e-07 
  56.26 	  165.94 	    2.76 	 1.449e-03 	 1.284e-04 	 1.385e-05 	 1.166e-06 	 2.408e-06 	 5.421e-07 
  58.62 	  157.61 	    3.62 	 1.578e-03 	 1.615e-04 	 1.404e-05 	 1.289e-06 	 2.363e-06 	 6.760e-07 
  60.98 	  150.63 	    4.53 	 1.638e-03 	 2.195e-04 	 1.425e-05 	 1.605e-06 	 2.356e-06 	 8.495e-07 
  63.34 	  143.36 	    5.20 	 1.617e-03 	 3.162e-04 	 1.442e-05 	 2.136e-06 	 2.403e-06 	 1.025e-06 
  65.68 	  136.42 	    5.50 	 1.690e-03 	 4.345e-04 	 1.480e-05 	 2.755e-06 	 2.496e-06 	 1.179e-06 
  68.02 	  132.95 	    5.50 	 1.908e-03 	 5.073e-04 	 1.557e-05 	 3.737e-06 	 2.597e-06 	 1.305e-06 
  70.36 	  131.04 	    5.29 	 2.148e-03 	 5.030e-04 	 1.710e-05 	 5.063e-06 	 2.680e-06 	 1.407e-06 
  73.84 	  130.33 	    4.77 	 2.665e-03 	 4.874e-04 	 2.140e-05 	 7.708e-06 	 2.763e-06 	 1.485e-06 
  78.47 	  139.32 	    6.17 	 4.063e-03 	 1.063e-03 	 3.373e-05 	 1.459e-05 	 2.868e-06 	 1.458e-06 
  81.92 	  142.67 	    7.92 	 5.709e-03 	 1.984e-03 	 5.148e-05 	 2.573e-05 	 2.901e-06 	 1.359e-06 
  84.22 	  144.71 	    9.37 	 7.508e-03 	 2.969e-03 	 6.751e-05 	 3.781e-05 	 2.892e-06 	 1.259e-06 
  86.51 	  145.99 	   11.16 	 9.095e-03 	 4.073e-03 	 8.146e-05 	 5.624e-05 	 2.848e-06 	 1.117e-06 
  88.80 	  145.12 	   13.47 	 7.097e-03 	 3.382e-03 	 6.300e-05 	 4.206e-05 	 2.775e-06 	 1.298e-06 
