Hareoid(km) 	 T(K) 	 Terr(K) 	 COvmr 	 COvmr_err 	 13COvmr 	 13COvmr_err 	 18COvmr 	 18COvmr_err 
   42.35 	  148.02 	    2.45 	 8.022e-04 	 1.789e-04 	 8.258e-06 	 1.329e-06 	 2.324e-06 	 6.934e-07 
  44.19 	  155.68 	    1.96 	 7.786e-04 	 1.566e-04 	 8.117e-06 	 1.304e-06 	 2.532e-06 	 7.997e-07 
  46.06 	  153.29 	    1.49 	 7.173e-04 	 8.619e-05 	 8.193e-06 	 1.291e-06 	 2.723e-06 	 7.488e-07 
  47.93 	  153.02 	    1.61 	 8.932e-04 	 9.679e-05 	 9.003e-06 	 1.219e-06 	 2.777e-06 	 5.976e-07 
  49.17 	  153.83 	    1.89 	 1.124e-03 	 1.149e-04 	 9.942e-06 	 1.072e-06 	 2.660e-06 	 6.050e-07 
  51.63 	  151.97 	    2.15 	 1.389e-03 	 2.982e-04 	 1.073e-05 	 8.564e-07 	 2.440e-06 	 7.360e-07 
  54.10 	  147.70 	    2.35 	 1.533e-03 	 6.279e-04 	 1.073e-05 	 1.389e-06 	 2.308e-06 	 7.059e-07 
  55.96 	  142.83 	    2.70 	 1.572e-03 	 7.981e-04 	 1.079e-05 	 1.778e-06 	 2.255e-06 	 7.162e-07 
  57.83 	  136.67 	    3.06 	 1.512e-03 	 8.460e-04 	 1.107e-05 	 2.253e-06 	 2.301e-06 	 7.310e-07 
  59.07 	  133.91 	    3.23 	 1.460e-03 	 8.103e-04 	 1.127e-05 	 2.393e-06 	 2.365e-06 	 7.790e-07 
  60.31 	  132.53 	    3.24 	 1.437e-03 	 7.569e-04 	 1.110e-05 	 2.055e-06 	 2.430e-06 	 8.433e-07 
  62.16 	  130.65 	    3.09 	 1.408e-03 	 7.001e-04 	 1.078e-05 	 1.640e-06 	 2.537e-06 	 9.588e-07 
  64.02 	  128.34 	    2.96 	 1.339e-03 	 6.505e-04 	 1.049e-05 	 1.549e-06 	 2.634e-06 	 1.031e-06 
  65.26 	  127.03 	    2.97 	 1.359e-03 	 6.348e-04 	 1.048e-05 	 1.715e-06 	 2.735e-06 	 1.129e-06 
  66.50 	  126.79 	    3.08 	 1.483e-03 	 6.604e-04 	 1.082e-05 	 1.960e-06 	 2.905e-06 	 1.317e-06 
  67.74 	  129.54 	    3.23 	 1.655e-03 	 6.924e-04 	 1.141e-05 	 2.234e-06 	 3.104e-06 	 1.583e-06 
  68.98 	  136.62 	    3.40 	 1.833e-03 	 7.190e-04 	 1.204e-05 	 2.512e-06 	 3.316e-06 	 1.916e-06 
  70.22 	  146.82 	    3.58 	 1.962e-03 	 7.610e-04 	 1.257e-05 	 2.789e-06 	 3.525e-06 	 2.279e-06 
  71.47 	  156.37 	    3.71 	 2.005e-03 	 8.492e-04 	 1.308e-05 	 3.125e-06 	 3.764e-06 	 2.671e-06 
  72.71 	  161.32 	    3.77 	 2.033e-03 	 9.880e-04 	 1.367e-05 	 3.516e-06 	 4.069e-06 	 3.116e-06 
  73.94 	  159.71 	    3.77 	 2.092e-03 	 1.169e-03 	 1.414e-05 	 3.917e-06 	 4.398e-06 	 3.587e-06 
  75.18 	  154.66 	    3.73 	 2.156e-03 	 1.362e-03 	 1.442e-05 	 4.385e-06 	 4.731e-06 	 4.071e-06 
  76.42 	  149.10 	    3.65 	 2.250e-03 	 1.585e-03 	 1.486e-05 	 5.034e-06 	 5.137e-06 	 4.657e-06 
  77.66 	  142.60 	    3.53 	 2.418e-03 	 1.860e-03 	 1.568e-05 	 5.858e-06 	 5.629e-06 	 5.376e-06 
  78.89 	  136.57 	    3.37 	 2.691e-03 	 2.206e-03 	 1.709e-05 	 7.003e-06 	 6.115e-06 	 6.038e-06 
  80.13 	  133.38 	    3.67 	 3.087e-03 	 2.635e-03 	 1.918e-05 	 8.690e-06 	 6.346e-06 	 6.289e-06 
  81.37 	  133.97 	    4.05 	 3.676e-03 	 3.203e-03 	 2.221e-05 	 1.108e-05 	 6.245e-06 	 6.033e-06 
  83.82 	  145.12 	    4.87 	 5.753e-03 	 4.929e-03 	 3.092e-05 	 1.680e-05 	 5.551e-06 	 4.730e-06 
  86.28 	  155.53 	    5.77 	 9.570e-03 	 6.950e-03 	 4.343e-05 	 2.342e-05 	 5.021e-06 	 3.682e-06 
  87.51 	  156.29 	    6.30 	 1.237e-02 	 7.976e-03 	 5.085e-05 	 2.750e-05 	 4.822e-06 	 3.284e-06 
  88.74 	  154.72 	    6.90 	 1.463e-02 	 8.463e-03 	 5.412e-05 	 2.962e-05 	 4.622e-06 	 2.903e-06 
  89.98 	  152.99 	    7.62 	 1.349e-02 	 7.748e-03 	 4.954e-05 	 2.663e-05 	 4.415e-06 	 2.520e-06 
