Hareoid(km) 	 T(K) 	 Terr(K) 	 COvmr 	 COvmr_err 	 13COvmr 	 13COvmr_err 	 18COvmr 	 18COvmr_err 
   28.20 	  169.76 	    1.98 	 9.747e-04 	 1.779e-04 	 1.133e-05 	 7.436e-07 	 2.424e-06 	 1.602e-07 
  29.68 	  169.31 	    2.35 	 9.576e-04 	 1.569e-04 	 1.171e-05 	 5.959e-07 	 2.556e-06 	 1.422e-07 
  31.16 	  169.69 	    2.67 	 9.559e-04 	 9.355e-05 	 1.166e-05 	 5.675e-07 	 2.581e-06 	 1.114e-07 
  32.64 	  169.39 	    2.46 	 1.025e-03 	 6.106e-05 	 1.161e-05 	 5.551e-07 	 2.564e-06 	 1.183e-07 
  34.11 	  168.79 	    2.51 	 1.017e-03 	 8.084e-05 	 1.135e-05 	 5.150e-07 	 2.535e-06 	 1.093e-07 
  35.59 	  168.03 	    2.37 	 9.960e-04 	 7.863e-05 	 1.123e-05 	 4.864e-07 	 2.489e-06 	 1.299e-07 
  37.06 	  168.12 	    2.12 	 1.008e-03 	 6.569e-05 	 1.125e-05 	 5.881e-07 	 2.520e-06 	 1.329e-07 
  39.25 	  167.88 	    2.34 	 1.143e-03 	 7.393e-05 	 1.304e-05 	 5.204e-07 	 2.864e-06 	 1.374e-07 
  41.45 	  166.63 	    2.21 	 1.240e-03 	 8.491e-05 	 1.389e-05 	 5.282e-07 	 3.059e-06 	 1.590e-07 
  42.92 	  166.66 	    2.13 	 1.206e-03 	 8.323e-05 	 1.325e-05 	 6.764e-07 	 3.008e-06 	 1.799e-07 
  44.39 	  166.93 	    2.03 	 1.279e-03 	 7.959e-05 	 1.437e-05 	 5.937e-07 	 3.130e-06 	 1.932e-07 
  45.85 	  167.20 	    1.96 	 1.388e-03 	 9.207e-05 	 1.533e-05 	 7.494e-07 	 3.251e-06 	 2.193e-07 
  47.32 	  167.49 	    1.86 	 1.310e-03 	 1.109e-04 	 1.413e-05 	 7.936e-07 	 3.106e-06 	 2.577e-07 
  48.79 	  168.90 	    1.79 	 1.226e-03 	 1.129e-04 	 1.324e-05 	 6.839e-07 	 2.976e-06 	 2.983e-07 
  50.25 	  170.47 	    1.75 	 1.192e-03 	 1.062e-04 	 1.294e-05 	 7.035e-07 	 2.914e-06 	 3.314e-07 
  51.72 	  173.19 	    1.83 	 1.130e-03 	 1.066e-04 	 1.260e-05 	 7.546e-07 	 2.915e-06 	 3.839e-07 
