Hareoid(km) 	 T(K) 	 Terr(K) 	 COvmr 	 COvmr_err 	 13COvmr 	 13COvmr_err 	 18COvmr 	 18COvmr_err 
   11.43 	  179.93 	    2.08 	 7.476e-04 	 1.655e-04 	 6.562e-06 	 8.290e-07 	 1.517e-06 	 1.598e-07 
  13.70 	  183.54 	    1.82 	 9.934e-04 	 2.585e-04 	 7.653e-06 	 9.327e-07 	 1.685e-06 	 1.877e-07 
  15.96 	  186.55 	    1.29 	 1.095e-03 	 2.136e-04 	 8.334e-06 	 8.422e-07 	 1.755e-06 	 1.373e-07 
  19.31 	  188.65 	    1.36 	 1.074e-03 	 1.667e-04 	 8.365e-06 	 5.230e-07 	 1.746e-06 	 8.500e-08 
  22.65 	  184.41 	    1.15 	 1.025e-03 	 1.411e-04 	 8.617e-06 	 5.717e-07 	 1.838e-06 	 1.464e-07 
  24.89 	  180.97 	    1.05 	 1.016e-03 	 1.442e-04 	 8.470e-06 	 5.308e-07 	 1.816e-06 	 1.474e-07 
  27.13 	  179.07 	    0.81 	 9.537e-04 	 1.172e-04 	 8.550e-06 	 5.165e-07 	 1.823e-06 	 1.161e-07 
  29.37 	  181.24 	    0.84 	 9.158e-04 	 9.756e-05 	 8.818e-06 	 4.758e-07 	 1.892e-06 	 1.392e-07 
  32.70 	  183.55 	    1.05 	 1.007e-03 	 1.044e-04 	 8.819e-06 	 4.320e-07 	 1.874e-06 	 1.485e-07 
  36.03 	  178.59 	    0.84 	 9.191e-04 	 9.570e-05 	 8.925e-06 	 5.678e-07 	 1.851e-06 	 1.585e-07 
  38.25 	  178.43 	    0.80 	 9.314e-04 	 6.336e-05 	 8.942e-06 	 5.528e-07 	 1.860e-06 	 1.372e-07 
  40.46 	  176.24 	    0.81 	 9.648e-04 	 6.891e-05 	 8.873e-06 	 4.687e-07 	 1.852e-06 	 1.534e-07 
  42.66 	  167.11 	    0.92 	 9.516e-04 	 6.587e-05 	 9.084e-06 	 4.747e-07 	 1.869e-06 	 2.524e-07 
  44.87 	  157.15 	    0.61 	 9.609e-04 	 7.912e-05 	 9.174e-06 	 6.511e-07 	 1.894e-06 	 3.628e-07 
  47.06 	  150.78 	    0.94 	 9.296e-04 	 6.667e-05 	 9.367e-06 	 6.496e-07 	 1.871e-06 	 3.826e-07 
  49.26 	  149.21 	    1.24 	 9.541e-04 	 4.756e-05 	 9.248e-06 	 6.979e-07 	 1.828e-06 	 3.982e-07 
  51.44 	  149.39 	    1.20 	 9.820e-04 	 6.271e-05 	 9.061e-06 	 6.941e-07 	 1.828e-06 	 4.462e-07 
  53.63 	  151.17 	    1.72 	 9.884e-04 	 9.875e-05 	 9.339e-06 	 7.910e-07 	 1.877e-06 	 5.528e-07 
  56.86 	  160.78 	    2.36 	 1.056e-03 	 1.462e-04 	 9.967e-06 	 1.089e-06 	 1.952e-06 	 7.177e-07 
  60.07 	  161.78 	    2.79 	 1.116e-03 	 1.746e-04 	 1.072e-05 	 1.587e-06 	 2.030e-06 	 8.499e-07 
  62.24 	  157.71 	    3.11 	 1.131e-03 	 2.033e-04 	 1.141e-05 	 2.101e-06 	 2.172e-06 	 9.634e-07 
  64.39 	  154.65 	    3.62 	 1.165e-03 	 2.666e-04 	 1.160e-05 	 2.854e-06 	 2.300e-06 	 1.065e-06 
  67.62 	  154.08 	    4.59 	 1.321e-03 	 3.603e-04 	 1.134e-05 	 3.918e-06 	 2.406e-06 	 1.176e-06 
  70.83 	  156.40 	    5.63 	 1.426e-03 	 4.371e-04 	 1.164e-05 	 5.128e-06 	 2.704e-06 	 1.456e-06 
  72.97 	  157.82 	    6.14 	 1.466e-03 	 4.744e-04 	 1.262e-05 	 6.177e-06 	 3.097e-06 	 1.838e-06 
  75.10 	  159.79 	    6.31 	 1.601e-03 	 5.276e-04 	 1.448e-05 	 7.730e-06 	 3.625e-06 	 2.425e-06 
  77.23 	  162.20 	    6.19 	 1.868e-03 	 6.060e-04 	 1.740e-05 	 1.003e-05 	 4.234e-06 	 3.157e-06 
  79.36 	  163.48 	    5.86 	 2.119e-03 	 6.840e-04 	 2.079e-05 	 1.277e-05 	 4.741e-06 	 3.814e-06 
  82.53 	  160.06 	    5.17 	 2.448e-03 	 9.482e-04 	 2.509e-05 	 1.627e-05 	 5.049e-06 	 4.313e-06 
  85.69 	  151.11 	    4.76 	 2.774e-03 	 1.466e-03 	 2.862e-05 	 1.986e-05 	 4.705e-06 	 3.915e-06 
  88.81 	  146.09 	    6.25 	 2.350e-03 	 1.175e-03 	 2.464e-05 	 1.595e-05 	 3.849e-06 	 2.609e-06 
