Hareoid(km) 	 T(K) 	 Terr(K) 	 COvmr 	 COvmr_err 	 13COvmr 	 13COvmr_err 	 18COvmr 	 18COvmr_err 
   14.30 	  193.80 	    1.57 	 6.675e-04 	 7.482e-05 	 6.074e-06 	 5.564e-07 	 1.408e-06 	 5.771e-08 
  19.43 	  183.63 	    1.95 	 8.632e-04 	 1.586e-04 	 7.445e-06 	 4.208e-07 	 1.620e-06 	 1.804e-07 
  24.49 	  178.18 	    1.70 	 9.027e-04 	 1.426e-04 	 7.897e-06 	 5.791e-07 	 1.669e-06 	 1.467e-07 
  28.26 	  172.33 	    1.43 	 7.765e-04 	 1.037e-04 	 7.020e-06 	 4.190e-07 	 1.525e-06 	 9.905e-08 
  30.80 	  169.55 	    1.07 	 7.528e-04 	 8.415e-05 	 6.823e-06 	 3.152e-07 	 1.479e-06 	 1.013e-07 
  33.33 	  168.04 	    1.02 	 7.796e-04 	 7.720e-05 	 7.126e-06 	 3.436e-07 	 1.570e-06 	 1.057e-07 
  35.84 	  167.08 	    1.05 	 8.543e-04 	 7.506e-05 	 7.835e-06 	 3.338e-07 	 1.726e-06 	 1.331e-07 
  38.35 	  166.05 	    0.98 	 8.792e-04 	 8.489e-05 	 8.307e-06 	 3.267e-07 	 1.813e-06 	 1.604e-07 
  40.85 	  166.07 	    1.03 	 1.073e-03 	 8.093e-05 	 9.662e-06 	 3.696e-07 	 2.111e-06 	 1.767e-07 
  43.35 	  164.92 	    0.85 	 1.162e-03 	 1.122e-04 	 1.096e-05 	 6.531e-07 	 2.352e-06 	 2.183e-07 
  45.83 	  163.41 	    0.94 	 9.616e-04 	 9.976e-05 	 9.125e-06 	 6.645e-07 	 2.052e-06 	 2.751e-07 
  48.31 	  164.23 	    1.02 	 9.215e-04 	 5.147e-05 	 8.639e-06 	 4.080e-07 	 1.895e-06 	 2.765e-07 
  51.99 	  166.91 	    1.56 	 9.627e-04 	 7.917e-05 	 9.189e-06 	 6.972e-07 	 2.079e-06 	 3.345e-07 
  55.65 	  172.60 	    2.08 	 1.134e-03 	 1.188e-04 	 1.012e-05 	 9.590e-07 	 2.406e-06 	 4.541e-07 
  58.10 	  175.18 	    2.53 	 1.480e-03 	 6.016e-05 	 1.328e-05 	 1.295e-06 	 2.898e-06 	 6.469e-07 
  60.53 	  175.22 	    3.09 	 1.445e-03 	 1.237e-04 	 1.410e-05 	 1.625e-06 	 3.188e-06 	 8.556e-07 
  62.96 	  172.86 	    3.70 	 1.350e-03 	 1.771e-04 	 1.367e-05 	 1.806e-06 	 3.215e-06 	 1.031e-06 
  65.38 	  170.02 	    4.45 	 1.498e-03 	 1.471e-04 	 1.389e-05 	 2.307e-06 	 3.216e-06 	 1.254e-06 
  67.79 	  167.21 	    5.22 	 1.353e-03 	 2.366e-04 	 1.251e-05 	 2.413e-06 	 3.217e-06 	 1.540e-06 
  70.20 	  164.66 	    5.97 	 1.165e-03 	 3.356e-04 	 1.115e-05 	 2.444e-06 	 3.244e-06 	 1.864e-06 
  72.59 	  164.58 	    6.74 	 1.189e-03 	 3.413e-04 	 1.095e-05 	 2.513e-06 	 3.461e-06 	 2.330e-06 
  74.97 	  166.33 	    7.42 	 1.382e-03 	 3.824e-04 	 1.190e-05 	 2.943e-06 	 3.945e-06 	 3.105e-06 
  77.35 	  169.33 	    7.86 	 1.566e-03 	 5.418e-04 	 1.363e-05 	 3.872e-06 	 4.611e-06 	 4.240e-06 
  79.72 	  170.67 	    8.02 	 1.803e-03 	 7.933e-04 	 1.620e-05 	 5.266e-06 	 5.638e-06 	 6.017e-06 
  82.09 	  167.32 	    7.85 	 2.106e-03 	 1.076e-03 	 1.962e-05 	 6.755e-06 	 7.517e-06 	 9.462e-06 
  84.44 	  158.74 	    7.35 	 2.426e-03 	 1.488e-03 	 2.572e-05 	 9.385e-06 	 1.198e-05 	 1.831e-05 
  86.78 	  148.21 	    6.54 	 2.700e-03 	 1.872e-03 	 3.697e-05 	 1.503e-05 	 2.389e-05 	 4.246e-05 
  89.12 	  142.30 	    5.50 	 2.578e-03 	 1.683e-03 	 3.821e-05 	 1.703e-05 	 1.248e-05 	 1.918e-05 
