Hareoid(km) 	 T(K) 	 Terr(K) 	 COvmr 	 COvmr_err 	 13COvmr 	 13COvmr_err 	 18COvmr 	 18COvmr_err 
   18.43 	  174.82 	    2.49 	 9.923e-04 	 2.040e-04 	 8.785e-06 	 7.350e-07 	 1.903e-06 	 2.263e-07 
  21.52 	  170.36 	    2.37 	 9.646e-04 	 1.584e-04 	 8.971e-06 	 6.413e-07 	 1.890e-06 	 8.889e-08 
  23.60 	  166.43 	    1.54 	 9.410e-04 	 1.485e-04 	 9.094e-06 	 7.986e-07 	 1.901e-06 	 1.509e-07 
  25.67 	  163.09 	    1.22 	 9.873e-04 	 1.703e-04 	 9.074e-06 	 7.954e-07 	 1.911e-06 	 1.627e-07 
  27.73 	  162.48 	    1.72 	 1.008e-03 	 1.326e-04 	 9.033e-06 	 7.405e-07 	 2.003e-06 	 1.018e-07 
  29.79 	  160.95 	    1.53 	 9.070e-04 	 1.096e-04 	 8.818e-06 	 6.021e-07 	 1.903e-06 	 1.450e-07 
  31.85 	  158.80 	    0.97 	 9.135e-04 	 1.243e-04 	 9.066e-06 	 5.476e-07 	 1.822e-06 	 1.860e-07 
  33.90 	  157.31 	    0.74 	 9.760e-04 	 1.507e-04 	 9.589e-06 	 4.965e-07 	 1.978e-06 	 1.678e-07 
  35.95 	  156.58 	    1.16 	 1.032e-03 	 1.165e-04 	 1.053e-05 	 4.904e-07 	 2.249e-06 	 1.248e-07 
  39.98 	  157.27 	    1.43 	 1.407e-03 	 8.748e-05 	 1.425e-05 	 7.458e-07 	 2.916e-06 	 1.564e-07 
  44.01 	  160.66 	    0.90 	 1.512e-03 	 1.069e-04 	 1.462e-05 	 9.119e-07 	 3.029e-06 	 2.292e-07 
  46.03 	  162.78 	    0.96 	 1.363e-03 	 1.117e-04 	 1.372e-05 	 9.403e-07 	 2.959e-06 	 2.247e-07 
  48.05 	  165.26 	    0.78 	 1.402e-03 	 1.052e-04 	 1.458e-05 	 7.395e-07 	 3.081e-06 	 2.750e-07 
  50.07 	  168.94 	    0.67 	 1.585e-03 	 8.161e-05 	 1.561e-05 	 9.225e-07 	 3.195e-06 	 3.656e-07 
  52.08 	  171.00 	    0.70 	 1.476e-03 	 1.504e-04 	 1.493e-05 	 1.503e-06 	 3.170e-06 	 4.826e-07 
  54.09 	  171.39 	    0.74 	 1.415e-03 	 1.340e-04 	 1.500e-05 	 1.653e-06 	 3.248e-06 	 5.766e-07 
  56.09 	  170.79 	    1.06 	 1.504e-03 	 9.850e-05 	 1.578e-05 	 1.551e-06 	 3.393e-06 	 6.518e-07 
  58.09 	  170.70 	    1.47 	 1.668e-03 	 1.178e-04 	 1.746e-05 	 1.432e-06 	 3.641e-06 	 7.742e-07 
  60.08 	  172.08 	    1.97 	 1.840e-03 	 1.539e-04 	 1.969e-05 	 1.544e-06 	 3.991e-06 	 9.224e-07 
  62.07 	  173.49 	    2.49 	 2.002e-03 	 1.553e-04 	 2.178e-05 	 1.793e-06 	 4.366e-06 	 1.092e-06 
  65.01 	  174.29 	    3.30 	 2.144e-03 	 1.845e-04 	 2.454e-05 	 2.289e-06 	 5.146e-06 	 1.517e-06 
  67.94 	  171.85 	    4.18 	 2.142e-03 	 2.555e-04 	 2.536e-05 	 2.597e-06 	 5.872e-06 	 2.027e-06 
  70.88 	  169.63 	    4.90 	 2.350e-03 	 2.913e-04 	 2.629e-05 	 4.030e-06 	 6.255e-06 	 2.434e-06 
  73.80 	  169.42 	    5.34 	 2.693e-03 	 4.602e-04 	 2.794e-05 	 5.543e-06 	 6.623e-06 	 2.954e-06 
  75.75 	  166.89 	    5.46 	 2.895e-03 	 6.618e-04 	 3.014e-05 	 5.970e-06 	 7.145e-06 	 3.384e-06 
  77.70 	  162.89 	    5.42 	 2.989e-03 	 7.748e-04 	 3.238e-05 	 6.109e-06 	 7.830e-06 	 3.858e-06 
  79.65 	  158.43 	    5.17 	 3.143e-03 	 7.984e-04 	 3.575e-05 	 6.936e-06 	 8.847e-06 	 4.499e-06 
  82.56 	  147.15 	    4.53 	 3.503e-03 	 9.278e-04 	 4.361e-05 	 9.829e-06 	 1.047e-05 	 5.504e-06 
  86.41 	  133.01 	    4.97 	 4.378e-03 	 1.923e-03 	 5.925e-05 	 1.845e-05 	 1.092e-05 	 5.782e-06 
  89.29 	  137.45 	    6.60 	 3.895e-03 	 1.815e-03 	 5.630e-05 	 2.002e-05 	 8.944e-06 	 4.128e-06 
