Hareoid(km) 	 T(K) 	 Terr(K) 	 COvmr 	 COvmr_err 	 13COvmr 	 13COvmr_err 	 18COvmr 	 18COvmr_err 
   21.96 	  199.21 	    1.90 	 8.338e-04 	 1.598e-04 	 7.523e-06 	 5.522e-07 	 1.604e-06 	 1.273e-07 
  23.99 	  193.86 	    2.23 	 8.455e-04 	 1.735e-04 	 7.535e-06 	 5.649e-07 	 1.576e-06 	 1.275e-07 
  26.01 	  189.46 	    2.38 	 8.492e-04 	 1.719e-04 	 7.583e-06 	 5.095e-07 	 1.551e-06 	 1.467e-07 
  28.04 	  186.36 	    2.21 	 8.177e-04 	 1.508e-04 	 7.468e-06 	 4.366e-07 	 1.559e-06 	 1.340e-07 
  30.06 	  182.91 	    2.12 	 8.057e-04 	 1.483e-04 	 7.807e-06 	 4.103e-07 	 1.643e-06 	 1.396e-07 
  32.08 	  179.67 	    1.98 	 8.247e-04 	 1.591e-04 	 7.886e-06 	 4.270e-07 	 1.666e-06 	 2.093e-07 
  34.09 	  176.49 	    1.82 	 8.428e-04 	 1.556e-04 	 8.102e-06 	 4.962e-07 	 1.732e-06 	 2.825e-07 
  36.09 	  174.06 	    1.49 	 8.517e-04 	 1.364e-04 	 7.926e-06 	 5.055e-07 	 1.758e-06 	 2.688e-07 
  38.10 	  171.61 	    1.27 	 8.112e-04 	 1.633e-04 	 7.749e-06 	 5.759e-07 	 1.673e-06 	 2.184e-07 
  40.10 	  170.18 	    1.29 	 7.459e-04 	 1.150e-04 	 7.470e-06 	 4.260e-07 	 1.581e-06 	 1.857e-07 
  42.09 	  169.88 	    1.22 	 7.581e-04 	 8.390e-05 	 7.373e-06 	 3.286e-07 	 1.573e-06 	 2.208e-07 
  44.08 	  169.13 	    1.18 	 7.686e-04 	 9.572e-05 	 7.657e-06 	 4.602e-07 	 1.589e-06 	 2.117e-07 
  46.06 	  168.99 	    1.21 	 7.334e-04 	 9.108e-05 	 7.308e-06 	 3.947e-07 	 1.519e-06 	 1.832e-07 
  48.05 	  168.78 	    1.34 	 7.116e-04 	 1.015e-04 	 7.021e-06 	 3.665e-07 	 1.443e-06 	 1.646e-07 
  50.02 	  168.06 	    1.39 	 6.844e-04 	 1.085e-04 	 6.881e-06 	 3.798e-07 	 1.369e-06 	 1.556e-07 
  52.00 	  167.63 	    1.21 	 6.482e-04 	 1.234e-04 	 6.527e-06 	 4.501e-07 	 1.268e-06 	 1.730e-07 
  53.97 	  166.60 	    1.33 	 6.316e-04 	 1.513e-04 	 6.203e-06 	 4.906e-07 	 1.174e-06 	 2.054e-07 
  55.93 	  164.79 	    1.70 	 6.368e-04 	 1.930e-04 	 6.228e-06 	 4.354e-07 	 1.133e-06 	 2.566e-07 
  57.89 	  163.70 	    2.01 	 6.812e-04 	 2.541e-04 	 6.696e-06 	 5.165e-07 	 1.153e-06 	 3.365e-07 
  59.85 	  164.92 	    2.15 	 7.497e-04 	 3.416e-04 	 7.361e-06 	 6.956e-07 	 1.196e-06 	 4.312e-07 
  61.80 	  167.17 	    2.52 	 8.021e-04 	 4.483e-04 	 7.667e-06 	 8.443e-07 	 1.224e-06 	 5.366e-07 
  63.75 	  169.62 	    3.20 	 8.182e-04 	 5.692e-04 	 7.700e-06 	 9.224e-07 	 1.246e-06 	 6.520e-07 
  65.69 	  170.46 	    3.89 	 8.390e-04 	 6.825e-04 	 7.768e-06 	 1.067e-06 	 1.284e-06 	 7.805e-07 
  67.63 	  167.82 	    4.79 	 8.653e-04 	 7.261e-04 	 7.922e-06 	 1.230e-06 	 1.360e-06 	 9.452e-07 
  69.56 	  164.03 	    6.17 	 8.650e-04 	 7.049e-04 	 8.217e-06 	 1.429e-06 	 1.497e-06 	 1.168e-06 
  71.49 	  162.66 	    7.81 	 8.519e-04 	 6.662e-04 	 8.759e-06 	 1.704e-06 	 1.704e-06 	 1.453e-06 
  73.42 	  162.15 	    9.47 	 8.756e-04 	 6.307e-04 	 9.672e-06 	 2.114e-06 	 1.989e-06 	 1.800e-06 
  75.34 	  163.48 	   10.81 	 9.257e-04 	 5.939e-04 	 1.093e-05 	 2.751e-06 	 2.404e-06 	 2.292e-06 
  77.25 	  165.67 	   11.81 	 9.514e-04 	 5.484e-04 	 1.249e-05 	 3.526e-06 	 2.991e-06 	 3.039e-06 
  79.16 	  168.35 	   12.43 	 9.762e-04 	 5.280e-04 	 1.446e-05 	 4.475e-06 	 3.768e-06 	 4.072e-06 
  81.07 	  168.80 	   12.71 	 1.059e-03 	 5.525e-04 	 1.699e-05 	 5.691e-06 	 4.781e-06 	 5.412e-06 
  82.97 	  165.17 	   12.67 	 1.252e-03 	 6.365e-04 	 2.078e-05 	 7.178e-06 	 6.484e-06 	 7.655e-06 
  84.87 	  158.82 	   12.20 	 1.500e-03 	 7.460e-04 	 2.502e-05 	 8.481e-06 	 8.792e-06 	 1.088e-05 
  86.76 	  150.55 	   11.21 	 1.873e-03 	 9.137e-04 	 2.956e-05 	 9.582e-06 	 1.112e-05 	 1.425e-05 
  88.65 	  143.34 	    9.77 	 2.039e-03 	 9.942e-04 	 3.021e-05 	 1.017e-05 	 8.677e-06 	 1.038e-05 
