Hareoid(km) 	 T(K) 	 Terr(K) 	 COvmr 	 COvmr_err 	 13COvmr 	 13COvmr_err 	 18COvmr 	 18COvmr_err 
   12.98 	  146.88 	    1.51 	 4.271e-03 	 5.744e-04 	 3.858e-05 	 5.721e-06 	 7.727e-06 	 9.188e-07 
  15.46 	  144.50 	    0.77 	 4.405e-03 	 7.108e-04 	 4.081e-05 	 7.205e-06 	 7.916e-06 	 8.853e-07 
  17.93 	  144.11 	    1.12 	 2.494e-03 	 4.475e-04 	 2.407e-05 	 3.813e-06 	 4.777e-06 	 5.453e-07 
  20.40 	  144.38 	    0.70 	 1.693e-03 	 2.657e-04 	 1.750e-05 	 2.358e-06 	 3.452e-06 	 2.231e-07 
  22.86 	  144.49 	    0.83 	 1.799e-03 	 2.723e-04 	 1.836e-05 	 2.157e-06 	 3.850e-06 	 3.234e-07 
  25.31 	  144.34 	    0.70 	 2.115e-03 	 3.269e-04 	 2.086e-05 	 2.185e-06 	 4.305e-06 	 2.744e-07 
  27.76 	  145.46 	    0.83 	 1.933e-03 	 2.996e-04 	 1.846e-05 	 1.558e-06 	 3.800e-06 	 2.901e-07 
  30.19 	  147.70 	    0.76 	 1.929e-03 	 2.756e-04 	 1.907e-05 	 1.376e-06 	 3.860e-06 	 3.208e-07 
  32.62 	  149.99 	    1.02 	 2.068e-03 	 1.965e-04 	 2.064e-05 	 1.804e-06 	 4.239e-06 	 2.566e-07 
  35.05 	  152.44 	    0.84 	 1.905e-03 	 1.320e-04 	 1.866e-05 	 8.982e-07 	 4.004e-06 	 2.856e-07 
  37.46 	  155.33 	    0.76 	 1.858e-03 	 1.255e-04 	 1.848e-05 	 1.393e-06 	 3.801e-06 	 2.777e-07 
  39.87 	  158.80 	    0.83 	 1.870e-03 	 1.325e-04 	 1.871e-05 	 1.240e-06 	 3.882e-06 	 2.646e-07 
  42.27 	  162.78 	    0.86 	 2.186e-03 	 1.474e-04 	 2.220e-05 	 1.076e-06 	 4.497e-06 	 2.430e-07 
  44.67 	  166.42 	    0.78 	 2.635e-03 	 1.343e-04 	 2.594e-05 	 1.882e-06 	 5.199e-06 	 2.927e-07 
  47.06 	  168.67 	    0.82 	 2.597e-03 	 1.823e-04 	 2.497e-05 	 1.588e-06 	 5.206e-06 	 3.813e-07 
  49.43 	  169.26 	    0.90 	 2.494e-03 	 1.702e-04 	 2.293e-05 	 2.016e-06 	 4.870e-06 	 4.750e-07 
  51.81 	  167.54 	    1.04 	 2.374e-03 	 1.615e-04 	 2.203e-05 	 2.088e-06 	 4.527e-06 	 6.082e-07 
  54.17 	  165.98 	    1.29 	 2.144e-03 	 1.585e-04 	 2.058e-05 	 2.213e-06 	 4.232e-06 	 7.077e-07 
  56.53 	  166.61 	    1.68 	 2.095e-03 	 1.693e-04 	 1.968e-05 	 2.762e-06 	 4.206e-06 	 8.514e-07 
  58.88 	  169.16 	    2.08 	 2.419e-03 	 1.543e-04 	 2.138e-05 	 3.516e-06 	 4.496e-06 	 1.126e-06 
  61.22 	  172.79 	    2.44 	 2.923e-03 	 1.594e-04 	 2.506e-05 	 4.532e-06 	 4.996e-06 	 1.504e-06 
  63.56 	  174.07 	    2.72 	 3.121e-03 	 2.870e-04 	 2.796e-05 	 5.844e-06 	 5.502e-06 	 1.883e-06 
  65.89 	  171.94 	    2.89 	 3.171e-03 	 3.415e-04 	 2.984e-05 	 6.729e-06 	 5.991e-06 	 2.187e-06 
  68.21 	  168.81 	    2.96 	 3.207e-03 	 5.089e-04 	 3.209e-05 	 7.277e-06 	 6.552e-06 	 2.513e-06 
  70.53 	  164.76 	    2.95 	 3.394e-03 	 6.816e-04 	 3.477e-05 	 8.520e-06 	 7.262e-06 	 2.975e-06 
  72.83 	  160.17 	    2.89 	 3.940e-03 	 8.725e-04 	 3.846e-05 	 1.140e-05 	 8.097e-06 	 3.592e-06 
  75.13 	  156.27 	    3.40 	 4.608e-03 	 1.094e-03 	 4.293e-05 	 1.620e-05 	 8.848e-06 	 4.305e-06 
  78.54 	  160.12 	    4.29 	 5.161e-03 	 1.205e-03 	 4.867e-05 	 2.340e-05 	 9.159e-06 	 4.954e-06 
  81.94 	  162.42 	    5.37 	 5.015e-03 	 1.226e-03 	 5.117e-05 	 2.677e-05 	 8.724e-06 	 4.930e-06 
  84.21 	  164.27 	    6.21 	 4.884e-03 	 1.170e-03 	 5.369e-05 	 2.963e-05 	 8.206e-06 	 4.596e-06 
  86.47 	  167.01 	    7.22 	 4.933e-03 	 1.300e-03 	 5.191e-05 	 3.023e-05 	 7.402e-06 	 3.912e-06 
  88.73 	  172.00 	    8.47 	 4.408e-03 	 1.265e-03 	 4.327e-05 	 2.379e-05 	 6.449e-06 	 3.025e-06 
