Hareoid(km) 	 T(K) 	 Terr(K) 	 COvmr 	 COvmr_err 	 13COvmr 	 13COvmr_err 	 18COvmr 	 18COvmr_err 
   40.52 	  152.96 	    3.50 	 7.820e-04 	 1.275e-04 	 1.126e-05 	 3.042e-06 	 2.728e-06 	 4.976e-07 
  41.69 	  158.50 	    3.84 	 7.636e-04 	 1.291e-04 	 1.108e-05 	 3.097e-06 	 2.833e-06 	 5.394e-07 
  42.86 	  158.22 	    4.23 	 7.595e-04 	 1.090e-04 	 1.029e-05 	 2.521e-06 	 2.767e-06 	 5.112e-07 
  44.03 	  157.95 	    4.55 	 8.332e-04 	 1.173e-04 	 9.768e-06 	 1.848e-06 	 2.576e-06 	 4.683e-07 
  45.21 	  157.58 	    4.74 	 9.542e-04 	 1.688e-04 	 1.010e-05 	 1.642e-06 	 2.532e-06 	 4.836e-07 
  46.39 	  156.30 	    4.84 	 9.963e-04 	 1.454e-04 	 1.057e-05 	 1.392e-06 	 2.625e-06 	 5.523e-07 
  47.56 	  154.26 	    4.97 	 9.540e-04 	 7.637e-05 	 1.009e-05 	 8.250e-07 	 2.705e-06 	 6.530e-07 
  48.73 	  151.55 	    5.25 	 9.252e-04 	 1.123e-04 	 9.377e-06 	 9.878e-07 	 2.693e-06 	 7.648e-07 
  49.91 	  148.94 	    5.53 	 9.190e-04 	 1.418e-04 	 8.774e-06 	 1.086e-06 	 2.527e-06 	 7.667e-07 
  51.08 	  147.10 	    5.67 	 9.257e-04 	 1.328e-04 	 8.769e-06 	 1.235e-06 	 2.330e-06 	 6.866e-07 
  52.25 	  146.20 	    5.65 	 9.477e-04 	 1.459e-04 	 9.353e-06 	 1.662e-06 	 2.179e-06 	 5.467e-07 
  53.43 	  145.93 	    5.49 	 9.589e-04 	 1.602e-04 	 9.731e-06 	 1.956e-06 	 2.088e-06 	 4.656e-07 
  54.60 	  146.07 	    5.25 	 9.665e-04 	 1.637e-04 	 9.593e-06 	 1.773e-06 	 2.038e-06 	 4.403e-07 
  56.34 	  146.35 	    4.99 	 9.301e-04 	 1.936e-04 	 9.866e-06 	 1.525e-06 	 2.058e-06 	 4.809e-07 
  58.09 	  145.75 	    4.93 	 8.431e-04 	 2.260e-04 	 1.048e-05 	 1.571e-06 	 2.151e-06 	 6.160e-07 
  59.26 	  144.30 	    4.90 	 7.876e-04 	 2.613e-04 	 1.080e-05 	 1.815e-06 	 2.246e-06 	 7.343e-07 
  60.43 	  143.06 	    4.91 	 7.504e-04 	 3.076e-04 	 1.099e-05 	 1.982e-06 	 2.330e-06 	 8.441e-07 
  62.19 	  142.61 	    5.24 	 7.316e-04 	 3.952e-04 	 1.127e-05 	 2.445e-06 	 2.416e-06 	 9.967e-07 
