Hareoid(km) 	 T(K) 	 Terr(K) 	 COvmr 	 COvmr_err 	 13COvmr 	 13COvmr_err 	 18COvmr 	 18COvmr_err 
   13.65 	  162.56 	    2.51 	 4.130e-03 	 6.096e-04 	 3.763e-05 	 4.560e-06 	 7.331e-06 	 9.063e-07 
  16.73 	  159.29 	    1.79 	 2.457e-03 	 3.354e-04 	 2.252e-05 	 2.209e-06 	 4.416e-06 	 4.823e-07 
  19.79 	  161.05 	    1.20 	 1.482e-03 	 1.790e-04 	 1.489e-05 	 1.339e-06 	 2.949e-06 	 1.347e-07 
  22.84 	  162.34 	    1.26 	 1.330e-03 	 1.621e-04 	 1.242e-05 	 5.524e-07 	 2.653e-06 	 9.192e-08 
  25.88 	  165.66 	    1.20 	 1.503e-03 	 1.436e-04 	 1.517e-05 	 1.030e-06 	 3.081e-06 	 1.459e-07 
  28.91 	  170.53 	    0.99 	 1.298e-03 	 1.493e-04 	 1.307e-05 	 7.735e-07 	 2.766e-06 	 1.270e-07 
  31.92 	  173.24 	    1.01 	 1.262e-03 	 1.144e-04 	 1.243e-05 	 5.214e-07 	 2.611e-06 	 9.327e-08 
  34.92 	  176.11 	    1.12 	 1.378e-03 	 1.146e-04 	 1.414e-05 	 6.953e-07 	 2.934e-06 	 1.066e-07 
  37.91 	  181.62 	    1.23 	 1.329e-03 	 9.742e-05 	 1.302e-05 	 4.976e-07 	 2.774e-06 	 1.732e-07 
  40.88 	  183.12 	    1.43 	 1.275e-03 	 1.033e-04 	 1.250e-05 	 5.278e-07 	 2.661e-06 	 1.218e-07 
  43.85 	  178.45 	    1.15 	 1.299e-03 	 7.425e-05 	 1.265e-05 	 5.745e-07 	 2.697e-06 	 1.087e-07 
  46.80 	  173.01 	    0.82 	 1.298e-03 	 8.659e-05 	 1.252e-05 	 5.742e-07 	 2.752e-06 	 2.072e-07 
  49.74 	  170.51 	    0.71 	 1.401e-03 	 8.592e-05 	 1.351e-05 	 5.470e-07 	 2.942e-06 	 2.904e-07 
  52.66 	  170.11 	    0.74 	 1.597e-03 	 1.015e-04 	 1.481e-05 	 7.570e-07 	 2.996e-06 	 3.455e-07 
  55.58 	  168.55 	    0.77 	 1.614e-03 	 1.602e-04 	 1.435e-05 	 9.374e-07 	 2.832e-06 	 4.316e-07 
  58.48 	  163.61 	    1.43 	 1.596e-03 	 2.040e-04 	 1.407e-05 	 1.021e-06 	 2.803e-06 	 5.937e-07 
  61.37 	  156.52 	    2.71 	 1.614e-03 	 2.809e-04 	 1.447e-05 	 9.492e-07 	 2.927e-06 	 8.099e-07 
  64.25 	  151.66 	    3.82 	 1.801e-03 	 2.334e-04 	 1.590e-05 	 1.553e-06 	 3.074e-06 	 9.831e-07 
  68.49 	  149.61 	    4.49 	 1.876e-03 	 2.527e-04 	 1.598e-05 	 2.139e-06 	 3.247e-06 	 1.271e-06 
  74.11 	  152.92 	    4.13 	 1.865e-03 	 4.014e-04 	 1.467e-05 	 2.931e-06 	 3.533e-06 	 1.635e-06 
  78.34 	  159.02 	    3.59 	 2.378e-03 	 5.714e-04 	 1.692e-05 	 5.173e-06 	 4.404e-06 	 2.291e-06 
  81.14 	  159.61 	    3.74 	 2.925e-03 	 6.878e-04 	 2.038e-05 	 7.823e-06 	 5.416e-06 	 3.147e-06 
  83.93 	  160.33 	    4.42 	 3.497e-03 	 8.093e-04 	 2.482e-05 	 1.117e-05 	 6.482e-06 	 4.272e-06 
  86.70 	  161.30 	    5.30 	 4.026e-03 	 9.399e-04 	 2.892e-05 	 1.434e-05 	 6.970e-06 	 4.867e-06 
  89.47 	  158.38 	    6.54 	 3.832e-03 	 8.881e-04 	 2.837e-05 	 1.350e-05 	 6.266e-06 	 3.876e-06 
