Hareoid(km) 	 T(K) 	 Terr(K) 	 COvmr 	 COvmr_err 	 13COvmr 	 13COvmr_err 	 18COvmr 	 18COvmr_err 
   16.32 	  144.81 	    1.60 	 1.394e-03 	 1.871e-04 	 1.643e-05 	 7.483e-07 	 3.520e-06 	 4.231e-07 
  17.73 	  145.32 	    1.82 	 1.410e-03 	 1.597e-04 	 1.715e-05 	 6.803e-07 	 3.709e-06 	 4.330e-07 
  19.12 	  147.02 	    1.84 	 1.190e-03 	 9.718e-05 	 1.652e-05 	 1.016e-06 	 3.551e-06 	 2.728e-07 
  20.53 	  149.31 	    1.70 	 1.027e-03 	 8.315e-05 	 1.539e-05 	 1.028e-06 	 3.399e-06 	 1.615e-07 
  21.93 	  151.76 	    1.53 	 1.122e-03 	 1.087e-04 	 1.645e-05 	 8.889e-07 	 3.727e-06 	 2.097e-07 
  23.33 	  155.06 	    1.46 	 1.330e-03 	 1.639e-04 	 1.825e-05 	 5.930e-07 	 4.090e-06 	 4.201e-07 
  24.73 	  160.51 	    1.66 	 1.508e-03 	 1.649e-04 	 2.011e-05 	 1.043e-06 	 4.238e-06 	 3.800e-07 
  26.81 	  169.37 	    2.16 	 1.341e-03 	 1.112e-04 	 1.767e-05 	 1.382e-06 	 3.710e-06 	 2.966e-07 
  28.90 	  176.57 	    2.47 	 1.253e-03 	 8.729e-05 	 1.541e-05 	 7.809e-07 	 3.263e-06 	 2.563e-07 
  30.30 	  180.76 	    2.38 	 1.372e-03 	 9.171e-05 	 1.722e-05 	 6.143e-07 	 3.522e-06 	 2.453e-07 
  31.70 	  184.89 	    2.43 	 1.368e-03 	 9.094e-05 	 1.773e-05 	 9.014e-07 	 3.638e-06 	 2.298e-07 
  33.10 	  189.50 	    2.47 	 1.317e-03 	 9.293e-05 	 1.651e-05 	 9.164e-07 	 3.415e-06 	 2.425e-07 
  34.50 	  192.45 	    2.37 	 1.274e-03 	 9.670e-05 	 1.550e-05 	 7.601e-07 	 3.205e-06 	 2.761e-07 
  35.90 	  192.53 	    2.28 	 1.237e-03 	 9.462e-05 	 1.494e-05 	 6.258e-07 	 3.097e-06 	 3.067e-07 
  37.30 	  190.90 	    2.26 	 1.220e-03 	 9.446e-05 	 1.498e-05 	 5.294e-07 	 3.086e-06 	 3.226e-07 
  38.69 	  189.44 	    2.32 	 1.206e-03 	 8.891e-05 	 1.532e-05 	 5.371e-07 	 3.128e-06 	 3.335e-07 
  40.10 	  188.90 	    2.34 	 1.252e-03 	 8.416e-05 	 1.547e-05 	 6.675e-07 	 3.151e-06 	 3.596e-07 
  42.18 	  188.68 	    2.18 	 1.363e-03 	 9.645e-05 	 1.556e-05 	 7.472e-07 	 3.138e-06 	 4.053e-07 
  44.26 	  188.39 	    1.95 	 1.313e-03 	 9.996e-05 	 1.585e-05 	 7.945e-07 	 3.162e-06 	 4.529e-07 
  45.66 	  188.77 	    1.84 	 1.314e-03 	 9.742e-05 	 1.640e-05 	 9.978e-07 	 3.239e-06 	 5.076e-07 
  47.06 	  189.69 	    1.86 	 1.517e-03 	 1.287e-04 	 1.758e-05 	 1.125e-06 	 3.391e-06 	 5.855e-07 
  48.46 	  190.93 	    1.95 	 1.738e-03 	 1.440e-04 	 1.927e-05 	 1.153e-06 	 3.532e-06 	 6.676e-07 
  49.85 	  192.49 	    2.12 	 1.670e-03 	 1.412e-04 	 1.985e-05 	 1.282e-06 	 3.499e-06 	 7.313e-07 
  51.25 	  194.30 	    2.30 	 1.622e-03 	 1.193e-04 	 1.903e-05 	 1.510e-06 	 3.348e-06 	 7.956e-07 
  52.65 	  195.61 	    2.47 	 1.654e-03 	 1.179e-04 	 1.858e-05 	 1.651e-06 	 3.222e-06 	 8.822e-07 
  54.04 	  195.00 	    2.66 	 1.628e-03 	 1.168e-04 	 1.894e-05 	 1.774e-06 	 3.144e-06 	 9.843e-07 
  55.44 	  191.74 	    2.95 	 1.624e-03 	 1.318e-04 	 1.953e-05 	 1.979e-06 	 3.087e-06 	 1.082e-06 
  56.83 	  186.28 	    3.36 	 1.618e-03 	 1.434e-04 	 1.968e-05 	 2.079e-06 	 3.036e-06 	 1.183e-06 
  58.22 	  179.72 	    3.81 	 1.668e-03 	 1.649e-04 	 1.917e-05 	 2.200e-06 	 2.982e-06 	 1.295e-06 
  59.62 	  173.20 	    4.24 	 1.790e-03 	 1.928e-04 	 1.853e-05 	 2.322e-06 	 2.947e-06 	 1.418e-06 
  61.01 	  167.59 	    4.59 	 1.896e-03 	 2.613e-04 	 1.824e-05 	 2.369e-06 	 2.948e-06 	 1.547e-06 
  62.40 	  163.53 	    4.85 	 2.039e-03 	 3.456e-04 	 1.838e-05 	 2.470e-06 	 2.996e-06 	 1.685e-06 
  63.79 	  161.07 	    4.99 	 2.234e-03 	 4.536e-04 	 1.865e-05 	 2.652e-06 	 3.091e-06 	 1.835e-06 
  65.18 	  158.78 	    4.98 	 2.410e-03 	 6.320e-04 	 1.898e-05 	 2.933e-06 	 3.218e-06 	 1.999e-06 
  66.57 	  156.26 	    4.88 	 2.612e-03 	 8.578e-04 	 1.952e-05 	 3.304e-06 	 3.377e-06 	 2.183e-06 
  67.96 	  154.23 	    4.74 	 2.952e-03 	 1.102e-03 	 2.034e-05 	 3.844e-06 	 3.526e-06 	 2.338e-06 
  69.35 	  153.60 	    4.58 	 3.434e-03 	 1.372e-03 	 2.176e-05 	 4.652e-06 	 3.639e-06 	 2.431e-06 
  71.43 	  154.69 	    4.31 	 4.276e-03 	 1.867e-03 	 2.487e-05 	 6.584e-06 	 3.745e-06 	 2.479e-06 
  73.51 	  154.36 	    4.00 	 5.127e-03 	 2.329e-03 	 2.860e-05 	 9.046e-06 	 3.769e-06 	 2.417e-06 
  76.25 	  149.78 	    3.63 	 5.785e-03 	 2.280e-03 	 3.443e-05 	 1.274e-05 	 3.641e-06 	 2.154e-06 
  78.99 	  142.98 	    4.52 	 6.452e-03 	 2.433e-03 	 4.188e-05 	 1.775e-05 	 3.421e-06 	 1.799e-06 
  82.41 	  132.71 	    6.02 	 7.929e-03 	 3.489e-03 	 4.912e-05 	 2.225e-05 	 3.104e-06 	 1.330e-06 
  85.82 	  128.06 	    8.22 	 8.694e-03 	 5.403e-03 	 4.702e-05 	 2.141e-05 	 2.801e-06 	 1.102e-06 
  87.89 	  130.88 	    9.94 	 6.323e-03 	 3.743e-03 	 3.899e-05 	 1.625e-05 	 2.636e-06 	 1.271e-06 
