Hareoid(km) 	 T(K) 	 Terr(K) 	 COvmr 	 COvmr_err 	 13COvmr 	 13COvmr_err 	 18COvmr 	 18COvmr_err 
    5.70 	  184.66 	    2.89 	 7.115e-04 	 1.134e-04 	 8.841e-06 	 1.008e-06 	 1.880e-06 	 2.379e-07 
   7.20 	  182.17 	    2.81 	 7.333e-04 	 1.017e-04 	 8.719e-06 	 8.864e-07 	 1.847e-06 	 1.975e-07 
   8.71 	  177.25 	    2.44 	 7.546e-04 	 1.349e-04 	 8.733e-06 	 1.072e-06 	 1.825e-06 	 1.931e-07 
  10.21 	  172.20 	    2.17 	 8.196e-04 	 1.588e-04 	 8.960e-06 	 1.724e-06 	 1.910e-06 	 2.101e-07 
  11.72 	  169.56 	    2.12 	 9.182e-04 	 1.638e-04 	 8.952e-06 	 1.557e-06 	 1.932e-06 	 1.405e-07 
  13.22 	  168.28 	    2.11 	 9.024e-04 	 1.814e-04 	 8.701e-06 	 8.138e-07 	 1.847e-06 	 1.303e-07 
  14.72 	  166.66 	    1.82 	 7.922e-04 	 1.494e-04 	 8.626e-06 	 6.851e-07 	 1.834e-06 	 1.282e-07 
  16.23 	  164.77 	    1.56 	 8.301e-04 	 1.526e-04 	 8.511e-06 	 1.065e-06 	 1.850e-06 	 1.234e-07 
  17.73 	  162.59 	    1.65 	 8.647e-04 	 1.319e-04 	 8.384e-06 	 1.464e-06 	 1.777e-06 	 9.109e-08 
  19.23 	  160.81 	    1.68 	 8.733e-04 	 1.113e-04 	 8.455e-06 	 1.011e-06 	 1.826e-06 	 1.132e-07 
  20.74 	  158.57 	    1.53 	 9.886e-04 	 1.429e-04 	 8.828e-06 	 1.145e-06 	 1.947e-06 	 1.389e-07 
  22.24 	  156.83 	    1.23 	 1.046e-03 	 1.667e-04 	 8.704e-06 	 1.140e-06 	 1.928e-06 	 1.214e-07 
  23.75 	  155.59 	    1.25 	 1.103e-03 	 1.585e-04 	 9.389e-06 	 1.129e-06 	 2.050e-06 	 1.378e-07 
  25.25 	  155.19 	    1.06 	 1.195e-03 	 1.465e-04 	 1.086e-05 	 1.188e-06 	 2.273e-06 	 1.473e-07 
  26.75 	  155.32 	    1.22 	 1.128e-03 	 1.388e-04 	 1.097e-05 	 1.065e-06 	 2.299e-06 	 1.575e-07 
  28.25 	  154.08 	    1.29 	 1.010e-03 	 1.184e-04 	 1.028e-05 	 8.521e-07 	 2.217e-06 	 1.752e-07 
  29.75 	  152.92 	    1.25 	 1.055e-03 	 9.333e-05 	 1.096e-05 	 7.828e-07 	 2.330e-06 	 1.599e-07 
