Hareoid(km) 	 T(K) 	 Terr(K) 	 COvmr 	 COvmr_err 	 13COvmr 	 13COvmr_err 	 18COvmr 	 18COvmr_err 
   13.24 	  136.87 	    1.40 	 1.102e-03 	 1.593e-04 	 1.272e-05 	 1.343e-06 	 2.852e-06 	 2.639e-07 
  17.13 	  139.55 	    0.83 	 1.229e-03 	 1.122e-04 	 1.418e-05 	 1.430e-06 	 2.993e-06 	 1.779e-07 
  19.71 	  141.61 	    1.04 	 1.252e-03 	 6.860e-05 	 1.520e-05 	 1.776e-06 	 3.094e-06 	 3.972e-07 
  22.28 	  139.93 	    1.40 	 1.215e-03 	 7.082e-05 	 1.556e-05 	 1.555e-06 	 3.235e-06 	 3.701e-07 
  24.85 	  142.83 	    1.57 	 1.317e-03 	 8.748e-05 	 1.376e-05 	 1.287e-06 	 3.161e-06 	 2.195e-07 
  27.42 	  151.28 	    1.19 	 1.594e-03 	 1.049e-04 	 1.552e-05 	 1.199e-06 	 3.316e-06 	 1.891e-07 
  29.98 	  158.98 	    1.18 	 1.579e-03 	 1.001e-04 	 1.752e-05 	 8.720e-07 	 3.540e-06 	 1.721e-07 
  32.53 	  162.97 	    1.22 	 1.635e-03 	 7.612e-05 	 1.691e-05 	 1.036e-06 	 3.493e-06 	 2.082e-07 
  35.07 	  161.76 	    1.22 	 1.543e-03 	 5.774e-05 	 1.576e-05 	 9.917e-07 	 3.323e-06 	 2.845e-07 
  37.60 	  161.50 	    1.14 	 1.420e-03 	 8.456e-05 	 1.590e-05 	 6.916e-07 	 3.291e-06 	 3.565e-07 
  41.36 	  175.33 	    1.15 	 1.653e-03 	 7.811e-05 	 1.695e-05 	 1.155e-06 	 3.368e-06 	 4.278e-07 
  45.10 	  187.70 	    0.98 	 1.714e-03 	 8.804e-05 	 1.753e-05 	 1.408e-06 	 3.492e-06 	 5.458e-07 
  47.61 	  190.26 	    1.43 	 1.813e-03 	 1.077e-04 	 1.861e-05 	 1.901e-06 	 3.574e-06 	 6.090e-07 
  50.11 	  191.11 	    1.51 	 1.685e-03 	 1.245e-04 	 1.780e-05 	 2.236e-06 	 3.521e-06 	 6.769e-07 
  52.61 	  191.75 	    1.06 	 1.496e-03 	 1.187e-04 	 1.648e-05 	 1.630e-06 	 3.511e-06 	 7.913e-07 
  55.10 	  192.00 	    1.01 	 1.565e-03 	 1.048e-04 	 1.676e-05 	 1.599e-06 	 3.556e-06 	 9.015e-07 
  57.57 	  193.30 	    1.35 	 1.697e-03 	 1.281e-04 	 1.847e-05 	 2.189e-06 	 3.667e-06 	 1.044e-06 
  60.05 	  193.09 	    1.77 	 1.733e-03 	 1.480e-04 	 2.035e-05 	 2.717e-06 	 3.843e-06 	 1.273e-06 
  63.75 	  186.66 	    2.48 	 1.899e-03 	 2.503e-04 	 2.250e-05 	 3.182e-06 	 4.185e-06 	 1.651e-06 
  67.42 	  177.24 	    3.22 	 2.351e-03 	 4.502e-04 	 2.474e-05 	 4.521e-06 	 4.613e-06 	 2.098e-06 
  69.87 	  170.07 	    3.47 	 2.759e-03 	 4.653e-04 	 2.712e-05 	 5.956e-06 	 4.981e-06 	 2.524e-06 
  73.50 	  160.88 	    3.43 	 3.502e-03 	 7.516e-04 	 3.117e-05 	 8.827e-06 	 5.466e-06 	 3.307e-06 
  77.13 	  153.28 	    3.32 	 4.101e-03 	 1.134e-03 	 3.791e-05 	 1.283e-05 	 6.713e-06 	 5.457e-06 
  79.54 	  151.54 	    3.99 	 4.743e-03 	 1.355e-03 	 4.702e-05 	 1.750e-05 	 8.007e-06 	 7.755e-06 
  81.95 	  151.04 	    4.79 	 5.584e-03 	 1.861e-03 	 6.117e-05 	 2.738e-05 	 7.804e-06 	 7.818e-06 
  84.35 	  150.40 	    5.76 	 5.923e-03 	 2.308e-03 	 7.287e-05 	 3.713e-05 	 6.561e-06 	 6.148e-06 
  87.92 	  145.10 	    7.69 	 4.176e-03 	 1.653e-03 	 5.076e-05 	 2.533e-05 	 4.614e-06 	 3.325e-06 
