Hareoid(km) 	 T(K) 	 Terr(K) 	 COvmr 	 COvmr_err 	 13COvmr 	 13COvmr_err 	 18COvmr 	 18COvmr_err 
   18.90 	  196.43 	    3.77 	 9.840e-04 	 1.307e-04 	 9.352e-06 	 1.124e-06 	 1.926e-06 	 1.303e-07 
  20.73 	  198.57 	    4.18 	 1.055e-03 	 1.387e-04 	 9.702e-06 	 1.427e-06 	 1.975e-06 	 1.512e-07 
  22.55 	  200.32 	    4.43 	 1.089e-03 	 1.353e-04 	 9.401e-06 	 6.429e-07 	 1.927e-06 	 1.245e-07 
  24.37 	  201.09 	    4.58 	 1.037e-03 	 1.216e-04 	 9.137e-06 	 4.094e-07 	 1.914e-06 	 8.096e-08 
  26.19 	  201.18 	    4.72 	 9.542e-04 	 1.091e-04 	 8.890e-06 	 7.883e-07 	 1.884e-06 	 8.696e-08 
  28.01 	  202.45 	    4.84 	 9.947e-04 	 1.057e-04 	 9.475e-06 	 7.726e-07 	 1.964e-06 	 1.323e-07 
  30.71 	  208.35 	    5.00 	 1.092e-03 	 9.105e-05 	 9.473e-06 	 3.637e-07 	 2.041e-06 	 1.347e-07 
  33.40 	  216.22 	    5.27 	 1.025e-03 	 1.203e-04 	 9.473e-06 	 3.664e-07 	 2.012e-06 	 9.559e-08 
  35.21 	  220.78 	    5.39 	 9.992e-04 	 8.152e-05 	 9.882e-06 	 3.290e-07 	 2.018e-06 	 1.211e-07 
  37.03 	  225.43 	    5.36 	 1.018e-03 	 7.433e-05 	 9.611e-06 	 3.311e-07 	 1.931e-06 	 1.473e-07 
  38.83 	  228.59 	    5.28 	 1.007e-03 	 9.676e-05 	 9.215e-06 	 5.449e-07 	 1.890e-06 	 1.615e-07 
  40.64 	  228.00 	    5.39 	 9.889e-04 	 1.045e-04 	 9.289e-06 	 5.257e-07 	 1.947e-06 	 1.931e-07 
  42.44 	  224.23 	    5.37 	 9.867e-04 	 1.193e-04 	 9.530e-06 	 4.230e-07 	 1.992e-06 	 1.951e-07 
  44.24 	  219.22 	    5.16 	 9.916e-04 	 1.357e-04 	 9.524e-06 	 4.250e-07 	 1.991e-06 	 1.673e-07 
  46.04 	  213.95 	    4.75 	 9.972e-04 	 1.390e-04 	 9.583e-06 	 5.525e-07 	 1.999e-06 	 1.701e-07 
  47.84 	  209.25 	    4.26 	 1.014e-03 	 1.358e-04 	 9.618e-06 	 4.862e-07 	 2.019e-06 	 1.935e-07 
  49.63 	  205.05 	    4.19 	 1.015e-03 	 1.297e-04 	 9.835e-06 	 4.555e-07 	 2.044e-06 	 1.932e-07 
  51.42 	  200.61 	    3.94 	 1.025e-03 	 1.208e-04 	 9.814e-06 	 4.433e-07 	 2.036e-06 	 2.058e-07 
  53.22 	  196.54 	    3.49 	 1.008e-03 	 1.091e-04 	 9.904e-06 	 3.051e-07 	 2.042e-06 	 2.257e-07 
  55.01 	  192.76 	    3.32 	 1.019e-03 	 1.040e-04 	 1.007e-05 	 4.679e-07 	 2.044e-06 	 2.719e-07 
  56.79 	  188.89 	    3.31 	 1.046e-03 	 9.785e-05 	 9.668e-06 	 5.131e-07 	 2.001e-06 	 2.896e-07 
  58.57 	  184.92 	    3.28 	 1.004e-03 	 9.019e-05 	 9.820e-06 	 5.655e-07 	 2.008e-06 	 3.258e-07 
  60.35 	  181.44 	    3.33 	 1.002e-03 	 8.315e-05 	 1.020e-05 	 6.268e-07 	 2.022e-06 	 3.748e-07 
  62.13 	  180.52 	    3.23 	 1.011e-03 	 7.748e-05 	 1.004e-05 	 6.202e-07 	 2.005e-06 	 4.224e-07 
  63.91 	  180.67 	    3.05 	 1.027e-03 	 8.001e-05 	 9.975e-06 	 7.637e-07 	 2.025e-06 	 5.219e-07 
  65.68 	  179.31 	    3.07 	 1.019e-03 	 8.948e-05 	 1.002e-05 	 9.869e-07 	 2.091e-06 	 6.786e-07 
  67.45 	  176.47 	    3.25 	 1.003e-03 	 1.072e-04 	 1.019e-05 	 1.243e-06 	 2.232e-06 	 8.772e-07 
  69.22 	  173.28 	    3.52 	 1.017e-03 	 1.314e-04 	 1.049e-05 	 1.381e-06 	 2.413e-06 	 1.092e-06 
  71.84 	  168.51 	    3.98 	 1.023e-03 	 1.902e-04 	 1.084e-05 	 1.663e-06 	 2.491e-06 	 1.281e-06 
  74.45 	  162.68 	    4.50 	 1.018e-03 	 2.664e-04 	 1.086e-05 	 1.976e-06 	 2.470e-06 	 1.368e-06 
  76.21 	  158.09 	    4.70 	 1.001e-03 	 3.302e-04 	 1.076e-05 	 2.155e-06 	 2.530e-06 	 1.462e-06 
  77.97 	  153.10 	    4.71 	 9.440e-04 	 4.011e-04 	 1.085e-05 	 2.484e-06 	 2.607e-06 	 1.575e-06 
  80.59 	  144.97 	    4.46 	 9.165e-04 	 4.304e-04 	 1.153e-05 	 3.211e-06 	 2.802e-06 	 1.819e-06 
  84.06 	  132.04 	    3.78 	 9.859e-04 	 4.327e-04 	 1.334e-05 	 4.676e-06 	 3.492e-06 	 2.586e-06 
  86.67 	  120.81 	    4.09 	 1.075e-03 	 4.586e-04 	 1.485e-05 	 5.482e-06 	 4.439e-06 	 3.649e-06 
  88.41 	  115.03 	    5.07 	 1.102e-03 	 4.203e-04 	 1.495e-05 	 5.256e-06 	 3.994e-06 	 3.056e-06 
