Hareoid(km) 	 T(K) 	 Terr(K) 	 COvmr 	 COvmr_err 	 13COvmr 	 13COvmr_err 	 18COvmr 	 18COvmr_err 
   10.37 	  180.69 	    3.39 	 8.187e-04 	 2.192e-04 	 1.028e-05 	 1.889e-06 	 2.326e-06 	 2.071e-07 
  12.80 	  188.92 	    3.62 	 8.772e-04 	 2.463e-04 	 9.458e-06 	 1.405e-06 	 2.106e-06 	 2.059e-07 
  15.22 	  202.46 	    3.65 	 1.018e-03 	 2.681e-04 	 8.760e-06 	 9.609e-07 	 1.892e-06 	 1.725e-07 
  17.63 	  212.41 	    3.36 	 1.117e-03 	 2.316e-04 	 8.807e-06 	 6.759e-07 	 1.897e-06 	 1.492e-07 
  20.04 	  211.06 	    3.23 	 1.051e-03 	 1.735e-04 	 9.116e-06 	 6.164e-07 	 1.935e-06 	 1.630e-07 
  22.45 	  203.63 	    3.06 	 1.015e-03 	 1.749e-04 	 8.940e-06 	 5.762e-07 	 1.942e-06 	 1.684e-07 
  24.84 	  196.39 	    2.68 	 9.952e-04 	 1.716e-04 	 8.848e-06 	 5.653e-07 	 1.896e-06 	 1.062e-07 
  27.23 	  190.43 	    2.37 	 9.628e-04 	 1.508e-04 	 8.836e-06 	 6.376e-07 	 1.894e-06 	 1.282e-07 
  29.62 	  181.71 	    2.28 	 1.033e-03 	 1.806e-04 	 9.239e-06 	 8.650e-07 	 2.022e-06 	 2.895e-07 
  32.00 	  173.03 	    2.12 	 1.021e-03 	 1.653e-04 	 9.242e-06 	 8.341e-07 	 1.997e-06 	 2.715e-07 
  34.38 	  171.37 	    1.71 	 9.354e-04 	 1.289e-04 	 8.693e-06 	 5.264e-07 	 1.914e-06 	 1.644e-07 
  36.75 	  172.30 	    1.55 	 1.012e-03 	 8.905e-05 	 8.841e-06 	 5.129e-07 	 1.917e-06 	 1.149e-07 
  40.27 	  166.86 	    1.57 	 9.511e-04 	 9.324e-05 	 9.123e-06 	 4.525e-07 	 1.969e-06 	 1.248e-07 
  43.78 	  170.15 	    1.33 	 1.009e-03 	 8.350e-05 	 9.488e-06 	 4.488e-07 	 2.024e-06 	 2.136e-07 
  46.12 	  174.48 	    1.21 	 1.121e-03 	 6.674e-05 	 9.674e-06 	 5.228e-07 	 2.056e-06 	 2.654e-07 
  48.47 	  170.44 	    1.08 	 1.021e-03 	 9.870e-05 	 9.602e-06 	 6.477e-07 	 2.113e-06 	 3.163e-07 
  50.81 	  162.11 	    1.05 	 1.022e-03 	 1.046e-04 	 9.815e-06 	 7.790e-07 	 2.170e-06 	 3.353e-07 
  53.14 	  154.80 	    1.55 	 1.088e-03 	 1.399e-04 	 1.007e-05 	 6.641e-07 	 2.205e-06 	 3.874e-07 
  55.47 	  152.09 	    2.63 	 1.154e-03 	 1.621e-04 	 1.028e-05 	 7.319e-07 	 2.304e-06 	 5.076e-07 
  57.78 	  152.09 	    3.91 	 1.239e-03 	 1.576e-04 	 1.089e-05 	 9.381e-07 	 2.506e-06 	 6.513e-07 
  60.10 	  153.91 	    4.99 	 1.308e-03 	 1.725e-04 	 1.225e-05 	 1.050e-06 	 2.789e-06 	 8.198e-07 
  62.41 	  157.75 	    5.87 	 1.346e-03 	 2.198e-04 	 1.383e-05 	 1.424e-06 	 3.097e-06 	 1.061e-06 
  64.71 	  158.50 	    6.44 	 1.356e-03 	 2.853e-04 	 1.449e-05 	 1.853e-06 	 3.394e-06 	 1.368e-06 
  67.01 	  153.82 	    6.60 	 1.366e-03 	 3.255e-04 	 1.459e-05 	 2.184e-06 	 3.732e-06 	 1.717e-06 
  69.30 	  145.36 	    6.50 	 1.388e-03 	 3.834e-04 	 1.477e-05 	 2.543e-06 	 4.189e-06 	 2.117e-06 
  71.58 	  138.43 	    6.25 	 1.442e-03 	 5.025e-04 	 1.450e-05 	 3.002e-06 	 4.818e-06 	 2.639e-06 
  73.87 	  137.43 	    5.95 	 1.538e-03 	 6.629e-04 	 1.436e-05 	 3.703e-06 	 5.435e-06 	 3.135e-06 
  76.14 	  141.76 	    5.64 	 1.696e-03 	 8.617e-04 	 1.560e-05 	 4.842e-06 	 5.785e-06 	 3.345e-06 
  78.41 	  149.74 	    5.30 	 1.920e-03 	 1.078e-03 	 1.825e-05 	 6.846e-06 	 5.787e-06 	 3.239e-06 
  81.79 	  163.31 	    4.73 	 2.207e-03 	 1.307e-03 	 2.278e-05 	 1.087e-05 	 5.297e-06 	 2.696e-06 
  85.17 	  163.34 	    5.35 	 2.431e-03 	 1.342e-03 	 2.877e-05 	 1.759e-05 	 4.749e-06 	 2.160e-06 
  87.41 	  156.16 	    6.27 	 2.598e-03 	 1.374e-03 	 3.521e-05 	 2.581e-05 	 4.362e-06 	 1.797e-06 
  89.65 	  149.10 	    7.54 	 2.352e-03 	 1.187e-03 	 2.964e-05 	 2.072e-05 	 3.927e-06 	 1.393e-06 
