Hareoid(km) 	 T(K) 	 Terr(K) 	 COvmr 	 COvmr_err 	 13COvmr 	 13COvmr_err 	 18COvmr 	 18COvmr_err 
   16.71 	  173.64 	    2.36 	 1.010e-03 	 1.608e-04 	 9.720e-06 	 8.577e-07 	 2.169e-06 	 2.061e-07 
  19.38 	  170.38 	    2.36 	 1.015e-03 	 1.634e-04 	 9.892e-06 	 1.026e-06 	 2.398e-06 	 1.660e-07 
  22.03 	  167.81 	    2.28 	 9.771e-04 	 2.067e-04 	 9.805e-06 	 5.553e-07 	 2.238e-06 	 2.186e-07 
  24.68 	  164.61 	    2.11 	 8.943e-04 	 1.808e-04 	 9.723e-06 	 8.025e-07 	 2.152e-06 	 1.886e-07 
  28.63 	  160.77 	    1.75 	 9.113e-04 	 1.691e-04 	 1.009e-05 	 1.022e-06 	 2.297e-06 	 1.764e-07 
  32.56 	  160.20 	    2.22 	 9.606e-04 	 1.167e-04 	 1.036e-05 	 4.586e-07 	 2.268e-06 	 1.531e-07 
  35.18 	  160.18 	    2.05 	 1.040e-03 	 1.060e-04 	 1.136e-05 	 7.269e-07 	 2.533e-06 	 1.892e-07 
  37.78 	  160.40 	    1.34 	 1.354e-03 	 9.388e-05 	 1.483e-05 	 7.611e-07 	 3.157e-06 	 2.388e-07 
  40.37 	  161.10 	    1.18 	 1.401e-03 	 1.060e-04 	 1.544e-05 	 1.001e-06 	 3.245e-06 	 2.396e-07 
  42.96 	  161.32 	    1.46 	 1.345e-03 	 8.118e-05 	 1.460e-05 	 7.395e-07 	 3.187e-06 	 2.161e-07 
  45.54 	  160.29 	    1.61 	 1.552e-03 	 1.070e-04 	 1.701e-05 	 8.719e-07 	 3.660e-06 	 2.554e-07 
  48.11 	  159.78 	    1.71 	 1.720e-03 	 9.931e-05 	 1.910e-05 	 1.279e-06 	 3.993e-06 	 4.253e-07 
  50.67 	  161.32 	    1.66 	 1.643e-03 	 1.355e-04 	 1.766e-05 	 1.473e-06 	 3.986e-06 	 5.143e-07 
  54.48 	  167.01 	    1.90 	 2.237e-03 	 1.726e-04 	 2.230e-05 	 1.037e-06 	 4.774e-06 	 7.296e-07 
  58.28 	  168.93 	    2.42 	 2.616e-03 	 1.823e-04 	 2.719e-05 	 1.388e-06 	 5.535e-06 	 1.042e-06 
  60.80 	  171.64 	    2.73 	 2.415e-03 	 2.567e-04 	 2.598e-05 	 2.296e-06 	 5.819e-06 	 1.352e-06 
  64.57 	  178.24 	    3.32 	 2.826e-03 	 2.729e-04 	 2.670e-05 	 2.505e-06 	 6.052e-06 	 1.828e-06 
  68.31 	  179.34 	    4.29 	 2.947e-03 	 3.730e-04 	 2.823e-05 	 3.196e-06 	 6.327e-06 	 2.237e-06 
  70.80 	  175.91 	    4.94 	 3.093e-03 	 4.617e-04 	 2.952e-05 	 4.115e-06 	 6.727e-06 	 2.630e-06 
  73.28 	  172.38 	    5.35 	 3.207e-03 	 5.232e-04 	 3.012e-05 	 5.535e-06 	 7.236e-06 	 3.116e-06 
  75.75 	  169.42 	    5.57 	 3.129e-03 	 5.471e-04 	 3.038e-05 	 6.852e-06 	 7.983e-06 	 3.785e-06 
  78.22 	  164.61 	    5.56 	 3.261e-03 	 6.392e-04 	 3.193e-05 	 9.163e-06 	 8.929e-06 	 4.746e-06 
  80.67 	  160.90 	    5.30 	 3.497e-03 	 7.722e-04 	 3.541e-05 	 1.288e-05 	 1.012e-05 	 6.231e-06 
  83.11 	  157.88 	    4.86 	 4.454e-03 	 1.234e-03 	 4.206e-05 	 1.779e-05 	 1.122e-05 	 7.860e-06 
  85.55 	  154.54 	    4.34 	 6.930e-03 	 2.413e-03 	 5.211e-05 	 2.386e-05 	 1.108e-05 	 8.129e-06 
  87.97 	  151.12 	    5.34 	 7.027e-03 	 3.072e-03 	 4.984e-05 	 2.195e-05 	 9.026e-06 	 5.890e-06 
