Hareoid(km) 	 T(K) 	 Terr(K) 	 COvmr 	 COvmr_err 	 13COvmr 	 13COvmr_err 	 18COvmr 	 18COvmr_err 
   17.27 	  135.70 	    1.02 	 1.500e-03 	 2.089e-04 	 1.415e-05 	 1.993e-06 	 3.038e-06 	 2.181e-07 
  20.23 	  136.86 	    0.97 	 1.764e-03 	 3.584e-04 	 1.543e-05 	 1.997e-06 	 3.252e-06 	 2.705e-07 
  23.18 	  139.98 	    1.15 	 1.891e-03 	 3.305e-04 	 1.578e-05 	 1.606e-06 	 3.338e-06 	 2.326e-07 
  26.12 	  145.07 	    1.21 	 2.205e-03 	 3.071e-04 	 2.071e-05 	 2.082e-06 	 4.157e-06 	 2.626e-07 
  29.04 	  153.97 	    1.21 	 1.935e-03 	 2.218e-04 	 1.928e-05 	 1.732e-06 	 4.074e-06 	 3.075e-07 
  31.96 	  165.21 	    1.25 	 1.841e-03 	 1.819e-04 	 1.767e-05 	 8.790e-07 	 3.546e-06 	 2.260e-07 
  34.87 	  174.31 	    1.16 	 1.777e-03 	 1.568e-04 	 1.706e-05 	 1.292e-06 	 3.336e-06 	 2.849e-07 
  37.77 	  179.12 	    1.07 	 1.691e-03 	 1.478e-04 	 1.657e-05 	 7.823e-07 	 3.399e-06 	 3.932e-07 
  40.66 	  180.18 	    1.09 	 1.932e-03 	 1.478e-04 	 1.958e-05 	 1.066e-06 	 3.826e-06 	 5.744e-07 
  43.54 	  178.84 	    1.12 	 1.825e-03 	 1.519e-04 	 1.811e-05 	 1.259e-06 	 3.569e-06 	 6.563e-07 
  46.42 	  175.21 	    1.27 	 1.424e-03 	 1.379e-04 	 1.502e-05 	 1.059e-06 	 3.035e-06 	 6.899e-07 
  49.28 	  171.39 	    1.50 	 1.315e-03 	 1.345e-04 	 1.423e-05 	 1.170e-06 	 2.761e-06 	 7.559e-07 
  52.13 	  170.67 	    2.32 	 1.276e-03 	 1.580e-04 	 1.372e-05 	 1.366e-06 	 2.665e-06 	 8.409e-07 
  54.97 	  170.19 	    3.37 	 1.160e-03 	 1.681e-04 	 1.314e-05 	 1.658e-06 	 2.715e-06 	 9.599e-07 
  57.80 	  168.21 	    4.34 	 1.069e-03 	 1.871e-04 	 1.392e-05 	 2.104e-06 	 2.960e-06 	 1.114e-06 
  60.62 	  166.44 	    5.05 	 1.112e-03 	 2.267e-04 	 1.599e-05 	 2.658e-06 	 3.468e-06 	 1.397e-06 
  63.43 	  166.50 	    5.59 	 1.357e-03 	 2.719e-04 	 1.876e-05 	 3.300e-06 	 4.181e-06 	 1.830e-06 
  66.23 	  165.75 	    6.05 	 1.694e-03 	 3.444e-04 	 2.212e-05 	 4.164e-06 	 5.121e-06 	 2.495e-06 
  69.03 	  163.90 	    6.23 	 2.053e-03 	 4.596e-04 	 2.713e-05 	 6.088e-06 	 6.445e-06 	 3.652e-06 
  71.81 	  167.38 	    6.07 	 2.620e-03 	 5.895e-04 	 3.369e-05 	 8.498e-06 	 8.325e-06 	 5.791e-06 
  74.58 	  174.58 	    5.76 	 3.489e-03 	 7.087e-04 	 4.070e-05 	 1.132e-05 	 1.067e-05 	 9.068e-06 
  77.34 	  176.44 	    5.31 	 4.185e-03 	 8.927e-04 	 4.778e-05 	 1.471e-05 	 1.248e-05 	 1.202e-05 
  81.42 	  169.34 	    5.11 	 5.429e-03 	 1.667e-03 	 6.019e-05 	 2.311e-05 	 1.143e-05 	 1.159e-05 
  85.50 	  161.05 	    6.90 	 8.007e-03 	 3.515e-03 	 7.098e-05 	 3.604e-05 	 8.160e-06 	 7.619e-06 
  88.21 	  152.39 	    8.61 	 6.380e-03 	 3.119e-03 	 5.301e-05 	 2.562e-05 	 6.034e-06 	 4.758e-06 
