Hareoid(km) 	 T(K) 	 Terr(K) 	 COvmr 	 COvmr_err 	 13COvmr 	 13COvmr_err 	 18COvmr 	 18COvmr_err 
   11.14 	  157.00 	    1.12 	 9.687e-04 	 1.155e-04 	 1.031e-05 	 1.366e-06 	 1.946e-06 	 7.462e-08 
  14.38 	  156.11 	    0.78 	 1.151e-03 	 1.525e-04 	 1.109e-05 	 9.175e-07 	 2.198e-06 	 6.518e-08 
  17.60 	  158.60 	    1.07 	 1.366e-03 	 1.153e-04 	 1.371e-05 	 1.040e-06 	 2.644e-06 	 9.331e-08 
  20.81 	  158.69 	    1.55 	 1.412e-03 	 1.239e-04 	 1.332e-05 	 8.713e-07 	 2.700e-06 	 1.139e-07 
  24.01 	  161.23 	    1.21 	 1.436e-03 	 1.385e-04 	 1.403e-05 	 8.984e-07 	 2.885e-06 	 6.891e-08 
  27.20 	  166.90 	    1.16 	 1.238e-03 	 1.097e-04 	 1.325e-05 	 7.820e-07 	 2.783e-06 	 1.699e-07 
  30.37 	  173.06 	    1.30 	 1.299e-03 	 1.052e-04 	 1.214e-05 	 3.774e-07 	 2.595e-06 	 1.268e-07 
  33.54 	  175.70 	    0.98 	 1.365e-03 	 9.427e-05 	 1.352e-05 	 6.695e-07 	 2.784e-06 	 8.940e-08 
  36.69 	  177.75 	    0.67 	 1.168e-03 	 7.273e-05 	 1.254e-05 	 5.753e-07 	 2.716e-06 	 1.157e-07 
  39.83 	  184.71 	    0.66 	 1.300e-03 	 8.704e-05 	 1.292e-05 	 5.171e-07 	 2.746e-06 	 1.282e-07 
  42.95 	  189.61 	    0.99 	 1.377e-03 	 1.025e-04 	 1.368e-05 	 5.454e-07 	 2.895e-06 	 1.706e-07 
  46.07 	  191.07 	    0.81 	 1.353e-03 	 1.173e-04 	 1.370e-05 	 5.003e-07 	 3.015e-06 	 1.849e-07 
  49.17 	  192.33 	    0.89 	 1.492e-03 	 1.332e-04 	 1.523e-05 	 7.302e-07 	 3.231e-06 	 2.213e-07 
  52.26 	  192.75 	    1.05 	 1.560e-03 	 1.353e-04 	 1.594e-05 	 9.093e-07 	 3.325e-06 	 3.003e-07 
  55.34 	  191.82 	    1.00 	 1.555e-03 	 1.337e-04 	 1.620e-05 	 1.100e-06 	 3.423e-06 	 3.679e-07 
  58.41 	  188.74 	    1.48 	 1.561e-03 	 1.096e-04 	 1.639e-05 	 1.338e-06 	 3.498e-06 	 5.063e-07 
  61.47 	  184.59 	    2.15 	 1.522e-03 	 1.079e-04 	 1.585e-05 	 1.898e-06 	 3.498e-06 	 7.209e-07 
  64.51 	  180.50 	    2.67 	 1.446e-03 	 1.594e-04 	 1.474e-05 	 2.377e-06 	 3.568e-06 	 9.310e-07 
  67.54 	  175.65 	    3.42 	 1.331e-03 	 1.709e-04 	 1.450e-05 	 2.983e-06 	 3.783e-06 	 1.218e-06 
  70.56 	  172.59 	    4.17 	 1.243e-03 	 1.680e-04 	 1.546e-05 	 3.899e-06 	 4.167e-06 	 1.643e-06 
  73.56 	  171.02 	    4.71 	 1.323e-03 	 1.996e-04 	 1.690e-05 	 5.124e-06 	 4.794e-06 	 2.235e-06 
  76.56 	  172.32 	    5.06 	 1.543e-03 	 2.586e-04 	 1.951e-05 	 6.872e-06 	 5.616e-06 	 2.948e-06 
  79.54 	  172.74 	    5.19 	 1.943e-03 	 3.638e-04 	 2.461e-05 	 9.803e-06 	 6.475e-06 	 3.643e-06 
  82.51 	  172.82 	    5.06 	 2.771e-03 	 6.535e-04 	 3.363e-05 	 1.540e-05 	 7.033e-06 	 4.114e-06 
  85.47 	  173.19 	    4.63 	 4.491e-03 	 1.207e-03 	 4.806e-05 	 2.693e-05 	 6.804e-06 	 4.047e-06 
  88.42 	  172.23 	    4.32 	 4.816e-03 	 1.712e-03 	 4.432e-05 	 2.596e-05 	 5.604e-06 	 2.977e-06 
