Hareoid(km) 	 T(K) 	 Terr(K) 	 COvmr 	 COvmr_err 	 13COvmr 	 13COvmr_err 	 18COvmr 	 18COvmr_err 
   20.57 	  151.25 	    1.78 	 1.189e-03 	 1.392e-04 	 9.479e-06 	 6.200e-07 	 2.021e-06 	 1.253e-07 
  22.81 	  153.08 	    2.18 	 1.292e-03 	 1.519e-04 	 1.092e-05 	 1.093e-06 	 2.252e-06 	 1.345e-07 
  25.05 	  156.20 	    2.50 	 1.388e-03 	 1.632e-04 	 1.108e-05 	 1.201e-06 	 2.501e-06 	 2.356e-07 
  27.28 	  162.16 	    2.36 	 1.445e-03 	 1.637e-04 	 1.115e-05 	 7.867e-07 	 2.497e-06 	 1.522e-07 
  30.59 	  168.38 	    2.47 	 1.346e-03 	 1.193e-04 	 1.168e-05 	 7.054e-07 	 2.402e-06 	 1.453e-07 
  33.89 	  176.84 	    2.65 	 1.305e-03 	 8.583e-05 	 1.112e-05 	 6.447e-07 	 2.353e-06 	 1.814e-07 
  36.09 	  182.76 	    2.58 	 1.378e-03 	 1.011e-04 	 1.149e-05 	 6.258e-07 	 2.439e-06 	 1.782e-07 
  38.30 	  183.55 	    2.22 	 1.296e-03 	 1.296e-04 	 1.187e-05 	 5.216e-07 	 2.555e-06 	 1.545e-07 
  40.50 	  181.34 	    1.91 	 1.189e-03 	 1.459e-04 	 1.225e-05 	 4.262e-07 	 2.653e-06 	 2.255e-07 
  42.69 	  180.30 	    1.88 	 1.264e-03 	 1.554e-04 	 1.251e-05 	 5.685e-07 	 2.673e-06 	 2.591e-07 
  44.88 	  177.75 	    1.87 	 1.302e-03 	 1.745e-04 	 1.274e-05 	 8.403e-07 	 2.682e-06 	 2.520e-07 
  47.06 	  172.00 	    1.87 	 1.277e-03 	 1.497e-04 	 1.272e-05 	 8.307e-07 	 2.681e-06 	 3.176e-07 
  49.24 	  165.93 	    2.22 	 1.295e-03 	 1.487e-04 	 1.280e-05 	 6.287e-07 	 2.670e-06 	 3.990e-07 
  51.41 	  159.24 	    2.88 	 1.275e-03 	 1.841e-04 	 1.294e-05 	 7.694e-07 	 2.700e-06 	 4.762e-07 
  53.57 	  151.46 	    3.68 	 1.232e-03 	 2.163e-04 	 1.295e-05 	 9.361e-07 	 2.722e-06 	 5.702e-07 
  55.73 	  144.11 	    4.47 	 1.194e-03 	 2.796e-04 	 1.315e-05 	 1.117e-06 	 2.738e-06 	 6.718e-07 
  57.88 	  137.23 	    5.05 	 1.213e-03 	 3.554e-04 	 1.347e-05 	 1.273e-06 	 2.749e-06 	 7.671e-07 
  60.03 	  133.06 	    5.34 	 1.289e-03 	 4.713e-04 	 1.410e-05 	 1.402e-06 	 2.814e-06 	 9.205e-07 
  62.17 	  128.42 	    5.34 	 1.407e-03 	 6.773e-04 	 1.457e-05 	 1.591e-06 	 3.016e-06 	 1.165e-06 
  64.31 	  123.88 	    5.11 	 1.570e-03 	 9.692e-04 	 1.467e-05 	 1.818e-06 	 3.317e-06 	 1.451e-06 
  66.44 	  121.41 	    4.77 	 1.807e-03 	 1.329e-03 	 1.499e-05 	 2.066e-06 	 3.714e-06 	 1.756e-06 
  68.56 	  120.30 	    4.40 	 2.065e-03 	 1.625e-03 	 1.560e-05 	 2.489e-06 	 4.294e-06 	 2.176e-06 
  70.68 	  121.25 	    4.82 	 2.316e-03 	 1.780e-03 	 1.675e-05 	 3.704e-06 	 5.039e-06 	 2.704e-06 
  72.80 	  121.96 	    5.72 	 2.553e-03 	 1.771e-03 	 1.859e-05 	 5.360e-06 	 5.836e-06 	 3.361e-06 
  74.90 	  124.67 	    6.73 	 2.895e-03 	 1.668e-03 	 2.140e-05 	 7.336e-06 	 6.892e-06 	 4.548e-06 
  77.00 	  132.77 	    7.88 	 3.404e-03 	 1.572e-03 	 2.557e-05 	 9.908e-06 	 8.505e-06 	 6.740e-06 
  79.09 	  136.20 	    9.23 	 3.924e-03 	 1.621e-03 	 3.153e-05 	 1.459e-05 	 1.076e-05 	 1.037e-05 
  81.19 	  131.02 	   10.93 	 4.181e-03 	 1.770e-03 	 3.948e-05 	 2.258e-05 	 1.402e-05 	 1.612e-05 
  83.27 	  125.63 	   13.08 	 4.038e-03 	 1.787e-03 	 4.858e-05 	 3.304e-05 	 1.909e-05 	 2.560e-05 
  85.34 	  122.58 	   15.82 	 3.593e-03 	 1.602e-03 	 5.698e-05 	 4.329e-05 	 2.303e-05 	 3.392e-05 
  87.41 	  118.94 	   19.23 	 3.064e-03 	 1.275e-03 	 5.852e-05 	 4.558e-05 	 1.948e-05 	 2.868e-05 
  89.48 	  115.01 	   23.45 	 2.564e-03 	 9.181e-04 	 4.496e-05 	 3.108e-05 	 1.150e-05 	 1.444e-05 
