Hareoid(km) 	 T(K) 	 Terr(K) 	 COvmr 	 COvmr_err 	 13COvmr 	 13COvmr_err 	 18COvmr 	 18COvmr_err 
   22.78 	  192.69 	    1.30 	 9.465e-04 	 1.013e-04 	 9.086e-06 	 9.208e-07 	 2.088e-06 	 2.427e-07 
  24.74 	  185.05 	    1.40 	 1.009e-03 	 1.001e-04 	 9.286e-06 	 7.224e-07 	 2.108e-06 	 2.376e-07 
  26.69 	  183.53 	    1.53 	 1.055e-03 	 7.354e-05 	 9.667e-06 	 6.195e-07 	 2.125e-06 	 2.575e-07 
  28.64 	  182.47 	    1.57 	 1.113e-03 	 9.669e-05 	 1.001e-05 	 6.340e-07 	 2.176e-06 	 2.610e-07 
  30.58 	  180.72 	    1.56 	 1.108e-03 	 1.058e-04 	 9.977e-06 	 4.622e-07 	 2.211e-06 	 2.377e-07 
  32.52 	  178.52 	    1.50 	 1.064e-03 	 7.240e-05 	 9.672e-06 	 6.657e-07 	 2.230e-06 	 1.981e-07 
  34.46 	  176.91 	    1.39 	 1.079e-03 	 7.072e-05 	 9.988e-06 	 8.082e-07 	 2.332e-06 	 3.131e-07 
  36.39 	  177.30 	    1.51 	 1.069e-03 	 5.351e-05 	 1.026e-05 	 6.510e-07 	 2.472e-06 	 4.469e-07 
  38.32 	  179.82 	    1.64 	 1.063e-03 	 7.663e-05 	 1.010e-05 	 5.395e-07 	 2.564e-06 	 4.618e-07 
  40.25 	  181.86 	    1.58 	 1.140e-03 	 1.165e-04 	 1.001e-05 	 4.765e-07 	 2.395e-06 	 3.968e-07 
  42.17 	  180.15 	    1.32 	 1.168e-03 	 7.886e-05 	 1.019e-05 	 4.275e-07 	 2.234e-06 	 2.715e-07 
  44.10 	  175.47 	    1.44 	 1.084e-03 	 9.826e-05 	 1.043e-05 	 4.229e-07 	 2.277e-06 	 2.202e-07 
  46.94 	  168.95 	    1.25 	 1.128e-03 	 6.475e-05 	 1.087e-05 	 5.196e-07 	 2.373e-06 	 2.358e-07 
  52.61 	  161.87 	    1.43 	 1.158e-03 	 8.091e-05 	 1.071e-05 	 5.802e-07 	 2.401e-06 	 3.172e-07 
  57.34 	  155.71 	    1.55 	 1.083e-03 	 1.433e-04 	 1.043e-05 	 9.152e-07 	 2.420e-06 	 5.380e-07 
  59.23 	  154.24 	    1.96 	 1.149e-03 	 1.754e-04 	 1.091e-05 	 1.100e-06 	 2.532e-06 	 7.382e-07 
  61.12 	  152.48 	    2.34 	 1.144e-03 	 2.229e-04 	 1.121e-05 	 1.247e-06 	 2.651e-06 	 1.034e-06 
  63.00 	  149.92 	    2.78 	 1.119e-03 	 2.524e-04 	 1.133e-05 	 1.402e-06 	 2.794e-06 	 1.312e-06 
  64.88 	  146.66 	    3.36 	 1.106e-03 	 2.547e-04 	 1.115e-05 	 1.448e-06 	 2.949e-06 	 1.501e-06 
  67.66 	  142.65 	    4.04 	 1.131e-03 	 2.833e-04 	 1.124e-05 	 1.800e-06 	 3.326e-06 	 1.847e-06 
  70.43 	  143.70 	    4.69 	 1.186e-03 	 3.711e-04 	 1.204e-05 	 2.688e-06 	 4.137e-06 	 2.606e-06 
  72.30 	  145.71 	    5.17 	 1.248e-03 	 4.470e-04 	 1.275e-05 	 3.152e-06 	 5.004e-06 	 3.349e-06 
  74.16 	  145.63 	    5.51 	 1.318e-03 	 5.532e-04 	 1.353e-05 	 3.663e-06 	 6.079e-06 	 4.234e-06 
  76.93 	  141.82 	    5.65 	 1.405e-03 	 6.989e-04 	 1.485e-05 	 4.638e-06 	 7.993e-06 	 5.772e-06 
  79.69 	  138.20 	    5.52 	 1.507e-03 	 7.892e-04 	 1.706e-05 	 6.252e-06 	 1.071e-05 	 7.886e-06 
  81.54 	  137.07 	    5.34 	 1.600e-03 	 7.935e-04 	 1.937e-05 	 7.762e-06 	 1.336e-05 	 9.884e-06 
  83.37 	  135.30 	    5.03 	 1.718e-03 	 7.841e-04 	 2.237e-05 	 9.856e-06 	 1.640e-05 	 1.251e-05 
  85.21 	  132.81 	    5.79 	 1.836e-03 	 7.688e-04 	 2.683e-05 	 1.290e-05 	 1.904e-05 	 1.519e-05 
  87.04 	  130.43 	    6.87 	 1.906e-03 	 7.267e-04 	 3.236e-05 	 1.686e-05 	 1.901e-05 	 1.576e-05 
  88.86 	  128.07 	    8.25 	 1.899e-03 	 6.391e-04 	 3.115e-05 	 1.596e-05 	 1.452e-05 	 1.137e-05 
