Hareoid(km) 	 T(K) 	 Terr(K) 	 COvmr 	 COvmr_err 	 13COvmr 	 13COvmr_err 	 18COvmr 	 18COvmr_err 
   19.17 	  142.56 	    1.66 	 1.412e-03 	 1.975e-04 	 1.243e-05 	 7.415e-07 	 2.427e-06 	 1.808e-07 
  28.40 	  160.83 	    1.82 	 1.338e-03 	 1.751e-04 	 9.414e-06 	 1.479e-06 	 1.999e-06 	 2.238e-07 
  36.08 	  173.70 	    1.51 	 1.134e-03 	 8.889e-05 	 9.984e-06 	 6.043e-07 	 2.072e-06 	 2.485e-07 
  39.16 	  176.76 	    1.56 	 1.141e-03 	 7.020e-05 	 1.030e-05 	 4.767e-07 	 2.216e-06 	 3.688e-07 
  42.23 	  179.63 	    1.55 	 1.073e-03 	 1.101e-04 	 1.014e-05 	 6.407e-07 	 2.217e-06 	 4.892e-07 
  45.29 	  181.91 	    1.24 	 1.126e-03 	 9.468e-05 	 1.018e-05 	 5.567e-07 	 2.221e-06 	 6.042e-07 
  48.34 	  179.80 	    1.16 	 1.259e-03 	 1.294e-04 	 1.051e-05 	 6.419e-07 	 2.259e-06 	 7.328e-07 
  51.38 	  172.42 	    1.38 	 1.194e-03 	 2.220e-04 	 1.049e-05 	 7.712e-07 	 2.225e-06 	 8.197e-07 
  54.40 	  161.43 	    2.13 	 9.894e-04 	 2.083e-04 	 9.707e-06 	 8.179e-07 	 2.097e-06 	 7.869e-07 
  58.87 	  153.13 	    2.57 	 8.787e-04 	 1.850e-04 	 9.197e-06 	 7.998e-07 	 2.173e-06 	 7.863e-07 
  67.66 	  149.56 	    4.31 	 3.615e-03 	 6.088e-04 	 3.175e-05 	 4.520e-06 	 9.368e-06 	 3.461e-06 
  74.95 	  141.55 	    7.54 	 4.407e-03 	 1.752e-03 	 2.929e-05 	 8.507e-06 	 7.821e-06 	 3.804e-06 
  79.34 	  133.00 	   10.59 	 5.583e-03 	 2.722e-03 	 3.155e-05 	 1.021e-05 	 6.337e-06 	 3.211e-06 
  83.71 	  124.71 	   15.50 	 5.570e-03 	 2.793e-03 	 3.497e-05 	 1.451e-05 	 4.745e-06 	 2.091e-06 
  86.61 	  129.35 	   19.96 	 4.885e-03 	 2.366e-03 	 3.380e-05 	 1.531e-05 	 4.015e-06 	 1.589e-06 
  89.50 	  136.78 	   25.46 	 3.583e-03 	 1.473e-03 	 2.670e-05 	 1.004e-05 	 3.449e-06 	 1.807e-06 
