Hareoid(km) 	 T(K) 	 Terr(K) 	 COvmr 	 COvmr_err 	 13COvmr 	 13COvmr_err 	 18COvmr 	 18COvmr_err 
   12.40 	  180.69 	    3.60 	 9.319e-04 	 1.377e-04 	 8.079e-06 	 5.738e-07 	 1.756e-06 	 1.033e-07 
  14.69 	  181.67 	    3.47 	 1.027e-03 	 1.349e-04 	 8.569e-06 	 6.837e-07 	 1.841e-06 	 1.486e-07 
  16.98 	  183.80 	    2.80 	 9.880e-04 	 8.411e-05 	 8.769e-06 	 3.815e-07 	 1.839e-06 	 9.016e-08 
  20.40 	  188.65 	    2.46 	 9.271e-04 	 7.500e-05 	 8.916e-06 	 3.117e-07 	 1.865e-06 	 6.322e-08 
  23.81 	  193.87 	    2.47 	 1.006e-03 	 1.223e-04 	 8.727e-06 	 3.117e-07 	 1.891e-06 	 1.323e-07 
  26.07 	  192.93 	    2.01 	 9.793e-04 	 1.214e-04 	 9.109e-06 	 3.535e-07 	 1.975e-06 	 1.904e-07 
  28.34 	  193.08 	    2.06 	 9.743e-04 	 1.184e-04 	 9.027e-06 	 4.744e-07 	 2.037e-06 	 2.508e-07 
  30.60 	  192.13 	    2.23 	 1.003e-03 	 1.206e-04 	 8.929e-06 	 4.323e-07 	 2.026e-06 	 1.975e-07 
  32.86 	  186.61 	    1.62 	 9.588e-04 	 1.040e-04 	 8.998e-06 	 2.924e-07 	 1.989e-06 	 1.183e-07 
  35.10 	  181.29 	    1.37 	 9.362e-04 	 8.722e-05 	 8.832e-06 	 3.705e-07 	 1.971e-06 	 2.144e-07 
  37.35 	  176.42 	    1.44 	 9.125e-04 	 7.660e-05 	 8.716e-06 	 2.915e-07 	 1.916e-06 	 1.867e-07 
  39.58 	  171.40 	    1.31 	 9.483e-04 	 7.016e-05 	 8.742e-06 	 3.461e-07 	 1.843e-06 	 2.357e-07 
  41.82 	  167.26 	    1.09 	 1.018e-03 	 7.109e-05 	 8.997e-06 	 5.711e-07 	 1.951e-06 	 3.639e-07 
  44.04 	  160.66 	    1.07 	 8.804e-04 	 8.755e-05 	 9.126e-06 	 8.354e-07 	 2.174e-06 	 5.013e-07 
  46.27 	  153.68 	    1.44 	 8.592e-04 	 8.232e-05 	 8.866e-06 	 4.504e-07 	 2.234e-06 	 5.492e-07 
  49.60 	  147.51 	    2.51 	 9.393e-04 	 5.995e-05 	 8.921e-06 	 8.737e-07 	 2.045e-06 	 4.112e-07 
  52.91 	  145.51 	    2.58 	 8.832e-04 	 9.543e-05 	 8.942e-06 	 9.346e-07 	 2.018e-06 	 3.812e-07 
  55.11 	  147.36 	    1.63 	 9.317e-04 	 7.014e-05 	 9.064e-06 	 6.927e-07 	 2.138e-06 	 3.615e-07 
  57.31 	  150.20 	    1.56 	 9.873e-04 	 8.009e-05 	 9.387e-06 	 5.205e-07 	 2.370e-06 	 4.520e-07 
  59.51 	  152.08 	    2.04 	 9.941e-04 	 7.196e-05 	 1.033e-05 	 6.998e-07 	 2.664e-06 	 5.616e-07 
  61.69 	  153.88 	    2.74 	 1.125e-03 	 1.095e-04 	 1.221e-05 	 1.405e-06 	 2.952e-06 	 6.674e-07 
  63.87 	  156.98 	    3.84 	 1.254e-03 	 1.328e-04 	 1.372e-05 	 1.832e-06 	 3.145e-06 	 7.602e-07 
  66.05 	  159.17 	    5.04 	 1.254e-03 	 1.426e-04 	 1.404e-05 	 1.749e-06 	 3.326e-06 	 8.497e-07 
  69.27 	  153.66 	    6.40 	 1.255e-03 	 2.117e-04 	 1.406e-05 	 1.977e-06 	 4.026e-06 	 1.179e-06 
  72.48 	  155.71 	    7.40 	 1.335e-03 	 2.705e-04 	 1.425e-05 	 2.578e-06 	 4.932e-06 	 1.650e-06 
  74.63 	  166.05 	    7.80 	 1.606e-03 	 2.847e-04 	 1.636e-05 	 3.246e-06 	 5.788e-06 	 2.041e-06 
  76.78 	  175.30 	    7.93 	 1.995e-03 	 3.145e-04 	 1.949e-05 	 3.955e-06 	 6.981e-06 	 2.706e-06 
  78.93 	  180.67 	    7.91 	 2.362e-03 	 4.324e-04 	 2.286e-05 	 5.248e-06 	 8.744e-06 	 3.870e-06 
  81.07 	  181.72 	    7.76 	 2.605e-03 	 5.501e-04 	 2.679e-05 	 7.600e-06 	 1.083e-05 	 5.391e-06 
  83.20 	  178.12 	    7.53 	 2.561e-03 	 6.251e-04 	 3.171e-05 	 1.154e-05 	 1.298e-05 	 6.969e-06 
  85.33 	  171.51 	    7.14 	 2.340e-03 	 6.306e-04 	 3.798e-05 	 1.731e-05 	 1.448e-05 	 8.198e-06 
  87.46 	  164.84 	    6.51 	 2.132e-03 	 6.359e-04 	 4.570e-05 	 2.427e-05 	 1.406e-05 	 8.245e-06 
  89.58 	  158.91 	    5.66 	 1.916e-03 	 5.494e-04 	 4.118e-05 	 2.351e-05 	 1.112e-05 	 6.244e-06 
