Hareoid(km) 	 T(K) 	 Terr(K) 	 COvmr 	 COvmr_err 	 13COvmr 	 13COvmr_err 	 18COvmr 	 18COvmr_err 
   22.83 	  177.59 	    2.99 	 7.828e-04 	 1.089e-04 	 8.641e-06 	 5.007e-07 	 1.863e-06 	 1.063e-07 
  25.68 	  187.35 	    3.27 	 9.293e-04 	 1.175e-04 	 8.612e-06 	 2.015e-07 	 1.888e-06 	 1.181e-07 
  28.51 	  195.82 	    3.29 	 1.013e-03 	 1.146e-04 	 8.689e-06 	 3.934e-07 	 1.933e-06 	 1.850e-07 
  31.34 	  193.52 	    3.10 	 9.511e-04 	 1.081e-04 	 8.647e-06 	 3.473e-07 	 1.966e-06 	 2.616e-07 
  34.15 	  184.92 	    2.42 	 9.386e-04 	 1.300e-04 	 8.984e-06 	 4.129e-07 	 1.998e-06 	 2.834e-07 
  36.96 	  177.98 	    2.15 	 1.016e-03 	 8.423e-05 	 8.879e-06 	 5.219e-07 	 2.037e-06 	 2.214e-07 
  39.76 	  175.90 	    2.20 	 9.424e-04 	 1.022e-04 	 8.687e-06 	 3.964e-07 	 2.009e-06 	 2.833e-07 
  42.55 	  176.15 	    2.29 	 8.872e-04 	 1.140e-04 	 8.196e-06 	 3.978e-07 	 1.802e-06 	 1.733e-07 
  45.34 	  173.05 	    2.09 	 9.778e-04 	 5.756e-05 	 8.612e-06 	 4.825e-07 	 1.772e-06 	 1.755e-07 
  50.81 	  166.86 	    1.08 	 8.641e-04 	 5.229e-05 	 9.121e-06 	 6.481e-07 	 1.848e-06 	 2.049e-07 
  56.26 	  156.23 	    1.48 	 8.595e-04 	 4.266e-05 	 8.686e-06 	 6.601e-07 	 1.899e-06 	 3.275e-07 
  59.00 	  148.98 	    1.93 	 9.829e-04 	 4.771e-05 	 9.701e-06 	 8.928e-07 	 2.112e-06 	 4.379e-07 
  61.72 	  146.99 	    2.49 	 1.013e-03 	 8.805e-05 	 1.144e-05 	 1.239e-06 	 2.472e-06 	 5.829e-07 
  64.44 	  157.85 	    3.06 	 1.259e-03 	 1.765e-04 	 1.353e-05 	 1.996e-06 	 2.832e-06 	 7.232e-07 
  68.49 	  195.15 	    3.37 	 2.082e-03 	 1.154e-04 	 1.632e-05 	 3.215e-06 	 3.158e-06 	 9.070e-07 
  73.82 	  207.78 	    3.21 	 2.224e-03 	 2.514e-04 	 1.897e-05 	 4.589e-06 	 3.525e-06 	 1.379e-06 
  77.80 	  194.95 	    2.97 	 1.932e-03 	 2.616e-04 	 2.023e-05 	 5.757e-06 	 3.986e-06 	 2.114e-06 
  80.47 	  184.59 	    2.77 	 1.974e-03 	 3.145e-04 	 2.069e-05 	 6.246e-06 	 4.164e-06 	 2.464e-06 
  83.12 	  172.80 	    2.70 	 2.134e-03 	 4.351e-04 	 2.151e-05 	 7.037e-06 	 3.978e-06 	 2.354e-06 
  85.77 	  161.19 	    3.33 	 2.422e-03 	 7.128e-04 	 2.230e-05 	 8.286e-06 	 3.616e-06 	 2.005e-06 
  88.40 	  151.08 	    4.25 	 2.219e-03 	 7.586e-04 	 2.006e-05 	 7.273e-06 	 3.157e-06 	 1.438e-06 
