Hareoid(km) 	 T(K) 	 Terr(K) 	 COvmr 	 COvmr_err 	 13COvmr 	 13COvmr_err 	 18COvmr 	 18COvmr_err 
   13.46 	  204.01 	    1.17 	 9.419e-04 	 2.438e-04 	 8.539e-06 	 9.244e-07 	 1.848e-06 	 2.351e-07 
  15.59 	  202.66 	    0.86 	 9.267e-04 	 2.344e-04 	 8.405e-06 	 1.016e-06 	 1.810e-06 	 2.094e-07 
  17.72 	  199.15 	    0.66 	 9.156e-04 	 2.123e-04 	 8.468e-06 	 1.084e-06 	 1.800e-06 	 1.917e-07 
  19.84 	  196.23 	    0.57 	 9.687e-04 	 2.094e-04 	 8.863e-06 	 1.059e-06 	 1.894e-06 	 2.039e-07 
  21.97 	  195.28 	    0.58 	 1.039e-03 	 2.480e-04 	 8.760e-06 	 9.066e-07 	 1.887e-06 	 1.793e-07 
  24.08 	  194.87 	    0.59 	 9.688e-04 	 2.166e-04 	 8.364e-06 	 6.870e-07 	 1.853e-06 	 2.143e-07 
  26.20 	  194.02 	    0.57 	 8.976e-04 	 1.844e-04 	 8.656e-06 	 5.770e-07 	 1.899e-06 	 1.798e-07 
  29.36 	  190.15 	    0.59 	 8.767e-04 	 1.581e-04 	 8.977e-06 	 5.818e-07 	 1.970e-06 	 1.872e-07 
  32.51 	  185.10 	    0.51 	 8.810e-04 	 1.287e-04 	 8.904e-06 	 5.156e-07 	 2.006e-06 	 2.525e-07 
  34.61 	  182.23 	    0.48 	 9.188e-04 	 1.665e-04 	 8.869e-06 	 7.118e-07 	 2.029e-06 	 3.517e-07 
  36.71 	  178.14 	    0.54 	 9.127e-04 	 1.318e-04 	 8.860e-06 	 9.281e-07 	 1.999e-06 	 3.400e-07 
  39.84 	  171.31 	    0.60 	 8.644e-04 	 7.056e-05 	 9.133e-06 	 4.898e-07 	 2.095e-06 	 3.032e-07 
  43.97 	  166.78 	    0.77 	 8.818e-04 	 1.312e-04 	 8.841e-06 	 8.579e-07 	 2.009e-06 	 3.241e-07 
  47.05 	  160.89 	    0.82 	 9.763e-04 	 1.897e-04 	 8.987e-06 	 1.121e-06 	 1.879e-06 	 3.878e-07 
  50.11 	  152.63 	    0.93 	 9.228e-04 	 1.819e-04 	 9.233e-06 	 1.276e-06 	 1.881e-06 	 5.122e-07 
  54.20 	  150.27 	    2.34 	 8.392e-04 	 1.337e-04 	 8.459e-06 	 1.285e-06 	 1.820e-06 	 4.457e-07 
  57.28 	  149.41 	    3.12 	 8.776e-04 	 9.420e-05 	 8.721e-06 	 6.176e-07 	 1.867e-06 	 4.460e-07 
  59.33 	  147.68 	    3.87 	 9.258e-04 	 1.165e-04 	 9.423e-06 	 5.114e-07 	 1.979e-06 	 5.282e-07 
  61.37 	  145.70 	    4.69 	 9.478e-04 	 1.672e-04 	 9.924e-06 	 7.434e-07 	 2.163e-06 	 6.592e-07 
  63.42 	  144.85 	    5.58 	 9.710e-04 	 2.258e-04 	 1.060e-05 	 9.817e-07 	 2.448e-06 	 8.618e-07 
  65.46 	  143.39 	    6.28 	 1.033e-03 	 2.679e-04 	 1.144e-05 	 1.050e-06 	 2.766e-06 	 1.090e-06 
  67.49 	  141.18 	    6.73 	 1.157e-03 	 3.354e-04 	 1.272e-05 	 1.237e-06 	 3.144e-06 	 1.353e-06 
  71.53 	  134.17 	    7.11 	 1.340e-03 	 4.571e-04 	 1.406e-05 	 1.796e-06 	 3.873e-06 	 1.803e-06 
  75.56 	  144.46 	    7.29 	 1.532e-03 	 5.862e-04 	 1.612e-05 	 3.751e-06 	 5.268e-06 	 2.459e-06 
  77.57 	  153.13 	    7.37 	 1.663e-03 	 5.569e-04 	 1.807e-05 	 4.616e-06 	 6.303e-06 	 2.970e-06 
  79.58 	  160.87 	    7.29 	 1.867e-03 	 4.943e-04 	 2.101e-05 	 5.499e-06 	 7.435e-06 	 3.660e-06 
  82.57 	  164.36 	    6.81 	 2.185e-03 	 4.439e-04 	 2.549e-05 	 7.080e-06 	 8.935e-06 	 4.870e-06 
  85.55 	  159.93 	    6.01 	 2.612e-03 	 6.574e-04 	 3.001e-05 	 9.824e-06 	 9.764e-06 	 5.792e-06 
  87.54 	  155.56 	    5.38 	 2.854e-03 	 8.474e-04 	 3.278e-05 	 1.260e-05 	 9.470e-06 	 5.616e-06 
  89.52 	  151.32 	    5.95 	 2.677e-03 	 7.524e-04 	 3.098e-05 	 1.172e-05 	 8.195e-06 	 4.436e-06 
