Hareoid(km) 	 T(K) 	 Terr(K) 	 COvmr 	 COvmr_err 	 13COvmr 	 13COvmr_err 	 18COvmr 	 18COvmr_err 
   19.81 	  182.23 	    2.41 	 9.918e-04 	 2.750e-04 	 7.783e-06 	 8.765e-07 	 1.682e-06 	 1.418e-07 
  21.94 	  182.15 	    2.33 	 1.037e-03 	 2.833e-04 	 7.577e-06 	 7.778e-07 	 1.694e-06 	 1.516e-07 
  24.08 	  184.92 	    2.03 	 1.088e-03 	 2.896e-04 	 7.982e-06 	 8.354e-07 	 1.798e-06 	 2.265e-07 
  26.21 	  187.75 	    2.14 	 1.094e-03 	 2.786e-04 	 8.231e-06 	 8.397e-07 	 1.902e-06 	 3.275e-07 
  28.33 	  188.08 	    2.37 	 1.081e-03 	 2.724e-04 	 8.244e-06 	 8.349e-07 	 1.922e-06 	 3.145e-07 
  30.45 	  187.86 	    2.14 	 1.029e-03 	 2.135e-04 	 8.203e-06 	 7.285e-07 	 1.814e-06 	 2.420e-07 
  32.57 	  187.20 	    1.82 	 9.980e-04 	 1.713e-04 	 8.343e-06 	 6.548e-07 	 1.765e-06 	 2.064e-07 
  34.69 	  186.25 	    1.69 	 1.039e-03 	 1.993e-04 	 8.336e-06 	 8.722e-07 	 1.851e-06 	 2.901e-07 
  36.80 	  183.57 	    1.69 	 1.027e-03 	 1.700e-04 	 8.561e-06 	 9.032e-07 	 1.868e-06 	 2.987e-07 
  38.90 	  177.76 	    1.67 	 9.925e-04 	 1.421e-04 	 8.822e-06 	 8.357e-07 	 1.834e-06 	 2.846e-07 
  41.01 	  169.67 	    1.39 	 9.680e-04 	 1.173e-04 	 8.604e-06 	 9.669e-07 	 1.801e-06 	 2.919e-07 
  43.12 	  164.84 	    1.19 	 9.590e-04 	 8.910e-05 	 8.562e-06 	 7.420e-07 	 1.794e-06 	 2.123e-07 
  45.21 	  164.71 	    0.87 	 1.027e-03 	 1.049e-04 	 8.580e-06 	 6.180e-07 	 1.817e-06 	 1.791e-07 
  47.30 	  164.31 	    0.61 	 1.045e-03 	 1.541e-04 	 8.560e-06 	 6.918e-07 	 1.844e-06 	 2.342e-07 
  49.39 	  162.19 	    0.67 	 1.023e-03 	 1.463e-04 	 8.719e-06 	 7.769e-07 	 1.893e-06 	 3.179e-07 
  51.47 	  160.16 	    0.79 	 1.020e-03 	 1.154e-04 	 8.706e-06 	 1.019e-06 	 1.846e-06 	 3.719e-07 
  53.55 	  158.41 	    1.13 	 1.012e-03 	 1.334e-04 	 8.678e-06 	 1.484e-06 	 1.794e-06 	 4.485e-07 
  55.63 	  157.19 	    1.30 	 1.037e-03 	 1.538e-04 	 8.974e-06 	 1.256e-06 	 1.775e-06 	 4.881e-07 
  57.70 	  154.61 	    1.74 	 1.029e-03 	 1.889e-04 	 9.554e-06 	 9.151e-07 	 1.783e-06 	 5.259e-07 
  59.77 	  152.19 	    2.44 	 1.016e-03 	 2.105e-04 	 1.000e-05 	 1.008e-06 	 1.862e-06 	 6.399e-07 
  61.84 	  150.96 	    3.24 	 1.046e-03 	 2.562e-04 	 1.038e-05 	 9.962e-07 	 2.001e-06 	 8.074e-07 
  63.90 	  150.98 	    4.28 	 1.123e-03 	 3.336e-04 	 1.066e-05 	 1.175e-06 	 2.191e-06 	 1.016e-06 
  65.95 	  151.41 	    5.36 	 1.205e-03 	 4.468e-04 	 1.114e-05 	 1.772e-06 	 2.448e-06 	 1.243e-06 
  68.01 	  148.61 	    6.29 	 1.233e-03 	 5.796e-04 	 1.165e-05 	 2.662e-06 	 2.757e-06 	 1.474e-06 
  70.05 	  144.73 	    7.05 	 1.288e-03 	 7.130e-04 	 1.240e-05 	 3.365e-06 	 3.202e-06 	 1.798e-06 
  72.10 	  146.23 	    7.74 	 1.495e-03 	 8.554e-04 	 1.426e-05 	 3.940e-06 	 3.932e-06 	 2.311e-06 
  74.14 	  156.05 	    8.33 	 1.938e-03 	 9.687e-04 	 1.744e-05 	 5.011e-06 	 4.955e-06 	 3.033e-06 
  76.18 	  170.94 	    8.83 	 2.544e-03 	 1.008e-03 	 2.163e-05 	 7.245e-06 	 6.154e-06 	 3.876e-06 
  78.21 	  184.46 	    9.17 	 2.979e-03 	 1.072e-03 	 2.632e-05 	 1.064e-05 	 7.350e-06 	 4.667e-06 
  80.23 	  190.37 	    9.30 	 3.057e-03 	 1.199e-03 	 3.068e-05 	 1.455e-05 	 8.329e-06 	 5.252e-06 
  82.26 	  188.87 	    9.16 	 3.071e-03 	 1.341e-03 	 3.403e-05 	 1.795e-05 	 9.012e-06 	 5.668e-06 
  84.28 	  180.91 	    8.72 	 3.089e-03 	 1.465e-03 	 3.617e-05 	 1.984e-05 	 9.288e-06 	 5.927e-06 
  86.30 	  171.34 	    8.00 	 2.984e-03 	 1.395e-03 	 3.631e-05 	 1.992e-05 	 8.564e-06 	 5.452e-06 
  88.31 	  159.68 	    6.98 	 2.726e-03 	 1.188e-03 	 3.128e-05 	 1.666e-05 	 6.960e-06 	 4.144e-06 
