Hareoid(km) 	 T(K) 	 Terr(K) 	 COvmr 	 COvmr_err 	 13COvmr 	 13COvmr_err 	 18COvmr 	 18COvmr_err 
   13.45 	  156.17 	    0.92 	 9.425e-04 	 8.513e-05 	 1.107e-05 	 1.448e-06 	 2.052e-06 	 1.586e-07 
  16.68 	  156.01 	    1.30 	 1.142e-03 	 1.910e-04 	 1.180e-05 	 1.047e-06 	 2.362e-06 	 7.835e-08 
  19.92 	  157.83 	    1.05 	 1.338e-03 	 1.975e-04 	 1.400e-05 	 8.269e-07 	 2.799e-06 	 9.643e-08 
  23.14 	  159.98 	    0.99 	 1.336e-03 	 1.261e-04 	 1.363e-05 	 6.946e-07 	 2.775e-06 	 1.408e-07 
  26.34 	  161.26 	    1.17 	 1.296e-03 	 1.170e-04 	 1.437e-05 	 6.303e-07 	 2.909e-06 	 1.079e-07 
  29.53 	  170.05 	    1.99 	 1.124e-03 	 1.136e-04 	 1.233e-05 	 7.120e-07 	 2.606e-06 	 1.391e-07 
  32.71 	  186.74 	    2.12 	 1.313e-03 	 1.343e-04 	 1.294e-05 	 4.510e-07 	 2.716e-06 	 1.379e-07 
  35.88 	  197.26 	    1.10 	 1.329e-03 	 1.344e-04 	 1.429e-05 	 6.688e-07 	 2.964e-06 	 1.612e-07 
  39.03 	  203.99 	    1.62 	 1.272e-03 	 9.146e-05 	 1.295e-05 	 5.059e-07 	 2.728e-06 	 1.536e-07 
  42.18 	  206.95 	    1.74 	 1.299e-03 	 1.079e-04 	 1.354e-05 	 3.955e-07 	 2.783e-06 	 1.867e-07 
  45.31 	  207.82 	    1.17 	 1.332e-03 	 9.554e-05 	 1.411e-05 	 6.220e-07 	 2.903e-06 	 2.267e-07 
  48.43 	  211.42 	    1.37 	 1.319e-03 	 1.002e-04 	 1.383e-05 	 4.681e-07 	 2.777e-06 	 2.556e-07 
  51.53 	  213.48 	    1.46 	 1.339e-03 	 1.269e-04 	 1.389e-05 	 6.234e-07 	 2.660e-06 	 3.248e-07 
  54.62 	  210.33 	    1.19 	 1.395e-03 	 1.523e-04 	 1.438e-05 	 7.759e-07 	 2.581e-06 	 3.864e-07 
  57.71 	  202.31 	    0.86 	 1.328e-03 	 2.052e-04 	 1.445e-05 	 6.807e-07 	 2.502e-06 	 4.382e-07 
  60.78 	  194.35 	    0.92 	 1.352e-03 	 1.976e-04 	 1.444e-05 	 9.579e-07 	 2.441e-06 	 5.313e-07 
  65.35 	  186.24 	    1.69 	 1.214e-03 	 2.083e-04 	 1.412e-05 	 1.470e-06 	 2.245e-06 	 6.476e-07 
  69.91 	  178.80 	    3.40 	 1.116e-03 	 2.125e-04 	 1.372e-05 	 1.854e-06 	 2.088e-06 	 7.469e-07 
  72.93 	  174.27 	    4.17 	 1.138e-03 	 2.703e-04 	 1.361e-05 	 2.095e-06 	 2.076e-06 	 8.307e-07 
  75.94 	  166.57 	    4.41 	 1.222e-03 	 4.237e-04 	 1.401e-05 	 2.570e-06 	 2.093e-06 	 8.959e-07 
  80.39 	  154.25 	    4.05 	 1.561e-03 	 5.734e-04 	 1.708e-05 	 4.963e-06 	 2.169e-06 	 9.702e-07 
  84.82 	  143.43 	    3.88 	 2.091e-03 	 1.003e-03 	 2.465e-05 	 1.132e-05 	 2.261e-06 	 1.011e-06 
  89.31 	  138.20 	    5.90 	 1.860e-03 	 8.300e-04 	 2.449e-05 	 1.190e-05 	 2.248e-06 	 7.976e-07 
