FilaName 	 Orbit 	 I/E  	 Pos 	 F/P 	 Ls 	 Loct 	 Lat 	 Lon 
mir_2a_orb010345_n1_e_p2_04_f 	 010345 	 e 	 04 	 f 	    168.580 	      7.717 	    -78.585 	    -99.040 
mir_2a_orb010366_n1_i_p2_04_f 	 010366 	 i 	 04 	 f 	    169.500 	     18.517 	     61.192 	   -169.763 
mir_2a_orb010397_n1_e_p1_04_f 	 010397 	 e 	 04 	 f 	    170.900 	      8.533 	    -83.425 	   -138.889 
mir_2a_orb010413_n2_e_p1_04_f 	 010413 	 e 	 04 	 f 	    171.620 	      9.100 	    -84.835 	    130.597 
mir_2a_orb010426_n1_i_p1_04_f 	 010426 	 i 	 04 	 f 	    172.190 	     18.217 	     47.980 	    -96.353 
mir_2a_orb010436_n2_e_p1_04_f 	 010436 	 e 	 04 	 f 	    172.660 	     11.083 	    -86.587 	   -139.495 
mir_2a_orb010449_n1_i_p1_04_f 	 010449 	 i 	 04 	 f 	    173.230 	     18.150 	     41.327 	    -37.782 
mir_2a_orb010458_n2_e_p1_04_f 	 010458 	 e 	 04 	 f 	    173.650 	     14.467 	    -86.371 	      0.142 
mir_2a_orb010730_n1_i_p1_04_f 	 010730 	 i 	 04 	 f 	    186.160 	      5.650 	    -63.812 	      9.056 
mir_2a_orb010738_n2_e_p1_04_f 	 010738 	 e 	 04 	 f 	    186.540 	      6.067 	     16.835 	    139.872 
mir_2a_orb010748_n1_i_p1_04_f 	 010748 	 i 	 04 	 f 	    187.000 	      5.450 	    -70.424 	   -149.958 
mir_2a_orb010756_n2_e_p1_04_f 	 010756 	 e 	 04 	 f 	    187.390 	      6.117 	     27.972 	    -16.492 
mir_2a_orb010766_n1_i_p1_04_f 	 010766 	 i 	 04 	 f 	    187.850 	      5.200 	    -74.856 	     49.910 
mir_2a_orb010778_n2_e_p1_04_f 	 010778 	 e 	 04 	 f 	    188.430 	      6.200 	     38.072 	     72.822 
mir_2a_orb010792_n1_i_p1_04_f 	 010792 	 i 	 04 	 f 	    189.080 	      4.583 	    -79.704 	     15.047 
mir_2a_orb010801_n2_e_p1_04_f 	 010801 	 e 	 04 	 f 	    189.520 	      6.300 	     46.307 	    133.852 
mir_2a_orb010818_n1_i_p1_04_f 	 010818 	 i 	 04 	 f 	    190.320 	      3.450 	    -83.102 	    -27.753 
mir_2a_orb010827_n2_e_p1_04_f 	 010827 	 e 	 04 	 f 	    190.760 	      6.417 	     53.225 	    109.411 
mir_2a_orb010842_n1_i_p1_04_f 	 010842 	 i 	 04 	 f 	    191.460 	      1.467 	    -84.882 	    -26.185 
mir_2a_orb010855_n1_i_p1_04_f 	 010855 	 i 	 04 	 f 	    192.080 	      0.117 	    -84.989 	    -59.434 
mir_2a_orb010872_n1_e_p1_04_f 	 010872 	 e 	 04 	 f 	    192.910 	      6.717 	     61.899 	    -97.884 
mir_2a_orb010909_n1_i_p2_04_f 	 010909 	 i 	 04 	 f 	    194.670 	     20.683 	    -80.657 	    140.018 
mir_2a_orb010929_n1_e_p2_04_f 	 010929 	 e 	 04 	 f 	    195.650 	      7.217 	     69.249 	     74.023 
mir_2a_orb010947_n1_e_p2_04_f 	 010947 	 e 	 04 	 f 	    196.520 	      7.417 	     70.959 	    -79.457 
mir_2a_orb010966_n1_i_p2_04_f 	 010966 	 i 	 04 	 f 	    197.420 	     19.650 	    -73.177 	    -71.104 
mir_2a_orb010993_n1_i_p2_04_f 	 010993 	 i 	 04 	 f 	    198.730 	     19.383 	    -69.091 	   -129.745 
mir_2a_orb011013_n1_e_p2_04_f 	 011013 	 e 	 04 	 f 	    199.720 	      8.333 	     75.435 	   -159.481 
mir_2a_orb011032_n1_i_p2_04_f 	 011032 	 i 	 04 	 f 	    200.630 	     19.100 	    -62.326 	   -173.149 
mir_2a_orb011050_n1_e_p1_04_f 	 011050 	 e 	 04 	 f 	    201.520 	      8.933 	     76.804 	   -132.256 
mir_2a_orb011079_n1_e_p1_04_f 	 011079 	 e 	 04 	 f 	    202.940 	      9.383 	     77.394 	    122.442 
mir_2a_orb011096_n1_i_p1_04_f 	 011096 	 i 	 04 	 f 	    203.760 	     18.717 	    -47.581 	    144.264 
mir_2a_orb011105_n2_e_p1_04_f 	 011105 	 e 	 04 	 f 	    204.220 	      9.800 	     77.735 	    102.790 
mir_2a_orb011117_n1_i_p1_04_f 	 011117 	 i 	 04 	 f 	    204.800 	     18.600 	    -41.450 	   -100.311 
