FilaName 	 Orbit 	 I/E  	 Pos 	 F/P 	 Ls 	 Loct 	 Lat 	 Lon 
mir_2a_orb003513_n1_i_p1_04_p 	 003513 	 i 	 04 	 p 	    244.900 	     14.933 	     59.314 	    135.646 
mir_2a_orb003513_n2_e_p1_04_p 	 003513 	 e 	 04 	 p 	    244.920 	      5.100 	    -29.081 	    -21.192 
mir_2a_orb003564_n1_e_p1_04_p 	 003564 	 e 	 04 	 p 	    247.570 	      4.367 	    -43.826 	    -54.727 
mir_2a_orb003576_n1_e_p1_04_p 	 003576 	 e 	 04 	 p 	    248.190 	      4.183 	    -46.674 	    -41.728 
mir_2a_orb003633_n1_i_p1_04_p 	 003633 	 i 	 04 	 p 	    251.140 	     14.533 	     60.287 	    -70.420 
mir_2a_orb003636_n1_e_p1_04_p 	 003636 	 e 	 04 	 p 	    251.310 	      2.983 	    -58.092 	     19.974 
mir_2a_orb003691_n1_i_p1_04_p 	 003691 	 i 	 04 	 p 	    254.150 	     14.600 	     59.446 	     67.942 
mir_2a_orb003693_n1_i_p1_04_p 	 003693 	 i 	 04 	 p 	    254.250 	     14.617 	     59.389 	     10.706 
mir_2a_orb003749_n1_i_p1_04_p 	 003749 	 i 	 04 	 p 	    257.160 	     14.833 	     57.740 	   -151.442 
mir_2a_orb003753_n1_i_p1_04_p 	 003753 	 i 	 04 	 p 	    257.370 	     14.850 	     57.602 	     94.171 
mir_2a_orb003788_n2_e_p1_04_p 	 003788 	 e 	 04 	 p 	    259.200 	     21.533 	    -59.994 	    -98.051 
mir_2a_orb003790_n1_i_p1_04_p 	 003790 	 i 	 04 	 p 	    259.290 	     15.117 	     55.558 	    117.366 
mir_2a_orb003820_n1_i_p1_04_p 	 003820 	 i 	 04 	 p 	    260.850 	     15.417 	     52.855 	    -18.176 
mir_2a_orb003820_n2_e_p1_04_p 	 003820 	 e 	 04 	 p 	    260.860 	     20.483 	    -52.487 	     49.342 
mir_2a_orb003848_n2_e_p1_04_p 	 003848 	 e 	 04 	 p 	    262.310 	     19.633 	    -41.804 	    -45.107 
mir_2a_orb003850_n1_i_p1_04_p 	 003850 	 i 	 04 	 p 	    262.400 	     15.883 	     47.799 	   -151.552 
mir_2a_orb003882_n1_i_p1_04_p 	 003882 	 i 	 04 	 p 	    264.060 	     16.683 	     35.022 	     22.122 
mir_2a_orb003882_n2_e_p1_04_p 	 003882 	 e 	 04 	 p 	    264.070 	     18.550 	    -17.656 	     45.965 
mir_2a_orb004084_n1_i_p1_04_p 	 004084 	 i 	 04 	 p 	    274.440 	      5.400 	    -18.429 	   -165.196 
mir_2a_orb004090_n2_e_p1_04_p 	 004090 	 e 	 04 	 p 	    274.760 	      7.517 	     38.977 	     49.906 
mir_2a_orb004092_n1_i_p1_04_p 	 004092 	 i 	 04 	 p 	    274.850 	      5.117 	    -26.066 	    -38.248 
mir_2a_orb004098_n2_e_p1_04_p 	 004098 	 e 	 04 	 p 	    275.170 	      7.733 	     42.748 	   -176.318 
mir_2a_orb004102_n1_i_p1_04_p 	 004102 	 i 	 04 	 p 	    275.360 	      4.800 	    -33.378 	     30.912 
mir_2a_orb004106_n2_e_p1_04_p 	 004106 	 e 	 04 	 p 	    275.580 	      7.933 	     45.530 	    -42.989 
mir_2a_orb004110_n1_i_p1_04_p 	 004110 	 i 	 04 	 p 	    275.770 	      4.550 	    -38.187 	    158.288 
mir_2a_orb004116_n2_e_p1_04_p 	 004116 	 e 	 04 	 p 	    276.090 	      8.117 	     47.946 	     32.941 
mir_2a_orb004118_n1_i_p1_04_p 	 004118 	 i 	 04 	 p 	    276.180 	      4.317 	    -42.122 	    -74.177 
mir_2a_orb004124_n2_e_p1_04_p 	 004124 	 e 	 04 	 p 	    276.500 	      8.267 	     49.736 	    165.772 
